table_id,row_id,level_and_field_of_highest_degree_full_path,level_and_field_of_highest_degree_level_1,level_and_field_of_highest_degree_level_2,level_and_field_of_highest_degree_level_3,level_and_field_of_highest_degree_level_4,level_and_field_of_highest_degree_level_5,level_and_field_of_highest_degree_hierarchy_depth,field_2003,field_2010,field_2013,field_2015,field_2017,field_2019
5289,r001,Employed scientists and engineers,Employed scientists and engineers,,,,,1,4588000,5374000,5766000,6407000,6769000,7466000
5289,r002,Employed scientists and engineers -> S&E fields,Employed scientists and engineers,S&E fields,,,,2,3319000,3971000,4350000,4854000,5085000,5709000
5289,r003,"Employed scientists and engineers -> S&E fields -> Biological, agricultural, and environmental life sciences",Employed scientists and engineers,S&E fields,"Biological, agricultural, and environmental life sciences",,,3,415000,539000,587000,624000,633000,705000
5289,r004,"Employed scientists and engineers -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",Employed scientists and engineers,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,,4,47000,71000,61000,60000,57000,59000
5289,r005,"Employed scientists and engineers -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",Employed scientists and engineers,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,,4,316000,410000,464000,495000,522000,565000
5289,r006,"Employed scientists and engineers -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",Employed scientists and engineers,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,,4,53000,58000,61000,69000,53000,80000
5289,r007,Employed scientists and engineers -> S&E fields -> Computer and mathematical sciences,Employed scientists and engineers,S&E fields,Computer and mathematical sciences,,,3,751000,1023000,1195000,1350000,1437000,1670000
5289,r008,Employed scientists and engineers -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,Employed scientists and engineers,S&E fields,Computer and mathematical sciences,Computer and information sciences,,4,575000,831000,997000,1153000,1257000,1427000
5289,r009,Employed scientists and engineers -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,Employed scientists and engineers,S&E fields,Computer and mathematical sciences,Mathematics and statistics,,4,176000,192000,197000,197000,180000,243000
5289,r010,Employed scientists and engineers -> S&E fields -> Physical and related sciences,Employed scientists and engineers,S&E fields,Physical and related sciences,,,3,330000,354000,359000,386000,366000,422000
5289,r011,"Employed scientists and engineers -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",Employed scientists and engineers,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",,4,147000,154000,158000,173000,156000,179000
5289,r012,"Employed scientists and engineers -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",Employed scientists and engineers,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",,4,86000,92000,96000,100000,93000,108000
5289,r013,Employed scientists and engineers -> S&E fields -> Physical and related sciences -> Physics and astronomy,Employed scientists and engineers,S&E fields,Physical and related sciences,Physics and astronomy,,4,87000,100000,100000,109000,109000,131000
5289,r014,Employed scientists and engineers -> S&E fields -> Physical and related sciences -> Other physical sciences,Employed scientists and engineers,S&E fields,Physical and related sciences,Other physical sciences,,4,9000,8000,5000,4000,8000,4000
5289,r015,Employed scientists and engineers -> S&E fields -> Social and related sciences,Employed scientists and engineers,S&E fields,Social and related sciences,,,3,462000,556000,599000,660000,679000,754000
5289,r016,Employed scientists and engineers -> S&E fields -> Social and related sciences -> Economics,Employed scientists and engineers,S&E fields,Social and related sciences,Economics,,4,67000,80000,78000,98000,115000,130000
5289,r017,Employed scientists and engineers -> S&E fields -> Social and related sciences -> Political and related sciences,Employed scientists and engineers,S&E fields,Social and related sciences,Political and related sciences,,4,61000,89000,82000,89000,107000,107000
5289,r018,Employed scientists and engineers -> S&E fields -> Social and related sciences -> Psychology,Employed scientists and engineers,S&E fields,Social and related sciences,Psychology,,4,237000,260000,296000,309000,306000,341000
5289,r019,Employed scientists and engineers -> S&E fields -> Social and related sciences -> Sociology and anthropology,Employed scientists and engineers,S&E fields,Social and related sciences,Sociology and anthropology,,4,61000,66000,78000,88000,95000,102000
5289,r020,Employed scientists and engineers -> S&E fields -> Social and related sciences -> Other social sciences,Employed scientists and engineers,S&E fields,Social and related sciences,Other social sciences,,4,36000,61000,65000,75000,58000,74000
5289,r021,Employed scientists and engineers -> S&E fields -> Engineering,Employed scientists and engineers,S&E fields,Engineering,,,3,1362000,1498000,1611000,1834000,1970000,2159000
5289,r022,"Employed scientists and engineers -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Employed scientists and engineers,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,4,42000,44000,46000,62000,58000,81000
5289,r023,Employed scientists and engineers -> S&E fields -> Engineering -> Chemical engineering,Employed scientists and engineers,S&E fields,Engineering,Chemical engineering,,4,89000,95000,101000,114000,129000,138000
5289,r024,Employed scientists and engineers -> S&E fields -> Engineering -> Civil and architectural engineering,Employed scientists and engineers,S&E fields,Engineering,Civil and architectural engineering,,4,225000,223000,229000,235000,250000,284000
5289,r025,Employed scientists and engineers -> S&E fields -> Engineering -> Electrical and computer engineering,Employed scientists and engineers,S&E fields,Engineering,Electrical and computer engineering,,4,497000,580000,621000,739000,820000,849000
5289,r026,Employed scientists and engineers -> S&E fields -> Engineering -> Industrial engineering,Employed scientists and engineers,S&E fields,Engineering,Industrial engineering,,4,57000,62000,73000,80000,83000,86000
5289,r027,Employed scientists and engineers -> S&E fields -> Engineering -> Mechanical engineering,Employed scientists and engineers,S&E fields,Engineering,Mechanical engineering,,4,278000,308000,338000,396000,387000,452000
5289,r028,Employed scientists and engineers -> S&E fields -> Engineering -> Other engineering,Employed scientists and engineers,S&E fields,Engineering,Other engineering,,4,174000,186000,202000,209000,243000,269000
5289,r029,Employed scientists and engineers -> S&E-related fields,Employed scientists and engineers,S&E-related fields,,,,2,274000,329000,326000,367000,382000,428000
5289,r030,Employed scientists and engineers -> S&E-related fields -> Health,Employed scientists and engineers,S&E-related fields,Health,,,3,93000,119000,117000,133000,146000,164000
5289,r031,Employed scientists and engineers -> S&E-related fields -> Science and mathematics teacher education,Employed scientists and engineers,S&E-related fields,Science and mathematics teacher education,,,3,23000,23000,30000,23000,29000,29000
5289,r032,Employed scientists and engineers -> S&E-related fields -> Technology and technical fields,Employed scientists and engineers,S&E-related fields,Technology and technical fields,,,3,130000,153000,135000,168000,173000,186000
5289,r033,Employed scientists and engineers -> S&E-related fields -> Other S&E-related fields,Employed scientists and engineers,S&E-related fields,Other S&E-related fields,,,3,28000,34000,43000,44000,35000,49000
5289,r034,Employed scientists and engineers -> Non-S&E fields,Employed scientists and engineers,Non-S&E fields,,,,2,995000,1074000,1090000,1186000,1301000,1330000
5289,r035,Employed scientists and engineers -> Non-S&E fields -> Management and administration fields,Employed scientists and engineers,Non-S&E fields,Management and administration fields,,,3,511000,567000,514000,559000,573000,666000
5289,r036,"Employed scientists and engineers -> Non-S&E fields -> Education, except science and math teacher education",Employed scientists and engineers,Non-S&E fields,"Education, except science and math teacher education",,,3,92000,57000,54000,62000,98000,76000
5289,r037,Employed scientists and engineers -> Non-S&E fields -> Social service and related fields,Employed scientists and engineers,Non-S&E fields,Social service and related fields,,,3,47000,57000,70000,66000,58000,77000
5289,r038,Employed scientists and engineers -> Non-S&E fields -> Sales and marketing fields,Employed scientists and engineers,Non-S&E fields,Sales and marketing fields,,,3,52000,42000,33000,43000,103000,53000
5289,r039,Employed scientists and engineers -> Non-S&E fields -> Art and humanities fields,Employed scientists and engineers,Non-S&E fields,Art and humanities fields,,,3,146000,183000,192000,229000,226000,224000
5289,r040,Employed scientists and engineers -> Non-S&E fields -> Other non-S&E fields,Employed scientists and engineers,Non-S&E fields,Other non-S&E fields,,,3,147000,168000,227000,228000,242000,233000
5289,r041,Employed scientists and engineers -> Bachelor's,Employed scientists and engineers,Bachelor's,,,,2,2529000,2980000,3288000,3518000,3846000,4176000
5289,r042,Employed scientists and engineers -> Bachelor's -> S&E fields,Employed scientists and engineers,Bachelor's,S&E fields,,,3,1821000,2204000,2482000,2707000,2918000,3251000
5289,r043,"Employed scientists and engineers -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences",Employed scientists and engineers,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",,4,184000,237000,291000,270000,321000,344000
5289,r044,"Employed scientists and engineers -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",Employed scientists and engineers,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,23000,35000,28000,22000,24000,31000
5289,r045,"Employed scientists and engineers -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",Employed scientists and engineers,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,125000,170000,223000,204000,265000,266000
5289,r046,"Employed scientists and engineers -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",Employed scientists and engineers,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,36000,32000,39000,44000,31000,47000
5289,r047,Employed scientists and engineers -> Bachelor's -> S&E fields -> Computer and mathematical sciences,Employed scientists and engineers,Bachelor's,S&E fields,Computer and mathematical sciences,,4,454000,640000,757000,808000,879000,1032000
5289,r048,Employed scientists and engineers -> Bachelor's -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,Employed scientists and engineers,Bachelor's,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,366000,552000,661000,721000,807000,915000
5289,r049,Employed scientists and engineers -> Bachelor's -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,Employed scientists and engineers,Bachelor's,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,88000,88000,95000,87000,72000,117000
5289,r050,Employed scientists and engineers -> Bachelor's -> S&E fields -> Physical and related sciences,Employed scientists and engineers,Bachelor's,S&E fields,Physical and related sciences,,4,144000,148000,150000,159000,147000,194000
5289,r051,"Employed scientists and engineers -> Bachelor's -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",Employed scientists and engineers,Bachelor's,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,68000,73000,73000,86000,73000,91000
5289,r052,"Employed scientists and engineers -> Bachelor's -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",Employed scientists and engineers,Bachelor's,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,42000,38000,40000,39000,39000,59000
5289,r053,Employed scientists and engineers -> Bachelor's -> S&E fields -> Physical and related sciences -> Physics and astronomy,Employed scientists and engineers,Bachelor's,S&E fields,Physical and related sciences,Physics and astronomy,5,29000,33000,33000,31000,29000,40000
5289,r054,Employed scientists and engineers -> Bachelor's -> S&E fields -> Physical and related sciences -> Other physical sciences,Employed scientists and engineers,Bachelor's,S&E fields,Physical and related sciences,Other physical sciences,5,5000,4000,4000,S,7000,S
