table_id,row_id,field_citizenship_ethnicity_and_race_full_path,field_citizenship_ethnicity_and_race_level_1,field_citizenship_ethnicity_and_race_level_2,field_citizenship_ethnicity_and_race_level_3,field_citizenship_ethnicity_and_race_level_4,field_citizenship_ethnicity_and_race_level_5,field_citizenship_ethnicity_and_race_level_6,field_citizenship_ethnicity_and_race_level_7,field_citizenship_ethnicity_and_race_level_8,field_citizenship_ethnicity_and_race_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1160,r001,All degrees,All degrees,,,,,,,,1,359947,370577,382740,401995,421358,443154,455736,453745,455240,455697,468924
1160,r002,All degrees -> U.S. citizen and permanent resident,All degrees,U.S. citizen and permanent resident,,,,,,,2,329470,341141,351519,368225,386376,406035,416202,411558,407741,403093,410150
1160,r003,All degrees -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All degrees,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,,,3,22351,24050,24613,26407,27798,29950,32353,33867,35810,37676,40619
1160,r004,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,,,,,,3,307119,317091,326906,341818,358578,376085,383849,377691,371931,365417,369531
1160,r005,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> American Indian or Alaska Native,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,American Indian or Alaska Native,,,,,4,2039,2071,2204,2143,2236,2265,2134,2201,2090,2006,2124
1160,r006,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian,,,,,4,na,na,na,na,na,20341,21161,21248,21459,21981,22868
1160,r007,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,,,,4,16429,17635,17902,18971,20378,na,na,na,na,na,na
1160,r008,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Black or African American,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,Black or African American,,,,,4,37886,39939,41439,44491,47662,50583,53754,55956,56622,55842,56770
1160,r009,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,,,4,na,na,na,na,na,773,949,1023,1073,921,932
1160,r010,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> White,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,White,,,,,4,219039,222142,226279,234097,241958,254278,257659,254414,249097,243757,244581
1160,r011,All degrees -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> More than one race<sup>c</sup>,All degrees,U.S. citizen and permanent resident,Non-Hispanic or Latino,More than one race<sup>c</sup>,,,,,4,na,na,na,na,na,3674,5631,6670,7809,8438,9623
