table_id,row_id,education_system_full_path,education_system_level_1,education_system_level_2,education_system_hierarchy_depth,field_male_female_score_differencein_mathematics,field_male_female_score_differencein_science,field_oecd_country_and_education_system
4099,r001,<b>OECD average</b>,<b>OECD average</b>,,1,"['5', '<b>*</b>']","['-2', '*']",na
4099,r002,<b>OECD average</b> -> Albania,<b>OECD average</b>,Albania,2,"['-5', '&nbsp;']","['-16', '*']",No
4099,r003,<b>OECD average</b> -> Argentina,<b>OECD average</b>,Argentina,2,"['15', '*']","['10', '&nbsp;']",No
4099,r004,<b>OECD average</b> -> Australia,<b>OECD average</b>,Australia,2,"['6', '*']","['2', '&nbsp;']",Yes
4099,r005,<b>OECD average</b> -> Austria,<b>OECD average</b>,Austria,2,"['13', '*']","['2', '*']",Yes
4099,r006,<b>OECD average</b> -> Baku (Azerbaijan)<sup>b</sup>,<b>OECD average</b>,Baku (Azerbaijan)<sup>b</sup>,2,"['8', '*']","['-5', '&nbsp;']",No
4099,r007,<b>OECD average</b> -> Belarus,<b>OECD average</b>,Belarus,2,"['6', '&nbsp;']","['3', '&nbsp;']",No
4099,r008,<b>OECD average</b> -> Belgium,<b>OECD average</b>,Belgium,2,"['12', '*']","['5', '&nbsp;']",Yes
4099,r009,<b>OECD average</b> -> Bosnia and Herzegovina,<b>OECD average</b>,Bosnia and Herzegovina,2,"['3', '&nbsp;']","['-1', '&nbsp;']",No
4099,r010,<b>OECD average</b> -> Brazil<sup>a</sup>,<b>OECD average</b>,Brazil<sup>a</sup>,2,"['9', '*']","['-2', '*']",No
4099,r011,<b>OECD average</b> -> Brunei Darussalam,<b>OECD average</b>,Brunei Darussalam,2,"['-8', '*']","['-7', '*']",No
4099,r012,<b>OECD average</b> -> B-S-J-Z (China),<b>OECD average</b>,B-S-J-Z (China),2,"['11', '*']","['13', '*']",No
4099,r013,<b>OECD average</b> -> Bulgaria<sup>a</sup>,<b>OECD average</b>,Bulgaria<sup>a</sup>,2,"['-2', '&nbsp;']","['-15', '&nbsp;']",No
4099,r014,<b>OECD average</b> -> Canada,<b>OECD average</b>,Canada,2,"['5', '*']","['-3', '&nbsp;']",Yes
4099,r015,<b>OECD average</b> -> Chile,<b>OECD average</b>,Chile,2,"['7', '*']","['3', '&nbsp;']",Yes
4099,r016,<b>OECD average</b> -> Chinese Taipei,<b>OECD average</b>,Chinese Taipei,2,"['4', '&nbsp;']","['1', '*']",No
4099,r017,<b>OECD average</b> -> Colombia<sup>a</sup>,<b>OECD average</b>,Colombia<sup>a</sup>,2,"['20', '*']","['12', '*']",Yes
4099,r018,<b>OECD average</b> -> Costa Rica<sup>a</sup>,<b>OECD average</b>,Costa Rica<sup>a</sup>,2,"['18', '*']","['9', '&nbsp;']",No
4099,r019,<b>OECD average</b> -> Croatia,<b>OECD average</b>,Croatia,2,"['9', '*']","['-4', '*']",No
4099,r020,<b>OECD average</b> -> Cyprus,<b>OECD average</b>,Cyprus,2,"['-8', '*']","['-21', '&nbsp;']",No
4099,r021,<b>OECD average</b> -> Czechia,<b>OECD average</b>,Czechia,2,"['4', '&nbsp;']","['-2', '&nbsp;']",Yes
4099,r022,<b>OECD average</b> -> Denmark,<b>OECD average</b>,Denmark,2,"['4', '&nbsp;']","['-2', '*']",Yes
4099,r023,<b>OECD average</b> -> Dominican Republic<sup>a</sup>,<b>OECD average</b>,Dominican Republic<sup>a</sup>,2,"['-3', '&nbsp;']","['-10', '*']",No
4099,r024,<b>OECD average</b> -> Estonia,<b>OECD average</b>,Estonia,2,"['8', '*']","['-5', '*']",Yes
4099,r025,<b>OECD average</b> -> Finland,<b>OECD average</b>,Finland,2,"['-6', '*']","['-24', '&nbsp;']",Yes
4099,r026,<b>OECD average</b> -> France,<b>OECD average</b>,France,2,"['6', '*']","['-2', '*']",Yes
4099,r027,<b>OECD average</b> -> Georgia,<b>OECD average</b>,Georgia,2,"['-4', '&nbsp;']","['-14', '&nbsp;']",No
4099,r028,<b>OECD average</b> -> Germany,<b>OECD average</b>,Germany,2,"['7', '*']","['-1', '*']",Yes
4099,r029,<b>OECD average</b> -> Greece,<b>OECD average</b>,Greece,2,"['#', '&nbsp;']","['-11', '*']",Yes
4099,r030,<b>OECD average</b> -> Hong Kong (China),<b>OECD average</b>,Hong Kong (China),2,"['-6', '&nbsp;']","['-9', '&nbsp;']",No
4099,r031,<b>OECD average</b> -> Hungary,<b>OECD average</b>,Hungary,2,"['9', '*']","['6', '*']",Yes
4099,r032,<b>OECD average</b> -> Iceland,<b>OECD average</b>,Iceland,2,"['-10', '*']","['-8', '*']",Yes
4099,r033,<b>OECD average</b> -> Indonesia,<b>OECD average</b>,Indonesia,2,"['-10', '*']","['-7', '&nbsp;']",No
4099,r034,<b>OECD average</b> -> Ireland,<b>OECD average</b>,Ireland,2,"['6', '&nbsp;']","['-1', '*']",Yes
4099,r035,<b>OECD average</b> -> Israel,<b>OECD average</b>,Israel,2,"['-9', '&nbsp;']","['-19', '&nbsp;']",Yes
4099,r036,<b>OECD average</b> -> Italy,<b>OECD average</b>,Italy,2,"['16', '*']","['3', '&nbsp;']",Yes
4099,r037,<b>OECD average</b> -> Japan,<b>OECD average</b>,Japan,2,"['10', '*']","['3', '*']",Yes
4099,r038,<b>OECD average</b> -> Jordan<sup>a</sup>,<b>OECD average</b>,Jordan<sup>a</sup>,2,"['-6', '&nbsp;']","['-29', '*']",No
4099,r039,<b>OECD average</b> -> Kazakhstan,<b>OECD average</b>,Kazakhstan,2,"['1', '&nbsp;']","['-7', '&nbsp;']",No
4099,r040,<b>OECD average</b> -> South Korea,<b>OECD average</b>,South Korea,2,"['4', '&nbsp;']","['4', '*']",Yes
4099,r041,<b>OECD average</b> -> Kosovo,<b>OECD average</b>,Kosovo,2,"['4', '&nbsp;']","['-6', '*']",No
4099,r042,<b>OECD average</b> -> Latvia,<b>OECD average</b>,Latvia,2,"['7', '*']","['-8', '&nbsp;']",Yes
4099,r043,<b>OECD average</b> -> Lebanon,<b>OECD average</b>,Lebanon,2,"['#', '&nbsp;']","['-5', '*']",No
4099,r044,<b>OECD average</b> -> Lithuania,<b>OECD average</b>,Lithuania,2,"['-2', '&nbsp;']","['-6', '*']",Yes
4099,r045,<b>OECD average</b> -> Luxembourg,<b>OECD average</b>,Luxembourg,2,"['7', '*']","['-5', '&nbsp;']",Yes
4099,r046,<b>OECD average</b> -> Macau (China),<b>OECD average</b>,Macau (China),2,"['4', '&nbsp;']","['-2', '*']",No
4099,r047,<b>OECD average</b> -> Malaysia<sup>a</sup>,<b>OECD average</b>,Malaysia<sup>a</sup>,2,"['-7', '*']","['-6', '*']",No
4099,r048,<b>OECD average</b> -> Malta,<b>OECD average</b>,Malta,2,"['-13', '*']","['-21', '*']",No
4099,r049,<b>OECD average</b> -> Mexico<sup>a</sup>,<b>OECD average</b>,Mexico<sup>a</sup>,2,"['12', '*']","['9', '*']",Yes
4099,r050,"<b>OECD average</b> -> Moldova, Republic of",<b>OECD average</b>,"Moldova, Republic of",2,"['-2', '&nbsp;']","['-11', '&nbsp;']",No
4099,r051,"<b>OECD average</b> -> Montenegro, Republic of",<b>OECD average</b>,"Montenegro, Republic of",2,"['8', '*']","['-5', '*']",No
4099,r052,<b>OECD average</b> -> Morocco<sup>a</sup>,<b>OECD average</b>,Morocco<sup>a</sup>,2,"['1', '&nbsp;']","['-9', '*']",No
4099,r053,<b>OECD average</b> -> Netherlands,<b>OECD average</b>,Netherlands,2,"['1', '&nbsp;']","['-8', '&nbsp;']",Yes
4099,r054,<b>OECD average</b> -> New Zealand,<b>OECD average</b>,New Zealand,2,"['9', '*']","['2', '*']",Yes
4099,r055,<b>OECD average</b> -> North Macedonia,<b>OECD average</b>,North Macedonia,2,"['-7', '*']","['-19', '*']",No
4099,r056,<b>OECD average</b> -> Norway,<b>OECD average</b>,Norway,2,"['-7', '*']","['-11', '&nbsp;']",Yes
4099,r057,<b>OECD average</b> -> Panama<sup>a</sup>,<b>OECD average</b>,Panama<sup>a</sup>,2,"['8', '*']","['#', '*']",No
4099,r058,<b>OECD average</b> -> Peru<sup>a</sup>,<b>OECD average</b>,Peru<sup>a</sup>,2,"['16', '*']","['13', '&nbsp;']",No
4099,r059,<b>OECD average</b> -> Philippines<sup>a</sup>,<b>OECD average</b>,Philippines<sup>a</sup>,2,"['-12', '*']","['-3', '&nbsp;']",No
4099,r060,<b>OECD average</b> -> Poland,<b>OECD average</b>,Poland,2,"['1', '&nbsp;']","['#', '&nbsp;']",Yes
4099,r061,<b>OECD average</b> -> Portugal,<b>OECD average</b>,Portugal,2,"['9', '*']","['5', '*']",Yes
4099,r062,<b>OECD average</b> -> Qatar,<b>OECD average</b>,Qatar,2,"['-24', '*']","['-39', '&nbsp;']",No
4099,r063,<b>OECD average</b> -> Romania<sup>a</sup>,<b>OECD average</b>,Romania<sup>a</sup>,2,"['5', '&nbsp;']","['-1', '&nbsp;']",No
4099,r064,<b>OECD average</b> -> Russia,<b>OECD average</b>,Russia,2,"['5', '*']","['1', '*']",No
4099,r065,<b>OECD average</b> -> Saudi Arabia,<b>OECD average</b>,Saudi Arabia,2,"['-13', '*']","['-29', '&nbsp;']",No
4099,r066,<b>OECD average</b> -> Serbia,<b>OECD average</b>,Serbia,2,"['3', '&nbsp;']","['-5', '&nbsp;']",No
4099,r067,<b>OECD average</b> -> Singapore,<b>OECD average</b>,Singapore,2,"['4', '&nbsp;']","['4', '&nbsp;']",No
4099,r068,<b>OECD average</b> -> Slovakia,<b>OECD average</b>,Slovakia,2,"['5', '&nbsp;']","['-6', '*']",Yes
4099,r069,<b>OECD average</b> -> Slovenia,<b>OECD average</b>,Slovenia,2,"['1', '&nbsp;']","['-10', '&nbsp;']",Yes
4099,r070,<b>OECD average</b> -> Spain,<b>OECD average</b>,Spain,2,"['6', '*']","['1', '*']",Yes
4099,r071,<b>OECD average</b> -> Sweden,<b>OECD average</b>,Sweden,2,"['-1', '&nbsp;']","['-8', '&nbsp;']",Yes
4099,r072,<b>OECD average</b> -> Switzerland,<b>OECD average</b>,Switzerland,2,"['7', '*']","['#', '*']",Yes
4099,r073,<b>OECD average</b> -> Thailand<sup>a</sup>,<b>OECD average</b>,Thailand<sup>a</sup>,2,"['-16', '*']","['-20', '*']",No
4099,r074,<b>OECD average</b> -> Turkey<sup>a</sup>,<b>OECD average</b>,Turkey<sup>a</sup>,2,"['5', '&nbsp;']","['-7', '&nbsp;']",Yes
4099,r075,<b>OECD average</b> -> Ukraine,<b>OECD average</b>,Ukraine,2,"['7', '&nbsp;']","['2', '*']",No
4099,r076,<b>OECD average</b> -> United Arab Emirates,<b>OECD average</b>,United Arab Emirates,2,"['-9', '*']","['-26', '&nbsp;']",No
4099,r077,<b>OECD average</b> -> United Kingdom,<b>OECD average</b>,United Kingdom,2,"['12', '*']","['1', '&nbsp;']",Yes
4099,r078,<b>OECD average</b> -> <b>United States</b>,<b>OECD average</b>,<b>United States</b>,2,"['9', '<b>*</b>']","['1', '&nbsp;']",Yes
4099,r079,<b>OECD average</b> -> Uruguay,<b>OECD average</b>,Uruguay,2,"['8', '*']","['3', '&nbsp;']",No
