table_id,row_id,demographic_characteristic_full_path,demographic_characteristic_level_1,demographic_characteristic_level_2,demographic_characteristic_level_3,demographic_characteristic_level_4,demographic_characteristic_hierarchy_depth,field_all_doctorate_recipients,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
2828,r001,All doctorate recipients,All doctorate recipients,,,,1,18.8,22.5,16.6,13.7,19.8,13.2,27.1,18.7,18.7
2828,r002,All doctorate recipients -> Sex,All doctorate recipients,Sex,,,2,,,,,,,,,
2828,r003,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,,3,17.6,21.2,16.8,13.8,19.1,13.2,28.5,20.5,17.9
2828,r004,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,,3,20.2,23.5,16.3,13.2,20.3,13.2,26.5,16.9,19.3
2828,r005,All doctorate recipients -> Citizenship status,All doctorate recipients,Citizenship status,,,2,,,,,,,,,
2828,r006,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,,3,25.6,28.0,23.0,24.1,25.0,21.6,31.2,22.2,28.1
2828,r007,All doctorate recipients -> Citizenship status -> Temporary visa holder,All doctorate recipients,Citizenship status,Temporary visa holder,,3,7.4,9.5,7.7,6.1,5.1,7.6,7.5,5.8,6.9
2828,r008,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,
2828,r009,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,31.5,31.4,33.1,33.0,28.8,26.5,39.3,31.5,33.3
2828,r010,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,
2828,r011,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,44.2,55.2,,0.0,36.7,,,,
2828,r012,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,18.7,20.6,19.9,14.7,18.7,17.7,22.8,20.1,8.9
2828,r013,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,27.3,30.2,15.9,24.6,26.3,18.0,29.2,22.3,33.3
2828,r014,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,25.8,28.5,22.5,25.8,25.4,22.4,31.7,21.3,29.5
2828,r015,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,31.6,33.8,32.1,29.4,27.2,25.0,28.4,40.0,52.8
2828,r016,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,25.7,28.9,,14.8,24.1,,,,
2828,r017,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,7.5,13.1,7.3,0.0,5.9,8.8,3.8,5.8,10.8
