table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10172,r001,All institutions,All institutions,,1,-,"['36,510,431', '']","['39,648,595', '']","['38,939,996', '']","['38,264,373', '']","['36,824,264', '']","['36,775,605', '']","['37,675,543', '']","['39,032,187', '']","['40,612,582', '']","['43,217,463', '']","['44,868,504', '']","['47,760,101', '']","['52,480,716', '']"
10172,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,731,818', '']","['1,875,410', '']","['1,845,845', '']","['1,881,959', '']","['1,936,953', '']","['1,988,993', '']","['2,100,097', '']","['2,173,734', '']","['2,246,705', '']","['2,479,371', '']","['2,679,737', '']","['2,772,522', '']","['2,968,175', '']"
10172,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['809,433', '']","['921,399', '']","['876,941', '']","['869,623', '']","['849,713', '']","['851,573', '']","['893,050', '']","['912,856', '']","['955,518', '']","['958,103', '']","['987,195', '']","['1,000,152', '']","['1,033,866', '']"
10172,r004,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,3,"['729,779', '']","['801,194', '']","['773,766', '']","['802,114', '']","['733,779', '']","['728,712', '']","['780,080', '']","['822,436', '']","['841,158', '']","['879,954', '']","['877,379', '']","['882,167', '']","['961,590', '']"
10172,r005,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,4,"['578,889', '']","['635,223', '']","['653,549', '']","['630,009', '']","['597,270', '']","['601,184', '']","['602,336', '']","['639,643', '']","['634,676', '']","['698,138', '']","['726,536', '']","['773,484', '']","['958,169', '']"
10172,r006,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,5,"['370,532', '']","['426,088', '']","['482,349', '']","['520,754', '']","['510,422', '']","['548,063', '']","['567,100', '']","['578,107', '']","['646,317', '']","['708,682', '']","['780,894', '']","['838,185', '']","['926,720', '']"
10172,r007,All institutions -> Duke U.,All institutions,Duke U.,2,6,"['513,469', '']","['584,161', '']","['585,636', '']","['580,416', '']","['556,847', '']","['558,566', '']","['574,738', '']","['622,174', '']","['644,179', '']","['708,544', '']","['706,023', '']","['775,046', '']","['900,220', '']"
10172,r008,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,7,"['561,531', '']","['634,973', '']","['631,961', '']","['619,557', '']","['591,523', '']","['577,833', '']","['585,578', '']","['632,994', '']","['673,792', '']","['724,232', '']","['743,915', '']","['804,534', '']","['875,383', '']"
10172,r009,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,8,"['626,816', '']","['689,571', '']","['656,425', '']","['623,939', '']","['606,115', '']","['597,791', '']","['638,336', '']","['653,405', '']","['671,796', '']","['702,747', '']","['705,791', '']","['776,072', '']","['853,506', '']"
10172,r010,All institutions -> Stanford U.,All institutions,Stanford U.,2,9,"['576,553', '']","['633,287', '']","['607,578', '']","['625,144', '']","['608,342', '']","['645,633', '']","['668,578', '']","['684,928', '']","['685,871', '']","['713,688', '']","['725,942', '']","['785,118', '']","['835,331', '']"
10172,r011,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,10,"['522,423', '']","['545,882', '']","['527,899', '']","['489,820', '']","['458,157', '']","['482,771', '']","['479,718', '']","['479,799', '']","['557,986', '']","['587,740', '']","['642,219', '']","['706,193', '']","['828,111', '']"
10172,r012,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,11,"['581,148', '']","['647,060', '']","['620,070', '']","['601,358', '']","['565,409', '']","['554,658', '']","['575,281', '']","['612,754', '']","['643,129', '']","['671,380', '']","['682,715', '']","['719,750', '']","['810,167', '']"
10172,r013,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,12,"['541,910', '']","['592,541', '']","['597,629', '']","['614,627', '']","['601,933', '']","['577,574', '']","['624,131', '']","['657,879', '']","['681,581', '']","['701,623', '']","['685,851', '']","['727,045', '']","['796,847', '']"
10172,r014,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,13,"['514,693', '']","['570,116', '']","['559,329', '']","['566,117', '']","['544,697', '']","['535,457', '']","['602,705', '']","['606,768', '']","['669,470', '']","['671,047', '']","['676,331', '']","['683,179', '']","['780,318', '']"
10172,r015,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,14,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['678,126', '']","['669,023', '']","['693,294', '']","['730,658', '']"
10172,r016,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,15,"['522,473', '']","['568,389', '']","['557,688', '']","['533,220', '']","['522,251', '']","['506,910', '']","['548,247', '']","['552,983', '']","['555,666', '']","['594,094', '']","['617,902', '']","['631,320', '']","['720,984', '']"
10172,r017,All institutions -> Yale U.,All institutions,Yale U.,2,16,"['475,010', '']","['518,195', '']","['517,072', '']","['502,439', '']","['475,585', '']","['471,381', '']","['494,504', '']","['531,995', '']","['549,026', '']","['573,491', '']","['582,575', '']","['641,530', '']","['686,044', '']"
10172,r018,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,17,"['463,301', '']","['459,333', '']","['526,212', '']","['556,185', '']","['516,300', '']","['507,889', '']","['532,669', '']","['528,181', '']","['557,323', '']","['591,201', '']","['632,245', '']","['606,189', '']","['664,168', '']"
10172,r019,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,18,"['466,993', '']","['460,282', '']","['432,434', '']","['402,702', '']","['410,115', '']","['424,723', '']","['436,229', '']","['468,637', '']","['496,648', '']","['531,885', '']","['545,027', '']","['588,717', '']","['662,135', '']"
10172,r020,All institutions -> New York U.,All institutions,New York U.,2,19,"['250,006', '']","['289,172', '']","['300,271', '']","['283,382', '']","['314,712', '']","['326,691', '']","['332,483', '']","['369,947', '']","['395,445', '']","['416,137', '']","['433,598', '']","['534,552', '']","['652,614', '']"
10172,r021,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,20,"['377,185', '']","['434,213', '']","['430,445', '']","['432,752', '']","['408,743', '']","['390,701', '']","['395,505', '']","['442,669', '']","['456,599', '']","['470,774', '']","['492,333', '']","['567,490', '']","['644,964', '']"
10172,r022,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,21,"['420,102', '']","['482,639', '']","['480,531', '']","['489,318', '']","['483,542', '']","['468,482', '']","['462,570', '']","['448,814', '']","['455,294', '']","['483,898', '']","['503,414', '']","['562,697', '']","['643,362', '']"
10172,r023,All institutions -> Cornell U.,All institutions,Cornell U.,2,22,"['446,705', '']","['476,163', '']","['471,024', '']","['444,303', '']","['438,834', '']","['445,266', '']","['427,940', '']","['435,355', '']","['464,468', '']","['522,035', '']","['558,346', '']","['588,001', '']","['631,804', '']"
10172,r024,All institutions -> Harvard U.,All institutions,Harvard U.,2,23,"['467,237', '']","['530,908', '']","['574,346', '']","['575,868', '']","['554,944', '']","['530,382', '']","['549,539', '']","['565,269', '']","['578,722', '']","['611,123', '']","['598,313', '']","['609,310', '']","['620,497', '']"
10172,r025,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,24,"['356,193', '']","['393,449', '']","['385,377', '']","['389,757', '']","['385,888', '']","['385,868', '']","['424,638', '']","['438,732', '']","['464,689', '']","['497,740', '']","['527,958', '']","['569,875', '']","['615,163', '']"
10172,r026,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,25,"['302,770', '']","['296,835', '']","['271,722', '']","['277,517', '']","['300,667', '']","['329,641', '']","['342,104', '']","['367,522', '']","['398,656', '']","['443,745', '']","['480,452', '']","['554,582', '']","['610,646', '']"
10172,r027,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,26,"['384,633', '']","['471,331', '']","['416,304', '']","['425,547', '']","['416,177', '']","['406,941', '']","['418,887', '']","['427,154', '']","['439,594', '']","['465,081', '']","['505,626', '']","['523,826', '']","['594,323', '']"
10172,r028,All institutions -> U. Southern California,All institutions,U. Southern California,2,27,"['402,372', '']","['443,458', '']","['433,136', '']","['423,708', '']","['421,887', '']","['408,105', '']","['396,197', '']","['436,515', '']","['488,081', '']","['530,971', '']","['549,528', '']","['559,032', '']","['583,581', '']"
10172,r029,All institutions -> Emory U.,All institutions,Emory U.,2,28,"['336,948', '']","['369,945', '']","['360,934', '']","['364,136', '']","['329,254', '']","['346,534', '']","['360,197', '']","['381,151', '']","['392,971', '']","['423,515', '']","['451,487', '']","['515,009', '']","['567,102', '']"
10172,r030,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,29,"['451,050', '']","['482,544', '']","['478,955', '']","['487,647', '']","['480,991', '']","['486,650', '']","['501,702', '']","['484,597', '']","['476,576', '']","['485,821', '']","['484,184', '']","['480,092', '']","['527,845', '']"
10172,r031,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,30,"['331,439', '']","['334,240', '']","['328,560', '']","['352,788', '']","['313,955', '']","['331,388', '']","['340,181', '']","['377,389', '']","['386,954', '']","['387,551', '']","['478,458', '']","['465,529', '']","['506,533', '']"
10172,r032,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,31,"['282,008', '']","['313,531', '']","['319,019', '']","['309,072', '']","['302,877', '']","['341,828', '']","['360,827', '']","['359,462', '']","['376,870', '']","['397,709', '']","['412,476', '']","['444,381', '']","['491,940', '']"
10172,r033,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,32,"['276,977', '']","['281,063', '']","['259,506', '']","['302,356', '']","['298,489', '']","['291,714', '']","['281,015', '']","['294,602', '']","['316,771', '']","['342,390', '']","['501,396', '']","['512,130', '']","['484,899', '']"
10172,r034,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,33,"['329,041', '']","['359,704', '']","['356,540', '']","['344,632', '']","['327,697', '']","['322,919', '']","['334,534', '']","['337,995', '']","['354,823', '']","['370,601', '']","['377,068', '']","['369,231', '']","['463,039', '']"
10172,r035,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,34,"['303,201', '']","['326,120', '']","['333,179', '']","['305,932', '']","['309,305', '']","['342,042', '']","['338,562', '']","['326,548', '']","['324,521', '']","['341,328', '']","['345,103', '']","['348,147', '']","['459,518', '']"
10172,r036,All institutions -> U. Florida,All institutions,U. Florida,2,35,"['269,765', '']","['296,950', '']","['295,745', '']","['285,778', '']","['279,920', '']","['281,317', '']","['297,267', '']","['314,187', '']","['340,725', '']","['369,001', '']","['375,577', '']","['404,432', '']","['449,973', '']"
10172,r037,All institutions -> U. Chicago,All institutions,U. Chicago,2,36,"['348,537', '']","['365,824', '']","['329,119', '']","['294,862', '']","['276,237', '']","['290,776', '']","['293,557', '']","['302,361', '']","['297,824', '']","['327,837', '']","['347,734', '']","['390,098', '']","['449,456', '']"
10172,r038,All institutions -> U. Colorado Anschutz Medical Campus<sup>c</sup>,All institutions,U. Colorado Anschutz Medical Campus<sup>c</sup>,2,37,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['363,331', '']","['429,452', '']"
10172,r039,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,38,"['284,072', '']","['295,529', '']","['268,753', '']","['285,230', '']","['264,641', '']","['256,895', '']","['267,849', '']","['292,806', '']","['300,098', '']","['309,354', '']","['315,101', '']","['365,472', '']","['420,054', '']"
10172,r040,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,39,"['320,704', '']","['340,342', '']","['303,677', '']","['286,873', '']","['276,112', '']","['325,008', '']","['346,190', '']","['356,303', '']","['370,401', '']","['395,910', '']","['397,206', '']","['421,209', '']","['418,667', '']"
