table_id,row_id,funding_category_and_agency_full_path,funding_category_and_agency_level_1,funding_category_and_agency_level_2,funding_category_and_agency_level_3,funding_category_and_agency_level_4,funding_category_and_agency_hierarchy_depth,field_budget_activity,field_2017_actual,field_2018_preliminarya,field_2019_proposed,field_2017_18_change_,field_2018_19_change_
1316,r001,RDT&E total budget authority,RDT&E total budget authority,,,,1,--,74128,74853,92633,1.0,23.8
1316,r002,R&D budget authority within RDT&E accounts<sup>b</sup>,R&D budget authority within RDT&E accounts<sup>b</sup>,,,,1,--,47868,52613,56978,9.9,8.3
1316,r003,"R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c,d</sup>",R&D budget authority within RDT&E accounts<sup>b</sup>,"RDT&E total obligational authority<sup>c,d</sup>",,,2,--,74817,74592,92365,-0.3,23.8
1316,r004,"R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c,d</sup> -> Basic research",R&D budget authority within RDT&E accounts<sup>b</sup>,"RDT&E total obligational authority<sup>c,d</sup>",Basic research,,3,1,2198,2229,2269,1.4,1.8
1316,r005,"R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c,d</sup> -> Basic research -> Defense agencies",R&D budget authority within RDT&E accounts<sup>b</sup>,"RDT&E total obligational authority<sup>c,d</sup>",Basic research,Defense agencies,4,,654,697,708,6.6,1.5
1316,r006,"R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c,d</sup> -> Basic research -> Department of the Air Force",R&D budget authority within RDT&E accounts<sup>b</sup>,"RDT&E total obligational authority<sup>c,d</sup>",Basic research,Department of the Air Force,4,,522,505,518,-3.1,2.5
1316,r007,"R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c,d</sup> -> Basic research -> Department of the Army",R&D budget authority within RDT&E accounts<sup>b</sup>,"RDT&E total obligational authority<sup>c,d</sup>",Basic research,Department of the Army,4,,473,430,446,-9.1,3.7
1316,r008,"R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c,d</sup> -> Basic research -> Department of the Navy",R&D budget authority within RDT&E accounts<sup>b</sup>,"RDT&E total obligational authority<sup>c,d</sup>",Basic research,Department of the Navy,4,,549,596,597,8.5,0.2
1316,r009,"R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c,d</sup> -> Applied research",R&D budget authority within RDT&E accounts<sup>b</sup>,"RDT&E total obligational authority<sup>c,d</sup>",Applied research,,3,2,5125,4973,5100,-3.0,2.6
1316,r010,"R&D budget authority within RDT&E accounts<sup>b</sup> -> RDT&E total obligational authority<sup>c,d</sup> -> Applied research -> Defense agencies",R&D budget authority within RDT&E accounts<sup>b</sup>,"RDT&E total obligational authority<sup>c,d</sup>",Applied research,Defense agencies,4,,1660,1914,1977,15.3,3.3
