table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
10162,r001,United States,United States,,,,1,"['97,680,528', '']","['53,971,468', '']","['4,907,199', '']","['24,492,663', '']","['5,701,656', '']","['5,974,155', '']","['2,633,387', '']"
10162,r002,United States -> Public,United States,Public,,,2,"['63,712,945', '']","['33,333,946', '']","['4,503,012', '']","['17,368,946', '']","['3,419,441', '']","['3,331,506', '']","['1,756,094', '']"
10162,r003,United States -> Private,United States,Private,,,2,"['33,967,583', '']","['20,637,522', '']","['404,187', '']","['7,123,717', '']","['2,282,215', '']","['2,642,649', '']","['877,293', '']"
10162,r004,United States -> Alabama,United States,Alabama,,,2,"['1,431,393', '']","['779,272', '']","['68,758', '']","['437,472', '']","['87,132', '']","['40,619', '']","['18,140', '']"
10162,r005,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['1,409,452', '']","['764,361', '']","['65,552', '']","['436,344', '']","['87,132', '']","['40,619', '']","['15,444', '']"
10162,r006,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['9,611', '']","['9,221', '']","['4', '']","['0', '']","['386', '']","['0', '']","['0', '']"
10162,r007,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['3,178', '']","['2,930', '']","['0', '']","['0', '']","['216', '']","['1', '']","['31', '']"
10162,r008,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['304,439', '']","['104,883', '']","['33,555', '']","['143,876', '']","['8,338', '']","['1,912', '']","['11,875', '']"
10162,r009,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['2,517', '']","['2,296', '']","['48', '']","['135', '']","['38', '']","['0', '']","['0', '']"
10162,r010,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['713,480', '']","['421,223', '']","['8,816', '']","['172,809', '']","['73,595', '']","['35,196', '']","['1,841', '']"
10162,r011,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['169,532', '']","['132,060', '']","['5,091', '']","['30,776', '']","['626', '']","['496', '']","['483', '']"
10162,r012,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['163,204', '']","['67,986', '']","['17,040', '']","['73,435', '']","['2,701', '']","['1,631', '']","['411', '']"
10162,r013,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['43,491', '']","['23,762', '']","['998', '']","['15,313', '']","['1,232', '']","['1,383', '']","['803', '']"
10162,r014,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['21,941', '']","['14,911', '']","['3,206', '']","['1,128', '']","['0', '']","['0', '']","['2,696', '']"
10162,r015,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['21,941', '']","['14,911', '']","['3,206', '']","['1,128', '']","['0', '']","['0', '']","['2,696', '']"
10162,r016,United States -> Alaska,United States,Alaska,,,2,"['226,717', '']","['171,964', '']","['2,763', '']","['42,936', '']","['4,667', '']","['1,990', '']","['2,397', '']"
10162,r017,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['225,110', '']","['171,383', '']","['2,763', '']","['42,936', '']","['3,652', '']","['1,990', '']","['2,386', '']"
10162,r018,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['21,024', '']","['15,249', '']","['1,227', '']","['3,392', '']","['282', '']","['493', '']","['381', '']"
