table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_nasa_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
10155,r001,All institutions,All institutions,,1,-,"['2,044,072', '']","['27,517', '']","['525,426', '']","['89,305', '']","['20,385', '']","['673,259', '']","['16,575', '']","['15,289', '']","['5,005', '']","['660,630', '']","['10,681', '']"
10155,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['426,124', '']","['10,526', '']","['61,698', '']","['1,018', '']","['17,009', '']","['78,981', '']","['0', '']","['0', '']","['73', '']","['256,819', '']","['0', '']"
10155,r003,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,2,"['166,203', '']","['231', '']","['34,173', '']","['377', '']","['81', '']","['52,258', '']","['0', '']","['0', '']","['131', '']","['78,933', '']","['19', '']"
10155,r004,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,3,"['83,886', '']","['0', '']","['20,067', '']","['558', '']","['0', '']","['62,401', '']","['0', '']","['0', '']","['0', '']","['860', '']","['0', '']"
10155,r005,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,4,"['74,073', '']","['0', '']","['881', '']","['857', '']","['0', '']","['69,307', '']","['0', '']","['0', '']","['1,278', '']","['1,750', '']","['0', '']"
10155,r006,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,5,"['73,862', '']","['127', '']","['24,221', '']","['785', '']","['0', '']","['39,592', '']","['0', '']","['6,342', '']","['324', '']","['2,471', '']","['0', '']"
10155,r007,All institutions -> U. Arizona,All institutions,U. Arizona,2,6,"['60,760', '']","['0', '']","['1,577', '']","['1,159', '']","['0', '']","['54,256', '']","['0', '']","['190', '']","['0', '']","['3,578', '']","['0', '']"
10155,r008,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,7,"['49,867', '']","['0', '']","['49,270', '']","['107', '']","['0', '']","['213', '']","['0', '']","['0', '']","['0', '']","['70', '']","['207', '']"
10155,r009,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,8,"['49,398', '']","['1', '']","['42,269', '']","['825', '']","['0', '']","['2', '']","['1', '']","['2,248', '']","['427', '']","['3,570', '']","['55', '']"
10155,r010,All institutions -> U. Iowa,All institutions,U. Iowa,2,9,"['42,072', '']","['0', '']","['0', '']","['0', '']","['0', '']","['40,607', '']","['0', '']","['226', '']","['0', '']","['1,232', '']","['7', '']"
10155,r011,All institutions -> Utah State U.,All institutions,Utah State U.,2,10,"['40,850', '']","['0', '']","['0', '']","['785', '']","['0', '']","['560', '']","['0', '']","['0', '']","['0', '']","['39,505', '']","['0', '']"
10155,r012,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,11,"['40,331', '']","['253', '']","['5,854', '']","['29', '']","['53', '']","['20,858', '']","['0', '']","['0', '']","['641', '']","['12,583', '']","['60', '']"
10155,r013,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,12,"['37,076', '']","['0', '']","['36,097', '']","['57', '']","['0', '']","['779', '']","['0', '']","['0', '']","['0', '']","['143', '']","['0', '']"
10155,r014,"All institutions -> U. Alabama, Huntsville",All institutions,"U. Alabama, Huntsville",2,13,"['33,436', '']","['3,985', '']","['14,693', '']","['25', '']","['0', '']","['7,919', '']","['0', '']","['0', '']","['0', '']","['6,814', '']","['0', '']"
10155,r015,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,14,"['31,788', '']","['0', '']","['24,250', '']","['320', '']","['0', '']","['3,441', '']","['0', '']","['841', '']","['0', '']","['2,936', '']","['0', '']"
