table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_in_house_or_external_r_d_number_yes,field_in_house_or_external_r_d_number_no,field_in_house_or_external_r_d_percent_yes,field_in_house_or_external_r_d_percent_no
2615,r001,All companies ,All companies ,,,1,"['    821,671 ', '&nbsp;']","['    272,342 ', '&nbsp;']","['    549,329 ', '&nbsp;']","['    33.1 ', '&nbsp;']","['    66.9 ', '&nbsp;']"
2615,r002,All companies  -> Race,All companies ,Race,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2615,r003,All companies  -> Race -> White,All companies ,Race,White,3,"['    705,571 ', '&nbsp;']","['    231,334 ', '&nbsp;']","['    474,236 ', '&nbsp;']","['    32.8 ', '&nbsp;']","['    67.2 ', '&nbsp;']"
2615,r004,All companies  -> Race -> Asian,All companies ,Race,Asian,3,"['    79,149 ', '&nbsp;']","['    24,913 ', '&nbsp;']","['    54,236 ', '&nbsp;']","['    31.5 ', '&nbsp;']","['    68.5 ', '&nbsp;']"
2615,r005,All companies  -> Race -> Black or African American,All companies ,Race,Black or African American,3,"['    15,771 ', '&nbsp;']","['    4,333 ', '&nbsp;']","['    11,438 ', '&nbsp;']","['    27.5 ', '&nbsp;']","['    72.5 ', '&nbsp;']"
2615,r006,All companies  -> Race -> American Indian or Alaska Native,All companies ,Race,American Indian or Alaska Native,3,"['    4,267 ', '&nbsp;']","['    1,500 ', '&nbsp;']","['    2,767 ', '&nbsp;']","['    35.2 ', '&nbsp;']","['    64.8 ', '&nbsp;']"
2615,r007,All companies  -> Race -> Native Hawaiian or Other Pacific Islander,All companies ,Race,Native Hawaiian or Other Pacific Islander,3,"['    1,053 ', '&nbsp;']","['    340 ', '&nbsp;']","['    713 ', '&nbsp;']","['    32.3 ', '&nbsp;']","['    67.7 ', '&nbsp;']"
2615,r008,All companies  -> Ethnicity,All companies ,Ethnicity,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2615,r009,All companies  -> Ethnicity -> Hispanic or Latino,All companies ,Ethnicity,Hispanic or Latino,3,"['    43,120 ', '&nbsp;']","['    11,221 ', '&nbsp;']","['    31,900 ', '&nbsp;']","['    26.0 ', '&nbsp;']","['    74.0 ', '&nbsp;']"
2615,r010,All companies  -> Ethnicity -> Equally Hispanic/ Not Hispanic or Latino,All companies ,Ethnicity,Equally Hispanic/ Not Hispanic or Latino,3,"['    7,941 ', '&nbsp;']","['    2,736 ', '&nbsp;']","['    5,204 ', '&nbsp;']","['    34.5 ', '&nbsp;']","['    65.5 ', '&nbsp;']"
2615,r011,All companies  -> Ethnicity -> Not Hispanic or Latino,All companies ,Ethnicity,Not Hispanic or Latino,3,"['    753,287 ', '&nbsp;']","['    248,142 ', '&nbsp;']","['    505,145 ', '&nbsp;']","['    32.9 ', '&nbsp;']","['    67.1 ', '&nbsp;']"
2615,r012,All companies  -> Minority status,All companies ,Minority status,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2615,r013,All companies  -> Minority status -> Minority,All companies ,Minority status,Minority,3,"['    140,672 ', '&nbsp;']","['    41,607 ', '&nbsp;']","['    99,065 ', '&nbsp;']","['    29.6 ', '&nbsp;']","['    70.4 ', '&nbsp;']"
2615,r014,All companies  -> Minority status -> Equally minority/ nonminority,All companies ,Minority status,Equally minority/ nonminority,3,"['    14,498 ', '&nbsp;']","['    5,331 ', '&nbsp;']","['    9,167 ', '&nbsp;']","['    36.8 ', '&nbsp;']","['    63.2 ', '&nbsp;']"
2615,r015,All companies  -> Minority status -> Nonminority,All companies ,Minority status,Nonminority,3,"['    649,178 ', '&nbsp;']","['    215,162 ', '&nbsp;']","['    434,016 ', '&nbsp;']","['    33.1 ', '&nbsp;']","['    66.9 ', '&nbsp;']"
2615,r016,All companies  -> Unclassifiable,All companies ,Unclassifiable,,2,"['    17,323 ', 'i']","['    10,242 ', 'i']","['    7,080 ', 'i']","['    59.1 ', '&nbsp;']","['    40.9 ', '&nbsp;']"
