table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_doe_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
8007,r001,All institutions,All institutions,,1,-,"['2,218,358', '']","['57,159', '']","['111,482', '']","['239,568', '']","['9,301', '']","['794,714', '']","['1,173', '']","['10,741', '']","['27,183', '']","['959,702', '']","['7,335', '']"
8007,r002,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,1,"['108,509', '']","['83', '']","['182', '']","['18,485', '']","['314', '']","['83,064', '']","['0', '']","['38', '']","['0', '']","['6,343', '']","['0', '']"
8007,r003,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,2,"['84,115', '']","['3,915', '']","['573', '']","['43,362', '']","['121', '']","['9,808', '']","['575', '']","['85', '']","['86', '']","['25,298', '']","['292', '']"
8007,r004,All institutions -> U. Rochester,All institutions,U. Rochester,2,3,"['83,975', '']","['0', '']","['0', '']","['199', '']","['0', '']","['81,072', '']","['0', '']","['0', '']","['0', '']","['2,704', '']","['0', '']"
8007,r005,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,4,"['75,231', '']","['628', '']","['1,961', '']","['30,543', '']","['0', '']","['14,902', '']","['0', '']","['0', '']","['117', '']","['27,080', '']","['0', '']"
8007,r006,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,5,"['71,739', '']","['1,369', '']","['1,121', '']","['0', '']","['41', '']","['39,373', '']","['0', '']","['187', '']","['181', '']","['29,467', '']","['0', '']"
8007,r007,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,6,"['56,425', '']","['4,443', '']","['265', '']","['3,338', '']","['142', '']","['7,799', '']","['0', '']","['8', '']","['3,891', '']","['35,519', '']","['1,020', '']"
8007,r008,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,7,"['52,059', '']","['1,533', '']","['6,361', '']","['3,416', '']","['985', '']","['11,021', '']","['261', '']","['0', '']","['0', '']","['28,003', '']","['479', '']"
8007,r009,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,8,"['42,232', '']","['0', '']","['1,642', '']","['5,350', '']","['555', '']","['14,328', '']","['0', '']","['207', '']","['3,478', '']","['16,672', '']","['0', '']"
8007,r010,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,9,"['42,146', '']","['18', '']","['145', '']","['1,602', '']","['0', '']","['8,237', '']","['0', '']","['0', '']","['0', '']","['32,144', '']","['0', '']"
8007,r011,All institutions -> U. Utah,All institutions,U. Utah,2,10,"['40,128', '']","['1,707', '']","['25,191', '']","['0', '']","['0', '']","['4,363', '']","['0', '']","['0', '']","['0', '']","['8,843', '']","['24', '']"
8007,r012,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,11,"['38,905', '']","['47', '']","['1,856', '']","['2,791', '']","['222', '']","['12,918', '']","['0', '']","['70', '']","['10,886', '']","['10,115', '']","['0', '']"
