table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_psychology_and_social_sciences_fields,field_psychology,field_anthropology,field_economics,field_political_science_and_government,field_sociology,field_other_social_sciences
1786,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,1,8899,3837,424,1247,734,669,1988
1786,r002,All doctorate recipients (number)<sup>a</sup> -> Sex (%),All doctorate recipients (number)<sup>a</sup>,Sex (%),,,2,,,,,,,
1786,r003,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>a</sup>,Sex (%),Male,,3,40.9,28.6,29.7,68.2,58.4,37.4,44.7
1786,r004,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>a</sup>,Sex (%),Female,,3,59.1,71.4,70.3,31.8,41.4,62.6,55.2
1786,r005,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Sex (%),Unknown,,3,0.05,0.0,0.0,0.0,0.1,0.0,0.1
1786,r006,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%),All doctorate recipients (number)<sup>a</sup>,Citizenship (%),,,2,,,,,,,
1786,r007,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),U.S. citizen or permanent resident,,3,75.3,86.6,79.0,38.8,74.0,83.1,73.7
1786,r008,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),Temporary visa holder,,3,19.9,7.4,16.5,56.7,21.7,13.3,23.2
1786,r009,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),Unknown,,3,4.8,6.0,4.5,4.5,4.4,3.6,3.1
1786,r010,All doctorate recipients (number)<sup>a</sup> -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Marital status (%),,,2,,,,,,,
1786,r011,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Never married,,3,29.5,29.4,25.7,38.3,31.2,23.6,26.2
1786,r012,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Married,,3,42.3,37.8,44.6,39.9,45.0,48.7,48.7
1786,r013,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Marriage-like relationship,,3,11.5,12.9,14.4,7.7,10.1,14.3,10.2
1786,r014,"All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Marital status (%),"Separated, divorced, widowed",,3,3.9,3.4,6.4,2.0,4.2,4.6,5.2
1786,r015,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Unknown,,3,12.9,16.5,9.0,12.2,9.5,8.7,9.7
1786,r016,All doctorate recipients (number)<sup>a</sup> -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Bachelor's in same field as doctorate (%)<sup>b</sup>,,,2,52.1,65.6,38.9,55.8,62.1,43.9,25.3
1786,r017,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),,,2,82.6,80.0,87.5,78.4,84.1,88.9,86.7
1786,r018,All doctorate recipients (number)<sup>a</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Age at doctorate (median years),,,2,32.3,31.2,34.3,31.2,33.0,33.6,34.8
1786,r019,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),,,2,,,,,,,
1786,r020,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From bachelor's,,3,9.3,8.3,11.4,8.5,10.0,10.6,11.3
1786,r021,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From graduate school start,,3,7.8,6.9,9.3,7.7,8.3,8.9,9.3
1786,r022,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From doctoral program start<sup>c</sup>,,3,6.0,5.9,7.6,5.8,6.3,7.0,6.0
