table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2018,field_2019,field_2020_all_non_s_e_fields,field_2020_business_management_and_business_administration,field_2020_communication_and_communications_technologies,field_2020_education,field_2020_humanities,field_2020_law,field_2020_social_work,field_2020_visual_and_performing_arts,field_2020_other
5440,r001,All institutions,All institutions,,1,-,"['1,247,703', '']","['1,242,692', '']","['1,244,035', '']","['74,126', '']","['40,830', '']","['667,043', '']","['54,155', '']","['26,697', '']","['140,836', '']","['15,140', '']","['225,208', '']"
5440,r002,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,1,"['33,703', '']","['34,540', '']","['37,000', '']","['0', '']","['4,125', '']","['18,626', '']","['1,265', '']","['370', '']","['10,982', '']","['32', '']","['1,600', '']"
5440,r003,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,2,"['35,400', '']","['32,570', '']","['33,733', '']","['330', '']","['170', '']","['10,898', '']","['545', '']","['37', '']","['3,398', '']","['331', '']","['18,024', '']"
5440,r004,All institutions -> U. Kansas,All institutions,U. Kansas,2,3,"['25,111', '']","['28,015', '']","['33,020', '']","['122', '']","['15', '']","['22,555', '']","['410', '']","['0', '']","['8,988', '']","['6', '']","['924', '']"
5440,r005,All institutions -> Stanford U.,All institutions,Stanford U.,2,4,"['25,572', '']","['25,269', '']","['25,472', '']","['153', '']","['618', '']","['24,491', '']","['188', '']","['0', '']","['0', '']","['0', '']","['22', '']"
5440,r006,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,5,"['15,026', '']","['22,034', '']","['21,966', '']","['63', '']","['0', '']","['21,837', '']","['24', '']","['0', '']","['0', '']","['0', '']","['42', '']"
5440,r007,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,6,"['18,177', '']","['20,430', '']","['21,951', '']","['1,096', '']","['1,595', '']","['14,673', '']","['155', '']","['0', '']","['3,576', '']","['0', '']","['856', '']"
5440,r008,All institutions -> U. Florida,All institutions,U. Florida,2,7,"['14,792', '']","['18,905', '']","['21,625', '']","['3,018', '']","['760', '']","['12,122', '']","['128', '']","['97', '']","['0', '']","['128', '']","['5,372', '']"
5440,r009,All institutions -> Florida State U.,All institutions,Florida State U.,2,8,"['17,749', '']","['18,312', '']","['21,067', '']","['84', '']","['1,192', '']","['18,931', '']","['175', '']","['15', '']","['474', '']","['15', '']","['181', '']"
5440,r010,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,9,"['19,588', '']","['18,990', '']","['20,294', '']","['752', '']","['469', '']","['7,725', '']","['16', '']","['0', '']","['9,241', '']","['45', '']","['2,046', '']"
5440,r011,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,10,"['na', '']","['18,754', '']","['20,102', '']","['539', '']","['0', '']","['2,639', '']","['1,964', '']","['185', '']","['8,295', '']","['226', '']","['6,254', '']"
5440,r012,All institutions -> Washington State U.,All institutions,Washington State U.,2,11,"['19,904', '']","['21,558', '']","['19,600', '']","['1,071', '']","['1,599', '']","['12,654', '']","['188', '']","['292', '']","['20', '']","['0', '']","['3,776', '']"
5440,r013,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,12,"['11,865', '']","['11,488', '']","['19,161', '']","['0', '']","['283', '']","['14,641', '']","['37', '']","['46', '']","['726', '']","['4', '']","['3,424', '']"
5440,r014,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,13,"['12,546', '']","['12,304', '']","['18,374', '']","['643', '']","['0', '']","['4,516', '']","['827', '']","['0', '']","['12,212', '']","['0', '']","['176', '']"
5440,r015,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,14,"['19,007', '']","['19,322', '']","['17,919', '']","['0', '']","['0', '']","['13,203', '']","['3,199', '']","['527', '']","['0', '']","['70', '']","['920', '']"
5440,r016,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,15,"['17,592', '']","['16,900', '']","['17,485', '']","['0', '']","['5', '']","['16,063', '']","['109', '']","['0', '']","['490', '']","['71', '']","['747', '']"
5440,r017,"All institutions -> U. South Florida, Tampa",All institutions,"U. South Florida, Tampa",2,16,"['16,011', '']","['17,220', '']","['16,872', '']","['465', '']","['142', '']","['15,318', '']","['6', '']","['0', '']","['475', '']","['80', '']","['386', '']"
5440,r018,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,17,"['8,035', '']","['8,459', '']","['16,749', '']","['530', '']","['1,270', '']","['3,525', '']","['129', '']","['0', '']","['978', '']","['15', '']","['10,302', '']"
5440,r019,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,18,"['16,997', '']","['17,219', '']","['16,093', '']","['698', '']","['25', '']","['14,618', '']","['385', '']","['35', '']","['0', '']","['2', '']","['330', '']"
5440,r020,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,19,"['9,589', '']","['13,557', '']","['15,773', '']","['2,383', '']","['545', '']","['7,276', '']","['391', '']","['1,038', '']","['4,126', '']","['14', '']","['0', '']"
5440,r021,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,20,"['8,991', '']","['9,860', '']","['15,767', '']","['660', '']","['0', '']","['15,045', '']","['62', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5440,r022,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,21,"['16,517', '']","['14,612', '']","['15,517', '']","['716', '']","['3,479', '']","['5,894', '']","['923', '']","['477', '']","['0', '']","['44', '']","['3,984', '']"
5440,r023,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,22,"['14,947', '']","['14,982', '']","['15,393', '']","['1,385', '']","['106', '']","['13,535', '']","['162', '']","['0', '']","['1', '']","['0', '']","['204', '']"
5440,r024,All institutions -> Georgia State U.,All institutions,Georgia State U.,2,23,"['16,409', '']","['15,303', '']","['15,364', '']","['249', '']","['3,979', '']","['7,469', '']","['2', '']","['411', '']","['3,254', '']","['0', '']","['0', '']"
5440,r025,All institutions -> New York U.,All institutions,New York U.,2,24,"['20,698', '']","['20,713', '']","['15,252', '']","['131', '']","['0', '']","['11,222', '']","['0', '']","['76', '']","['1,867', '']","['71', '']","['1,885', '']"
5440,r026,All institutions -> U. Oregon,All institutions,U. Oregon,2,25,"['15,165', '']","['16,171', '']","['15,096', '']","['78', '']","['427', '']","['11,982', '']","['944', '']","['65', '']","['0', '']","['0', '']","['1,600', '']"
