table_id,row_id,_b_citizenship_status_and_field_b_full_path,_b_citizenship_status_and_field_b_level_1,_b_citizenship_status_and_field_b_level_2,_b_citizenship_status_and_field_b_level_3,_b_citizenship_status_and_field_b_level_4,_b_citizenship_status_and_field_b_hierarchy_depth,field_all_recipients,field_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
4688,r001,All doctorate recipients<sup>c</sup>,All doctorate recipients<sup>c</sup>,,,,1,55283,35289,31845,12289,7744,7831,3981,3430,14
4688,r002,All doctorate recipients<sup>c</sup> -> Life sciences,All doctorate recipients<sup>c</sup>,Life sciences,,,2,12561,7784,7141,4172,1091,1274,604,640,3
4688,r003,All doctorate recipients<sup>c</sup> -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>c</sup>,Life sciences,Agricultural sciences and natural resources,,3,1472,919,765,354,159,135,117,153,1
4688,r004,All doctorate recipients<sup>c</sup> -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>c</sup>,Life sciences,Biological and biomedical sciences,,3,8418,5181,4855,3268,431,914,242,325,1
4688,r005,All doctorate recipients<sup>c</sup> -> Life sciences -> Health sciences,All doctorate recipients<sup>c</sup>,Life sciences,Health sciences,,3,2671,1684,1521,550,501,225,245,162,1
4688,r006,All doctorate recipients<sup>c</sup> -> Physical sciences and earth sciences,All doctorate recipients<sup>c</sup>,Physical sciences and earth sciences,,,2,6247,4047,3648,2104,252,1062,230,399,0
4688,r007,All doctorate recipients<sup>c</sup> -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>c</sup>,Physical sciences and earth sciences,Chemistry,,3,2763,1692,1571,867,104,536,64,121,0
4688,r008,"All doctorate recipients<sup>c</sup> -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>c</sup>,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,3,1243,845,741,463,70,115,93,104,0
4688,r009,All doctorate recipients<sup>c</sup> -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>c</sup>,Physical sciences and earth sciences,Physics and astronomy,,3,2241,1510,1336,774,78,411,73,174,0
4688,r010,All doctorate recipients<sup>c</sup> -> Mathematics and computer sciences,All doctorate recipients<sup>c</sup>,Mathematics and computer sciences,,,2,4392,3088,2719,738,525,1287,169,365,4
4688,r011,All doctorate recipients<sup>c</sup> -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>c</sup>,Mathematics and computer sciences,Computer and information sciences,,3,2361,1687,1497,282,271,848,96,188,2
4688,r012,All doctorate recipients<sup>c</sup> -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>c</sup>,Mathematics and computer sciences,Mathematics and statistics,,3,2031,1401,1222,456,254,439,73,177,2
4688,r013,All doctorate recipients<sup>c</sup> -> Psychology and social sciences,All doctorate recipients<sup>c</sup>,Psychology and social sciences,,,2,8946,6042,5399,2245,1608,693,853,641,2
4688,r014,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Psychology,,3,3879,2655,2573,1544,417,302,310,82,0
4688,r015,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Anthropology,,3,448,246,206,71,85,11,39,40,0
4688,r016,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Economics,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Economics,,3,1216,920,693,128,234,194,137,227,0
4688,r017,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Political science and government,,3,637,444,386,126,175,31,54,57,1
4688,r018,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Sociology,,3,607,428,384,106,212,25,41,43,1
4688,r019,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Other social sciences,,3,2159,1349,1157,270,485,130,272,192,0
4688,r020,All doctorate recipients<sup>c</sup> -> Engineering,All doctorate recipients<sup>c</sup>,Engineering,,,2,10476,6607,5985,2149,394,2952,490,618,4
4688,r021,"All doctorate recipients<sup>c</sup> -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>c</sup>,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,399,263,245,75,28,87,55,18,0
4688,r022,All doctorate recipients<sup>c</sup> -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>c</sup>,Engineering,Bioengineering and biomedical engineering,,3,1083,631,590,310,29,225,26,40,1
4688,r023,All doctorate recipients<sup>c</sup> -> Engineering -> Chemical engineering,All doctorate recipients<sup>c</sup>,Engineering,Chemical engineering,,3,994,598,551,221,11,305,14,46,1
4688,r024,All doctorate recipients<sup>c</sup> -> Engineering -> Civil engineering,All doctorate recipients<sup>c</sup>,Engineering,Civil engineering,,3,796,461,395,161,39,141,54,65,1
4688,r025,"All doctorate recipients<sup>c</sup> -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>c</sup>,Engineering,"Electrical, electronics, and communications engineering",,3,1973,1348,1225,293,58,788,86,122,1
4688,r026,All doctorate recipients<sup>c</sup> -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>c</sup>,Engineering,Industrial and manufacturing engineering,,3,304,186,157,30,36,79,12,29,0
4688,r027,All doctorate recipients<sup>c</sup> -> Engineering -> Materials science engineering,All doctorate recipients<sup>c</sup>,Engineering,Materials science engineering,,3,880,513,473,214,10,222,27,40,0
4688,r028,All doctorate recipients<sup>c</sup> -> Engineering -> Mechanical engineering,All doctorate recipients<sup>c</sup>,Engineering,Mechanical engineering,,3,1634,1007,918,377,61,415,65,89,0
4688,r029,All doctorate recipients<sup>c</sup> -> Engineering -> Other engineering,All doctorate recipients<sup>c</sup>,Engineering,Other engineering,,3,2413,1600,1431,468,122,690,151,169,0
4688,r030,All doctorate recipients<sup>c</sup> -> Education,All doctorate recipients<sup>c</sup>,Education,,,2,4716,3110,2907,281,1433,198,995,203,0
4688,r031,All doctorate recipients<sup>c</sup> -> Education -> Education administration,All doctorate recipients<sup>c</sup>,Education,Education administration,,3,927,645,624,13,246,31,334,21,0
4688,r032,All doctorate recipients<sup>c</sup> -> Education -> Education research,All doctorate recipients<sup>c</sup>,Education,Education research,,3,2312,1543,1442,184,749,124,385,101,0
4688,r033,All doctorate recipients<sup>c</sup> -> Education -> Teacher education,All doctorate recipients<sup>c</sup>,Education,Teacher education,,3,113,66,59,,33,,20,7,0
4688,r034,All doctorate recipients<sup>c</sup> -> Education -> Teaching fields,All doctorate recipients<sup>c</sup>,Education,Teaching fields,,3,940,603,544,55,301,25,163,59,0
4688,r035,All doctorate recipients<sup>c</sup> -> Education -> Other education,All doctorate recipients<sup>c</sup>,Education,Other education,,3,424,253,238,,104,,93,15,0
4688,r036,All doctorate recipients<sup>c</sup> -> Humanities and arts,All doctorate recipients<sup>c</sup>,Humanities and arts,,,2,4939,2604,2320,421,1328,138,433,284,0
4688,r037,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>c</sup>,Humanities and arts,Foreign languages and literature,,3,564,302,264,37,185,11,31,38,0
4688,r038,All doctorate recipients<sup>c</sup> -> Humanities and arts -> History,All doctorate recipients<sup>c</sup>,Humanities and arts,History,,3,887,509,452,115,221,26,90,57,0
4688,r039,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Letters,All doctorate recipients<sup>c</sup>,Humanities and arts,Letters,,3,1392,714,659,94,446,38,81,55,0
4688,r040,All doctorate recipients<sup>c</sup> -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>c</sup>,Humanities and arts,Other humanities and arts,,3,2096,1079,945,175,476,63,231,134,0
4688,r041,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup>,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,,,2,3006,2007,1726,179,1113,227,207,280,1
4688,r042,All doctorate recipients<sup>c</sup> -> Other<sup>d</sup> -> Business management and administration,All doctorate recipients<sup>c</sup>,Other<sup>d</sup>,Business management and administration,,3,1466,1049,881,46,646,123,66,167,1
