table_id,row_id,_b_ethnicity_race_and_debt_level_b_full_path,_b_ethnicity_race_and_debt_level_b_level_1,_b_ethnicity_race_and_debt_level_b_level_2,_b_ethnicity_race_and_debt_level_b_level_3,_b_ethnicity_race_and_debt_level_b_level_4,_b_ethnicity_race_and_debt_level_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
11689,r001,U.S. citizens and permanent residents reporting graduate debt,U.S. citizens and permanent residents reporting graduate debt,,,,1,,,,,,,,,,,,,,,,,,,
11689,r002,U.S. citizens and permanent residents reporting graduate debt -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Total (number)<sup>a</sup>,,,2,33593,25633,717,6739,764,4303,750,1811,893,769,2988,2925,2974,7960,608,3065,2356,547,1384
11689,r003,"U.S. citizens and permanent residents reporting graduate debt -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,"Debt > $30,000 (%)",,,2,19.8,16.1,17.2,10.9,9.3,6.8,7.7,38.7,4.4,14.4,5.3,37.7,24.7,31.6,23.8,37.3,25.0,24.9,35.9
11689,r004,"U.S. citizens and permanent residents reporting graduate debt -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,"Debt > $70,000 (%)",,,2,11.7,9.3,8.2,5.4,4.8,2.7,3.6,23.5,1.8,7.8,2.3,26.2,14.9,19.5,16.8,23.1,14.5,15.7,22.7
11689,r005,U.S. citizens and permanent residents reporting graduate debt -> Hispanic or Latino,U.S. citizens and permanent residents reporting graduate debt,Hispanic or Latino,,,2,,,,,,,,,,,,,,,,,,,
11689,r006,U.S. citizens and permanent residents reporting graduate debt -> Hispanic or Latino -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Hispanic or Latino,Total (number)<sup>a</sup>,,3,3246,2460,61,695,44,389,57,153,61,71,280,327,322,786,36,331,239,47,133
11689,r007,"U.S. citizens and permanent residents reporting graduate debt -> Hispanic or Latino -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Hispanic or Latino,"Debt > $30,000 (%)",,3,24.3,20.8,,13.7,15.9,9.3,19.3,43.1,,15.5,10.7,45.3,29.8,35.4,44.4,40.8,27.6,19.1,39.1
11689,r008,"U.S. citizens and permanent residents reporting graduate debt -> Hispanic or Latino -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Hispanic or Latino,"Debt > $70,000 (%)",,3,15.5,13.4,,7.5,,4.4,10.5,29.4,,8.5,5.7,33.9,20.8,22.1,,26.3,,,22.6
11689,r009,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,,,2,,,,,,,,,,,,,,,,,,,
11689,r010,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> American Indian or Alaska Native,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,American Indian or Alaska Native,,3,,,,,,,,,,,,,,,,,,,
11689,r011,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> American Indian or Alaska Native -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,American Indian or Alaska Native,Total (number)<sup>a</sup>,4,94,58,,11,,,,9,0,,,8,15,36,,21,8,,
11689,r012,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> American Indian or Alaska Native -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,American Indian or Alaska Native,"Debt > $30,000 (%)",4,33.0,31.0,,,0.0,0.0,0.0,,-,0.0,,,46.7,36.1,0.0,,,0.0,0.0
