table_id,row_id,time_period,_b_graduate_students_b_level_1,_b_graduate_students_b_level_2,_b_graduate_students_b_level_3,_b_graduate_students_b_hierarchy_depth,value
6058,r001,1980,Graduate students,Total,,2,74335
6058,r002,1980,Graduate students,U.S. citizens and permanent residents,Number,3,56438
6058,r003,1980,Graduate students,U.S. citizens and permanent residents,Percent,3,75.9
6058,r004,1980,Graduate students,Temporary visa holders,Number,3,17897
6058,r005,1980,Graduate students,Temporary visa holders,Percent,3,24.1
6058,r006,1980,Postdoctoral appointees,Total,,2,981
6058,r007,1980,Postdoctoral appointees,U.S. citizens and permanent residents,Number,3,303
6058,r008,1980,Postdoctoral appointees,U.S. citizens and permanent residents,Percent,3,30.9
6058,r009,1980,Postdoctoral appointees,Temporary visa holders,Number,3,678
6058,r010,1980,Postdoctoral appointees,Temporary visa holders,Percent,3,69.1
6058,r011,1981,Graduate students,Total,,2,79585
6058,r012,1981,Graduate students,U.S. citizens and permanent residents,Number,3,59898
6058,r013,1981,Graduate students,U.S. citizens and permanent residents,Percent,3,75.3
6058,r014,1981,Graduate students,Temporary visa holders,Number,3,19687
6058,r015,1981,Graduate students,Temporary visa holders,Percent,3,24.7
6058,r016,1981,Postdoctoral appointees,Total,,2,1040
6058,r017,1981,Postdoctoral appointees,U.S. citizens and permanent residents,Number,3,332
6058,r018,1981,Postdoctoral appointees,U.S. citizens and permanent residents,Percent,3,31.9
6058,r019,1981,Postdoctoral appointees,Temporary visa holders,Number,3,708
6058,r020,1981,Postdoctoral appointees,Temporary visa holders,Percent,3,68.1
6058,r021,1982,Graduate students,Total,,2,83720
6058,r022,1982,Graduate students,U.S. citizens and permanent residents,Number,3,58656
6058,r023,1982,Graduate students,U.S. citizens and permanent residents,Percent,3,70.1
6058,r024,1982,Graduate students,Temporary visa holders,Number,3,25064
6058,r025,1982,Graduate students,Temporary visa holders,Percent,3,29.9
6058,r026,1982,Postdoctoral appointees,Total,,2,980
6058,r027,1982,Postdoctoral appointees,U.S. citizens and permanent residents,Number,3,323
6058,r028,1982,Postdoctoral appointees,U.S. citizens and permanent residents,Percent,3,33.0
6058,r029,1982,Postdoctoral appointees,Temporary visa holders,Number,3,657
6058,r030,1982,Postdoctoral appointees,Temporary visa holders,Percent,3,67.0
6058,r031,1983,Graduate students,Total,,2,91146
6058,r032,1983,Graduate students,U.S. citizens and permanent residents,Number,3,63649
