table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_level_5,_b_field_b_hierarchy_depth,field_2019_all_units_with_students,field_2019_units_with_master_s_students,field_2019_units_with_doctoral_students,field_2020_all_units_with_students,field_2020_units_with_master_s_students,field_2020_units_with_doctoral_students,field_2021_all_units_with_students,field_2021_units_with_master_s_students,field_2021_units_with_doctoral_students
8264,r001,All surveyed fields<sup>a</sup>,All surveyed fields<sup>a</sup>,,,,,1,13149,10281,7135,13659,10704,7205,13928,10864,7346
8264,r002,All surveyed fields<sup>a</sup> -> Science,All surveyed fields<sup>a</sup>,Science,,,,2,9451,7119,5148,9720,7364,5161,9898,7467,5256
8264,r003,All surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences,All surveyed fields<sup>a</sup>,Science,Agricultural and veterinary sciences,,,3,291,268,185,333,299,212,331,297,211
8264,r004,All surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All surveyed fields<sup>a</sup>,Science,Agricultural and veterinary sciences,Agricultural sciences,,4,291,268,185,300,275,187,298,271,187
8264,r005,All surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences<sup>b</sup>,All surveyed fields<sup>a</sup>,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences<sup>b</sup>,,4,na,na,na,33,24,25,33,26,24
8264,r006,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,,,3,2638,1581,1848,2632,1591,1814,2694,1604,1860
8264,r007,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Biochemistry,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Biochemistry,,4,190,93,158,180,87,150,183,85,153
8264,r008,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Biology ,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Biology ,,4,386,338,166,382,336,162,383,338,157
8264,r009,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Biomedical sciences,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Biomedical sciences,,4,175,112,106,174,119,100,175,112,106
8264,r010,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Biophysics,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Biophysics,,4,44,6,44,39,6,39,42,6,41
8264,r011,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,,4,185,135,119,194,139,120,196,146,123
8264,r012,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Biotechnology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Biotechnology,,4,76,71,8,85,80,7,85,78,9
8264,r013,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Botany and plant biology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Botany and plant biology,,4,67,55,57,68,55,58,61,51,55
8264,r014,"All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",,4,187,79,154,186,76,154,199,81,161
8264,r015,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Ecology and population biology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Ecology and population biology,,4,107,67,79,108,74,78,109,73,80
8264,r016,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Epidemiology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Epidemiology,,4,85,58,65,86,61,63,88,61,65
8264,r017,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Genetics,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Genetics,,4,98,48,73,93,49,71,93,46,72
8264,r018,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Microbiological sciences and immunology,,4,174,79,146,172,82,143,180,84,149
8264,r019,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Molecular biology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Molecular biology,,4,53,20,40,54,20,41,54,21,40
8264,r020,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Neurobiology and neuroscience,,4,178,44,160,169,42,153,175,41,159
8264,r021,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Nutrition science,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Nutrition science,,4,101,92,53,103,87,56,112,97,55
8264,r022,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences,Pathology and experimental pathology,,4,44,14,39,43,12,37,45,16,39
