table_id,row_id,citizenship_ethnicity_race_sex_and_enrollment_status_full_path,citizenship_ethnicity_race_sex_and_enrollment_status_level_1,citizenship_ethnicity_race_sex_and_enrollment_status_level_2,citizenship_ethnicity_race_sex_and_enrollment_status_level_3,citizenship_ethnicity_race_sex_and_enrollment_status_level_4,citizenship_ethnicity_race_sex_and_enrollment_status_level_5,citizenship_ethnicity_race_sex_and_enrollment_status_level_6,citizenship_ethnicity_race_sex_and_enrollment_status_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
3240,r001,All enrolled,All enrolled,,,,,,1,16570857,17778741,18312649,18299791,17963547,17700719,17519741,17255558,17081187,16926301,16793888
3240,r002,All enrolled -> U.S. citizen and permanent resident,All enrolled,U.S. citizen and permanent resident,,,,,2,16210103,17404882,17915952,17878363,17514160,17218516,16990825,16690727,16512120,16352330,16228080
3240,r003,All enrolled -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All enrolled,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,3,2129684,2321094,2548908,2725550,2820326,2930907,3038278,3124434,3230276,3291435,3389293
3240,r004,All enrolled -> U.S. citizen and permanent resident -> Not Hispanic or Latino  ,All enrolled,U.S. citizen and permanent resident,Not Hispanic or Latino  ,,,,3,14080419,15083788,15367044,15152813,14693834,14287609,13952547,13566293,13281844,13060895,12838787
3240,r005,All enrolled -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> American Indian or Alaska Native,All enrolled,U.S. citizen and permanent resident,Not Hispanic or Latino  ,American Indian or Alaska Native,,,4,163816,173664,167193,160238,149331,140727,132861,127050,123207,119447,115749
3240,r006,All enrolled -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Asian,All enrolled,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Asian,,,4,na,na,na,966254,955770,964459,980732,995605,1015491,1032833,1050692
3240,r007,All enrolled -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Asian or Pacific Islander<sup>b</sup> ,All enrolled,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Asian or Pacific Islander<sup>b</sup> ,,,4,1007955,1034929,1019873,na,na,na,na,na,na,na,na
3240,r008,All enrolled -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Black or African American ,All enrolled,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Black or African American ,,,4,2097256,2335984,2462896,2516408,2426585,2357841,2296900,2192917,2111256,2080577,2027114
3240,r009,All enrolled -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Native Hawaiian or Other Pacific Islander  ,All enrolled,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Native Hawaiian or Other Pacific Islander  ,,,4,na,na,na,65512,62843,60366,58501,55608,52629,51798,50410
3240,r010,All enrolled -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> White,All enrolled,U.S. citizen and permanent resident,Not Hispanic or Latino  ,White,,,4,9560888,9942363,10082269,9927932,9648190,9355436,9087214,8833477,8641902,8473359,8278881
3240,r011,All enrolled -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> More than one race<sup>c</sup>,All enrolled,U.S. citizen and permanent resident,Not Hispanic or Latino  ,More than one race<sup>c</sup>,,,4,na,na,na,368529,431762,482077,538239,564149,571126,598919,621465
3240,r012,All enrolled -> U.S. citizen and permanent resident -> Not Hispanic or Latino   -> Other or unknown race or ethnicity,All enrolled,U.S. citizen and permanent resident,Not Hispanic or Latino  ,Other or unknown race or ethnicity,,,4,1250504,1596848,1634813,1147940,1019353,926703,858100,797487,766233,703962,694476
3240,r013,All enrolled -> Temporary resident ,All enrolled,Temporary resident ,,,,,2,360754,373859,396697,421428,449387,482203,528916,564831,569067,573971,565808
3240,r014,All enrolled -> Female,All enrolled,Female,,,,,2,9420814,10094332,10379172,10382782,10151705,9944445,9836589,9661652,9576303,9507255,9490396
3240,r015,All enrolled -> Female -> U.S. citizen and permanent resident,All enrolled,Female,U.S. citizen and permanent resident,,,,3,9237891,9907537,10183024,10178263,9938699,9719779,9594219,9403643,9316095,9242455,9226449
3240,r016,All enrolled -> Female -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All enrolled,Female,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,4,1239639,1343900,1468695,1575255,1627827,1686043,1747873,1799209,1863690,1907394,1975824
