table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_hierarchy_depth,field_2017_actual,field_2018_annualized_cr,field_2019_proposed,field_dollar_change_2018_19,field_percent_change_2018_19
3595,r001,Department of Defense<sup>a</sup>,Department of Defense<sup>a</sup>,,1,49197,43616,57156,13540,31
3595,r002,Department of Health and Human Services,Department of Health and Human Services,,1,34222,33772,24742,-9030,-27
3595,r003,Department of Energy,Department of Energy,,1,14896,15006,12685,-2321,-15
3595,r004,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,1,10704,10243,10651,408,4
3595,r005,National Science Foundation,National Science Foundation,,1,5938,6030,4177,-1853,-31
3595,r006,Department of Agriculture,Department of Agriculture,,1,2585,2487,2914,-573,-23
3595,r007,Department of Veterans Affairs,Department of Veterans Affairs,,1,1346,1338,1345,7,1
3595,r008,Department of Commerce,Department of Commerce,,1,1794,1833,1361,-472,-26
3595,r009,Department of Transportation,Department of Transportation,,1,904,929,826,-103,-11
3595,r010,Department of the Interior,Department of the Interior,,1,953,964,759,-205,-21
3595,r011,Patient-Centered Outcomes Research Trust Fund,Patient-Centered Outcomes Research Trust Fund,,1,463,501,622,121,24
3595,r012,Department of Homeland Security,Department of Homeland Security,,1,724,672,548,-124,-18
3595,r013,Smithsonian Institution,Smithsonian Institution,,1,251,242,271,29,12
3595,r014,Environmental Protection Agency,Environmental Protection Agency,,1,497,496,269,-227,-46
3595,r015,Department of Education,Department of Education,,1,254,243,240,-3,-1
3595,r016,Other,Other,,1,561,629,490,-139,-22
3595,r017,Other -> Total<sup>b</sup>,Other,Total<sup>b</sup>,2,125289,119001,118056,-945,-1
3595,r018,Other -> Total (using the former definition of development),Other,Total (using the former definition of development),2,154983,153932,156777,2845,2
