table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_doe_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
3179,r001,All institutions,All institutions,,1,-,"['1,939,175', '']","['50,085', '']","['94,187', '']","['225,861', '']","['8,274', '']","['743,651', '']","['362', '']","['4,954', '']","['15,825', '']","['790,697', '']","['5,279', '']"
3179,r002,All institutions -> U. Rochester,All institutions,U. Rochester,2,1,"['94,427', '']","['0', '']","['172', '']","['41', '']","['0', '']","['93,354', '']","['0', '']","['0', '']","['0', '']","['860', '']","['0', '']"
3179,r003,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,2,"['78,917', '']","['102', '']","['263', '']","['17,355', '']","['158', '']","['55,224', '']","['0', '']","['0', '']","['20', '']","['5,793', '']","['2', '']"
3179,r004,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,3,"['71,131', '']","['442', '']","['1,836', '']","['34,717', '']","['0', '']","['13,059', '']","['0', '']","['0', '']","['263', '']","['20,814', '']","['0', '']"
3179,r005,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,4,"['67,337', '']","['922', '']","['1,168', '']","['95', '']","['0', '']","['35,781', '']","['0', '']","['146', '']","['0', '']","['29,225', '']","['0', '']"
3179,r006,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,5,"['66,545', '']","['2,451', '']","['978', '']","['28,697', '']","['172', '']","['6,575', '']","['167', '']","['131', '']","['0', '']","['26,880', '']","['494', '']"
3179,r007,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,6,"['61,485', '']","['5,843', '']","['155', '']","['2,327', '']","['185', '']","['12,852', '']","['0', '']","['98', '']","['3,878', '']","['35,781', '']","['366', '']"
3179,r008,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,7,"['42,917', '']","['172', '']","['1,416', '']","['6,026', '']","['353', '']","['16,531', '']","['0', '']","['107', '']","['1,875', '']","['16,437', '']","['0', '']"
3179,r009,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,8,"['40,718', '']","['18', '']","['318', '']","['711', '']","['0', '']","['6,631', '']","['0', '']","['0', '']","['0', '']","['33,040', '']","['0', '']"
3179,r010,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,9,"['35,772', '']","['856', '']","['6,764', '']","['2,256', '']","['433', '']","['9,253', '']","['0', '']","['0', '']","['0', '']","['15,608', '']","['602', '']"
3179,r011,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,10,"['33,433', '']","['1,342', '']","['901', '']","['3,441', '']","['60', '']","['11,081', '']","['0', '']","['157', '']","['0', '']","['16,192', '']","['259', '']"
3179,r012,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,11,"['32,368', '']","['757', '']","['240', '']","['1,220', '']","['488', '']","['4,027', '']","['0', '']","['101', '']","['0', '']","['25,535', '']","['0', '']"
3179,r013,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,12,"['31,613', '']","['273', '']","['2,423', '']","['4,112', '']","['42', '']","['15,995', '']","['0', '']","['0', '']","['0', '']","['8,656', '']","['112', '']"
3179,r014,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,13,"['30,266', '']","['843', '']","['722', '']","['4,164', '']","['120', '']","['19,046', '']","['0', '']","['71', '']","['464', '']","['4,836', '']","['0', '']"
3179,r015,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,14,"['29,606', '']","['471', '']","['3,485', '']","['3,633', '']","['84', '']","['5,872', '']","['4', '']","['1', '']","['0', '']","['16,034', '']","['22', '']"
3179,r016,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,15,"['28,043', '']","['190', '']","['1,110', '']","['307', '']","['20', '']","['13,659', '']","['0', '']","['99', '']","['1,120', '']","['11,538', '']","['0', '']"
3179,r017,All institutions -> U. North Dakota,All institutions,U. North Dakota,2,16,"['27,259', '']","['17', '']","['74', '']","['0', '']","['0', '']","['33', '']","['5', '']","['16', '']","['0', '']","['27,114', '']","['0', '']"
3179,r018,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,17,"['27,012', '']","['868', '']","['149', '']","['3,944', '']","['0', '']","['4,644', '']","['0', '']","['30', '']","['0', '']","['17,166', '']","['211', '']"
3179,r019,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,18,"['26,718', '']","['841', '']","['830', '']","['2,188', '']","['23', '']","['8,277', '']","['0', '']","['110', '']","['99', '']","['14,350', '']","['0', '']"
3179,r020,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,19,"['25,786', '']","['72', '']","['1,482', '']","['3,341', '']","['105', '']","['9,860', '']","['0', '']","['336', '']","['374', '']","['10,216', '']","['0', '']"
3179,r021,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,20,"['25,423', '']","['703', '']","['3,094', '']","['369', '']","['256', '']","['9,602', '']","['0', '']","['23', '']","['13', '']","['11,363', '']","['0', '']"
3179,r022,All institutions -> U. Utah,All institutions,U. Utah,2,21,"['23,822', '']","['2,410', '']","['9,004', '']","['3,188', '']","['0', '']","['3,125', '']","['0', '']","['0', '']","['0', '']","['6,034', '']","['61', '']"
3179,r023,All institutions -> Cornell U.,All institutions,Cornell U.,2,22,"['23,747', '']","['12', '']","['193', '']","['1,793', '']","['0', '']","['17,153', '']","['0', '']","['0', '']","['0', '']","['4,292', '']","['304', '']"
3179,r024,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,23,"['21,696', '']","['152', '']","['25', '']","['1,337', '']","['49', '']","['13,353', '']","['0', '']","['55', '']","['0', '']","['6,724', '']","['1', '']"
3179,r025,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,24,"['21,580', '']","['719', '']","['0', '']","['3,592', '']","['0', '']","['8,272', '']","['0', '']","['0', '']","['1,589', '']","['7,408', '']","['0', '']"
3179,r026,All institutions -> Washington State U.,All institutions,Washington State U.,2,25,"['21,283', '']","['319', '']","['1,122', '']","['1,820', '']","['0', '']","['10,538', '']","['0', '']","['15', '']","['0', '']","['7,051', '']","['418', '']"
3179,r027,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,26,"['21,167', '']","['654', '']","['1,060', '']","['189', '']","['0', '']","['6,094', '']","['0', '']","['0', '']","['0', '']","['13,170', '']","['0', '']"
3179,r028,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,27,"['21,103', '']","['888', '']","['949', '']","['0', '']","['0', '']","['18,662', '']","['0', '']","['0', '']","['0', '']","['603', '']","['1', '']"
3179,r029,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,28,"['20,413', '']","['219', '']","['1,543', '']","['117', '']","['498', '']","['10,835', '']","['0', '']","['0', '']","['1,925', '']","['5,276', '']","['0', '']"
3179,r030,All institutions -> Colorado School of Mines,All institutions,Colorado School of Mines,2,29,"['19,191', '']","['141', '']","['1,249', '']","['1,350', '']","['117', '']","['3,109', '']","['0', '']","['89', '']","['0', '']","['13,136', '']","['0', '']"
3179,r031,All institutions -> Stanford U.,All institutions,Stanford U.,2,30,"['18,327', '']","['351', '']","['731', '']","['420', '']","['21', '']","['5,862', '']","['0', '']","['0', '']","['0', '']","['10,942', '']","['0', '']"
3179,r032,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,31,"['16,887', '']","['316', '']","['580', '']","['258', '']","['236', '']","['2,467', '']","['0', '']","['0', '']","['0', '']","['13,030', '']","['0', '']"
3179,r033,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,32,"['16,669', '']","['1,159', '']","['688', '']","['1,106', '']","['0', '']","['4,581', '']","['0', '']","['0', '']","['0', '']","['9,135', '']","['0', '']"
3179,r034,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,33,"['16,521', '']","['0', '']","['509', '']","['1,588', '']","['0', '']","['943', '']","['0', '']","['0', '']","['0', '']","['13,444', '']","['37', '']"
3179,r035,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,34,"['16,083', '']","['842', '']","['125', '']","['74', '']","['0', '']","['1,223', '']","['0', '']","['0', '']","['0', '']","['13,709', '']","['110', '']"
3179,r036,All institutions -> U. Florida,All institutions,U. Florida,2,35,"['15,780', '']","['140', '']","['1,049', '']","['2,585', '']","['0', '']","['4,168', '']","['0', '']","['0', '']","['0', '']","['7,838', '']","['0', '']"
3179,r037,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,36,"['15,451', '']","['652', '']","['157', '']","['4,058', '']","['123', '']","['5,241', '']","['0', '']","['0', '']","['0', '']","['5,156', '']","['64', '']"
3179,r038,All institutions -> Duke U.,All institutions,Duke U.,2,37,"['15,385', '']","['0', '']","['835', '']","['270', '']","['29', '']","['9,664', '']","['0', '']","['166', '']","['0', '']","['4,341', '']","['80', '']"
3179,r039,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,38,"['14,861', '']","['143', '']","['3,567', '']","['3,015', '']","['168', '']","['2,457', '']","['0', '']","['0', '']","['33', '']","['5,478', '']","['0', '']"
3179,r040,All institutions -> West Virginia U.,All institutions,West Virginia U.,2,39,"['14,859', '']","['0', '']","['4,942', '']","['786', '']","['0', '']","['1,049', '']","['0', '']","['223', '']","['0', '']","['7,804', '']","['55', '']"
