table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_all_doctorate_recipients,field_doctorate_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
7565,r001,Female doctorate recipients reporting postgraduation commitments,Female doctorate recipients reporting postgraduation commitments,,,,1,24156,15140,13894,5706,3526,2719,1943,1238,8
7565,r002,Female doctorate recipients reporting postgraduation commitments -> Science and engineering,Female doctorate recipients reporting postgraduation commitments,Science and engineering,,,2,17939,11518,10586,5226,1781,2450,1129,928,4
7565,r003,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,,3,621,363,333,166,53,73,41,30,0
7565,r004,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",4,403,243,223,109,36,62,16,20,0
7565,r005,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,4,218,120,110,57,17,11,25,10,0
7565,r006,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,,3,4312,2776,2614,1709,199,542,164,161,1
7565,r007,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",4,630,395,371,255,20,87,9,24,0
7565,r008,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",4,234,172,160,57,12,77,14,11,1
7565,r009,Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy,Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,4,346,224,211,141,20,42,8,13,0
7565,r010,"Female doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology",Female doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",4,589,414,383,236,,,54,31,0
