table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_in_house_or_external_r_d_number_yes,field_in_house_or_external_r_d_number_no,field_in_house_or_external_r_d_percent_yes,field_in_house_or_external_r_d_percent_no
2620,r001,All companies,All companies,,,1,"['    752,895 ', '&nbsp;']","['    270,271 ', '&nbsp;']","['    482,624 ', '&nbsp;']","['    35.9 ', '&nbsp;']","['    64.1 ', '&nbsp;']"
2620,r002,All companies -> Race,All companies,Race,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2620,r003,All companies -> Race -> White,All companies,Race,White,3,"['    641,736 ', '&nbsp;']","['    229,299 ', '&nbsp;']","['    412,437 ', '&nbsp;']","['    35.7 ', '&nbsp;']","['    64.3 ', '&nbsp;']"
2620,r004,All companies -> Race -> Asian,All companies,Race,Asian,3,"['    75,533 ', '&nbsp;']","['    25,431 ', '&nbsp;']","['    50,103 ', '&nbsp;']","['    33.7 ', '&nbsp;']","['    66.3 ', '&nbsp;']"
2620,r005,All companies -> Race -> Black or African American,All companies,Race,Black or African American,3,"['    14,704 ', '&nbsp;']","['    4,689 ', '&nbsp;']","['    10,016 ', '&nbsp;']","['    31.9 ', '&nbsp;']","['    68.1 ', '&nbsp;']"
2620,r006,All companies -> Race -> American Indian or Alaska Native,All companies,Race,American Indian or Alaska Native,3,"['    4,061 ', '&nbsp;']","['    1,543 ', '&nbsp;']","['    2,518 ', '&nbsp;']","['    38.0 ', '&nbsp;']","['    62.0 ', '&nbsp;']"
2620,r007,All companies -> Race -> Native Hawaiian or Other Pacific Islander,All companies,Race,Native Hawaiian or Other Pacific Islander,3,"['    1,051 ', '&nbsp;']","['    394 ', '&nbsp;']","['    657 ', '&nbsp;']","['    37.5 ', '&nbsp;']","['    62.5 ', '&nbsp;']"
2620,r008,All companies -> Ethnicity,All companies,Ethnicity,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2620,r009,All companies -> Ethnicity -> Hispanic or Latino,All companies,Ethnicity,Hispanic or Latino,3,"['    47,109 ', '&nbsp;']","['    12,829 ', '&nbsp;']","['    34,280 ', '&nbsp;']","['    27.2 ', '&nbsp;']","['    72.8 ', '&nbsp;']"
2620,r010,All companies -> Ethnicity -> Equally Hispanic/ Not Hispanic or Latino,All companies,Ethnicity,Equally Hispanic/ Not Hispanic or Latino,3,"['    7,156 ', '&nbsp;']","['    2,486 ', '&nbsp;']","['    4,670 ', '&nbsp;']","['    34.7 ', '&nbsp;']","['    65.3 ', '&nbsp;']"
2620,r011,All companies -> Ethnicity -> Not Hispanic or Latino,All companies,Ethnicity,Not Hispanic or Latino,3,"['    681,239 ', '&nbsp;']","['    245,651 ', '&nbsp;']","['    435,588 ', '&nbsp;']","['    36.1 ', '&nbsp;']","['    63.9 ', '&nbsp;']"
2620,r012,All companies -> Minority status,All companies,Minority status,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2620,r013,All companies -> Minority status -> Minority,All companies,Minority status,Minority,3,"['    140,202 ', '&nbsp;']","['    44,244 ', '&nbsp;']","['    95,958 ', '&nbsp;']","['    31.6 ', '&nbsp;']","['    68.4 ', '&nbsp;']"
2620,r014,All companies -> Minority status -> Equally minority/ nonminority,All companies,Minority status,Equally minority/ nonminority,3,"['    12,703 ', '&nbsp;']","['    4,846 ', '&nbsp;']","['    7,856 ', '&nbsp;']","['    38.2 ', '&nbsp;']","['    61.8 ', '&nbsp;']"
2620,r015,All companies -> Minority status -> Nonminority,All companies,Minority status,Nonminority,3,"['    582,599 ', '&nbsp;']","['    211,875 ', '&nbsp;']","['    370,724 ', '&nbsp;']","['    36.4 ', '&nbsp;']","['    63.6 ', '&nbsp;']"
2620,r016,All companies -> Unclassifiable,All companies,Unclassifiable,,2,"['    17,391 ', 'i']","['    9,305 ', 'i']","['    8,086 ', 'i']","['    53.5 ', '&nbsp;']","['    46.5 ', '&nbsp;']"
