table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_male_doctorate_recipients,field_doctorate_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
11703,r001,Male doctorate recipients reporting postgraduation commitments,Male doctorate recipients reporting postgraduation commitments,,,,1,30356,20270,18335,6564,3238,6659,1874,1922,13
11703,r002,Male doctorate recipients reporting postgraduation commitments -> Science and engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,,,2,25480,17190,15608,6143,1822,6377,1266,1573,9
11703,r003,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,,3,572,382,353,168,60,81,44,29,0
11703,r004,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",4,371,248,224,111,36,60,17,24,0
11703,r005,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,4,201,134,129,57,24,21,27,5,0
11703,r006,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,,3,4433,2780,2649,1571,216,718,144,131,0
11703,r007,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",4,780,497,481,276,27,165,13,16,0
11703,r008,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",4,413,279,271,95,25,132,19,8,0
11703,r009,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, general",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, general",4,370,202,191,123,19,37,12,11,0
11703,r010,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,4,313,165,157,102,18,34,3,8,0
11703,r011,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",4,447,314,287,173,31,42,41,27,0
11703,r012,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Genetics and genomics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Genetics and genomics,4,225,127,,76,,32,8,,0
11703,r013,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,4,495,313,304,207,16,73,8,9,0
11703,r014,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,4,524,321,308,207,12,76,13,13,0
11703,r015,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,4,180,115,,56,,42,8,,0
11703,r016,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Physiology, oncology, and cancer biology",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Physiology, oncology, and cancer biology",4,413,262,251,149,36,58,8,11,0
11703,r017,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",4,273,185,167,107,22,27,11,18,0
11703,r018,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,,3,1710,1214,1109,204,170,666,69,102,3
11703,r019,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences -> Computer science,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,Computer science,4,1234,885,809,145,114,508,42,75,1
11703,r020,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,"Computer and information sciences, other",4,476,329,300,59,56,158,27,27,2
11703,r021,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,,3,7873,5264,4850,1411,297,2768,374,413,1
11703,r022,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Aerospace, aeronautical, astronautical, and space engineering",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Aerospace, aeronautical, astronautical, and space engineering",4,489,346,328,80,34,149,65,18,0
11703,r023,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",4,743,437,420,187,27,189,17,17,0
11703,r024,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Chemical and petroleum engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Chemical and petroleum engineering,4,889,597,543,165,9,355,14,54,0
11703,r025,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Civil, environmental, and transportation engineering",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Civil, environmental, and transportation engineering",4,863,579,516,185,40,242,49,63,0
11703,r026,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Electrical and computer engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Electrical and computer engineering,4,1719,1219,1110,195,58,776,81,109,0
11703,r027,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Engineering technologies,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Engineering technologies,4,317,212,189,53,9,121,6,23,0
11703,r028,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Industrial engineering and operations research,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Industrial engineering and operations research,4,436,299,272,56,35,151,30,27,0
11703,r029,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Materials and mining engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Materials and mining engineering,4,649,436,402,144,10,227,21,34,0
11703,r030,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Mechanical engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Mechanical engineering,4,1277,824,770,248,54,413,55,54,0
11703,r031,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Engineering, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Engineering, other",4,491,315,300,98,21,145,36,14,1
11703,r032,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",Male doctorate recipients reporting postgraduation commitments,Science and engineering,"Geosciences, atmospheric, and ocean sciences",,3,668,491,445,281,39,79,46,45,1
11703,r033,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences",Male doctorate recipients reporting postgraduation commitments,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,4,384,281,252,139,26,56,31,28,1
11703,r034,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean, marine, and atmospheric sciences",Male doctorate recipients reporting postgraduation commitments,Science and engineering,"Geosciences, atmospheric, and ocean sciences","Ocean, marine, and atmospheric sciences",4,284,210,193,142,13,23,15,17,0
11703,r035,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,,3,789,529,476,188,100,126,62,53,0
11703,r036,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Nursing and nursing science,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,Nursing and nursing science,4,69,47,39,5,,,10,8,0
11703,r037,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,4,211,145,129,56,,,4,16,0
11703,r038,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Public health,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,Public health,4,218,154,139,67,25,20,27,15,0
11703,r039,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Health sciences -> Health sciences, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Health sciences,"Health sciences, other",4,291,183,169,60,51,37,21,14,0
11703,r040,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,,3,1480,1030,890,377,142,318,53,139,1
11703,r041,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics -> Applied mathematics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,Applied mathematics,4,342,249,227,102,18,92,15,22,0
11703,r042,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics -> Mathematics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,Mathematics,4,703,446,357,199,79,63,16,89,0
11703,r043,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Mathematics and statistics -> Statistics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Mathematics and statistics,Statistics,4,435,335,306,76,45,163,22,28,1
11703,r044,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Multidisciplinary/ interdisciplinary sciences,,3,1044,762,701,193,106,352,50,60,1
11703,r045,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,4,409,307,289,64,42,162,21,17,1
11703,r046,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",4,635,455,412,129,64,190,29,43,0
11703,r047,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,,3,3594,2410,2179,1052,117,918,92,231,0
11703,r048,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Astronomy and astrophysics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Astronomy and astrophysics,4,219,170,143,,,22,8,27,0
11703,r049,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Chemistry,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Chemistry,4,1550,1031,964,415,56,458,35,67,0
11703,r050,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Materials sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Materials sciences,4,248,164,157,,,82,8,7,0
11703,r051,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Physical sciences -> Physics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Physical sciences,Physics,4,1577,1045,915,473,45,356,41,130,0
11703,r052,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,,3,885,581,557,291,103,87,76,24,0
11703,r053,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Clinical psychology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,Clinical psychology,4,242,183,,144,14,,16,,0
11703,r054,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Counseling and applied psychology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,Counseling and applied psychology,4,288,194,184,65,37,39,43,10,0
11703,r055,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Research and experimental psychology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,Research and experimental psychology,4,245,158,,63,40,,13,,0
11703,r056,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Psychology -> Psychology, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Psychology,"Psychology, other",4,110,46,,19,12,,4,,0
11703,r057,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,,3,2432,1747,1399,407,472,264,256,346,2
11703,r058,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Anthropology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Anthropology,4,134,82,64,27,24,10,3,18,0
11703,r059,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",4,155,96,85,38,37,0,10,11,0
11703,r060,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Economics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Economics,4,907,712,520,110,145,162,103,191,1
11703,r061,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Social sciences -> Political science and government,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Social sciences,Political science and government,4,384,272,236,85,92,24,35,36,0
