table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2019,field_2020,field_2021,field_2022_all_geosciences_atmospheric_sciences_and_ocean_sciences,field_2022_atmospheric_science_and_meteorology,field_2022_geological_and_earth_sciences,field_2022_ocean_sciences_and_marine_sciences,field_2022_geosciences_atmospheric_sciences_and_ocean_sciences_nec
10133,r001,All institutions,All institutions,,1,-,"['2,067,218', '']","['2,108,685', '']","['2,144,257', '']","['2,478,702', '']","['528,068', '']","['875,493', '']","['785,545', '']","['289,596', '']"
10133,r002,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,1,"['100,000', '']","['114,555', '']","['105,493', '']","['131,461', '']","['52,098', '']","['10,364', '']","['66,250', '']","['2,749', '']"
10133,r003,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,2,"['112,979', '']","['115,744', '']","['129,085', '']","['129,264', 'i']","['26,210', 'i']","['53,953', 'i']","['40,093', 'i']","['9,008', 'i']"
10133,r004,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,3,"['119,659', '']","['116,177', '']","['116,175', '']","['126,188', '']","['28,214', '']","['15,253', '']","['2,816', '']","['79,905', '']"
10133,r005,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,4,"['120,294', '']","['128,962', '']","['107,137', '']","['122,993', '']","['554', '']","['21,045', '']","['101,311', '']","['83', '']"
10133,r006,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,5,"['50,566', '']","['54,408', '']","['76,984', '']","['102,308', '']","['10,585', '']","['62,956', '']","['28,148', '']","['619', '']"
10133,r007,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,6,"['86,781', '']","['82,072', '']","['81,667', '']","['97,109', '']","['5,556', '']","['6,276', '']","['81,325', '']","['3,952', '']"
10133,r008,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,7,"['37,235', '']","['59,766', '']","['73,509', '']","['90,660', '']","['13,406', '']","['38,852', '']","['29,684', '']","['8,718', '']"
10133,r009,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,8,"['36,870', '']","['41,304', '']","['44,691', '']","['74,212', '']","['27,666', '']","['5,485', '']","['41,061', '']","['0', '']"
10133,r010,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,9,"['54,007', '']","['64,742', '']","['69,382', '']","['71,650', '']","['69,024', '']","['2,626', '']","['0', '']","['0', '']"
10133,r011,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,10,"['46,763', '']","['51,008', '']","['55,924', '']","['68,050', '']","['14,724', '']","['46,857', '']","['733', '']","['5,736', '']"
10133,r012,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,11,"['61,544', '']","['54,388', '']","['53,955', '']","['59,425', '']","['6,810', '']","['18,699', '']","['33,916', '']","['0', '']"
10133,r013,All institutions -> U. Miami,All institutions,U. Miami,2,12,"['36,297', '']","['39,430', '']","['44,559', '']","['50,038', '']","['37,038', '']","['0', '']","['12,393', '']","['607', '']"
10133,r014,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,13,"['58,526', '']","['47,728', '']","['45,399', '']","['48,908', '']","['1,501', '']","['11,306', '']","['33,862', '']","['2,239', '']"
10133,r015,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,14,"['59,778', '']","['54,650', '']","['49,889', '']","['47,652', '']","['0', '']","['47,652', '']","['0', '']","['0', '']"
10133,r016,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,15,"['70,266', '']","['55,722', '']","['46,601', '']","['44,116', '']","['38,327', '']","['4,878', '']","['32', '']","['879', '']"
10133,r017,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,16,"['32,874', '']","['25,349', '']","['33,815', '']","['42,342', '']","['0', '']","['3,662', '']","['31,018', '']","['7,662', '']"
10133,r018,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,17,"['34,363', '']","['33,730', '']","['37,629', '']","['41,103', '']","['1,594', '']","['8,284', '']","['20,159', '']","['11,066', '']"
10133,r019,All institutions -> U. Utah,All institutions,U. Utah,2,18,"['15,150', '']","['11,112', '']","['30,710', '']","['40,026', '']","['984', '']","['23,881', '']","['0', '']","['15,161', '']"
