table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_all_companies,field_any_cooperation_partner,field_parent_affiliated_or_subsidiary_business,field_suppliers,field_other_businesses,field_federal_state_or_local_government,field_customers,field_consultants_or_commercial_laboratories,field_universities_colleges_or_other_institutions_of_higher_education,field_nonprofit_organizations,field_households_or_individuals
7450,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['530,124', '&nbsp;']","['69.7', '&nbsp;']","['12.1', '&nbsp;']","['40.8', '&nbsp;']","['31.3', '&nbsp;']","['7.0', '&nbsp;']","['40.1', '&nbsp;']","['12.9', '&nbsp;']","['6.4', '&nbsp;']","['6.4', '&nbsp;']","['17.7', '&nbsp;']"
7450,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7450,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['440,438', '&nbsp;']","['69.3', '&nbsp;']","['11.5', '&nbsp;']","['40.6', '&nbsp;']","['31.9', '&nbsp;']","['6.5', '&nbsp;']","['39.3', '&nbsp;']","['12.4', '&nbsp;']","['6.2', '&nbsp;']","['6.3', '&nbsp;']","['16.6', '&nbsp;']"
7450,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['68,345', '&nbsp;']","['71.1', '&nbsp;']","['12.3', '&nbsp;']","['41.6', '&nbsp;']","['26.5', '&nbsp;']","['8.3', '&nbsp;']","['44.1', '&nbsp;']","['14.2', '&nbsp;']","['6.6', '&nbsp;']","['5.7', '&nbsp;']","['23.9', '&nbsp;']"
7450,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['12,780', '&nbsp;']","['74.4', '&nbsp;']","['19.0', '&nbsp;']","['42.6', '&nbsp;']","['32.3', '&nbsp;']","['17.5', '&nbsp;']","['44.0', '&nbsp;']","['21.6', '&nbsp;']","['10.5', '&nbsp;']","['14.4', '&nbsp;']","['26.5', '&nbsp;']"
7450,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['2,250', '&nbsp;']","['63.2', '&nbsp;']","['4.3', '&nbsp;']","['32.3', '&nbsp;']","['36.9', '&nbsp;']","['12.8', '&nbsp;']","['44.2', '&nbsp;']","['14.7', '&nbsp;']","['8.4', '&nbsp;']","['15.2', '&nbsp;']","['14.4', '&nbsp;']"
7450,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or other Pacific Islander,,3,"['776', '&nbsp;']","['61.6', '&nbsp;']","['13.0', '&nbsp;']","['25.9', '&nbsp;']","['39.3', '&nbsp;']","['1.4', 'r']","['38.9', '&nbsp;']","['8.2', 'r']","['7.2', 'r']","['1.0', 'r']","['7.9', 'r']"
7450,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7450,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['37,848', '&nbsp;']","['72.8', '&nbsp;']","['13.6', '&nbsp;']","['40.5', '&nbsp;']","['29.5', '&nbsp;']","['10.2', '&nbsp;']","['47.7', '&nbsp;']","['11.0', '&nbsp;']","['8.8', '&nbsp;']","['8.2', '&nbsp;']","['25.2', '&nbsp;']"
7450,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic and not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic and not Hispanic,,3,"['5,657', '&nbsp;']","['72.1', '&nbsp;']","['11.7', '&nbsp;']","['37.3', '&nbsp;']","['36.2', '&nbsp;']","['5.0', '&nbsp;']","['39.8', '&nbsp;']","['9.9', '&nbsp;']","['5.6', '&nbsp;']","['6.5', '&nbsp;']","['20.9', '&nbsp;']"
