table_id,row_id,commuting_zone_and_variable_name_full_path,commuting_zone_and_variable_name_level_1,commuting_zone_and_variable_name_level_2,commuting_zone_and_variable_name_hierarchy_depth,field_inventive_class_ic_,field_science_engineering_and_technical_set_employment,field_creative_class_cc_,field_educated_workforce_ba_,field_patents,field_unemployment_rate_ur_,field_wage_rental_ratio_wagerentr_,field_natural_amenity_rank_natamen_,field_crime_rate_cr_,field_proximity_to_urban_center_proxurbcen_,field_location_quotient_for_patent_intensive_industries_lqpatind_,field_1975_80_patent_stock_patstock_,field_population_density_popdens_
6154,r001,Rural,Rural,,1,,,,,,,,,,,,,
6154,r002,Rural -> SET,Rural,SET,2,0.978,,,,,,,,,,,,
6154,r003,Rural -> CC,Rural,CC,2,0.952,0.957,,,,,,,,,,,
6154,r004,Rural -> BA,Rural,BA,2,0.913,0.932,0.984,,,,,,,,,,
6154,r005,Rural -> Patents,Rural,Patents,2,0.782,0.776,0.722,0.706,,,,,,,,,
6154,r006,Rural -> UR,Rural,UR,2,0.044,0.089,0.108,0.124,-0.046,,,,,,,,
6154,r007,Rural -> WageRentR,Rural,WageRentR,2,-0.402,-0.443,-0.467,-0.474,-0.287,-0.455,,,,,,,
6154,r008,Rural -> NatAmen,Rural,NatAmen,2,-0.125,-0.048,-0.03,0.015,-0.099,0.274,-0.367,,,,,,
6154,r009,Rural -> CR,Rural,CR,2,0.194,0.216,0.257,0.259,0.092,0.25,-0.48,0.12,,,,,
6154,r010,Rural -> ProxUrbCen,Rural,ProxUrbCen,2,-0.357,-0.323,-0.344,-0.319,-0.242,-0.033,0.376,-0.051,-0.242,,,,
6154,r011,Rural -> LQPatInd,Rural,LQPatInd,2,0.343,0.251,0.212,0.145,0.286,-0.199,0.029,-0.428,0.032,-0.301,,,
6154,r012,Rural -> PatStock,Rural,PatStock,2,0.371,0.376,0.307,0.297,0.483,-0.033,-0.103,-0.063,0.063,-0.127,0.124,,
6154,r013,Rural -> PopDens,Rural,PopDens,2,0.564,0.514,0.541,0.505,0.364,0.046,-0.344,-0.117,0.268,-0.497,0.318,0.178,
6154,r014,Rural -> University research expenditures (UniResExp),Rural,University research expenditures (UniResExp),2,0.326,0.409,0.332,0.352,0.433,0.067,-0.194,0.026,0.031,-0.063,0.007,0.105,0.092
6154,r015,Urban,Urban,,1,,,,,,,,,,,,,
6154,r016,Urban -> SET,Urban,SET,2,0.996,,,,,,,,,,,,
6154,r017,Urban -> CC,Urban,CC,2,0.984,0.973,,,,,,,,,,,
6154,r018,Urban -> BA,Urban,BA,2,0.976,0.966,0.996,,,,,,,,,,
6154,r019,Urban -> Patents,Urban,Patents,2,0.833,0.833,0.766,0.755,,,,,,,,,
6154,r020,Urban -> UR,Urban,UR,2,-0.095,-0.102,-0.058,-0.049,-0.11,,,,,,,,
6154,r021,Urban -> WageRentR,Urban,WageRentR,2,-0.317,-0.323,-0.331,-0.33,-0.325,-0.233,,,,,,,
6154,r022,Urban -> NatAmen,Urban,NatAmen,2,0.168,0.173,0.181,0.178,0.25,0.308,-0.613,,,,,,
6154,r023,Urban -> CR,Urban,CR,2,0.072,0.073,0.088,0.077,-0.013,0.231,-0.261,0.129,,,,,
6154,r024,Urban -> ProxUrbCen,Urban,ProxUrbCen,2,-0.34,-0.34,-0.331,-0.324,-0.275,0.063,0.222,-0.076,-0.117,,,,
6154,r025,Urban -> LQPatInd,Urban,LQPatInd,2,0.169,0.149,0.131,0.115,0.249,-0.307,0.234,-0.291,-0.107,-0.207,,,
6154,r026,Urban -> PatStock,Urban,PatStock,2,0.899,0.878,0.892,0.891,0.749,-0.04,-0.218,0.073,0.001,-0.279,0.221,,
6154,r027,Urban -> PopDens,Urban,PopDens,2,0.577,0.565,0.646,0.689,0.352,-0.002,-0.202,-0.003,0.024,-0.261,0.031,0.536,
6154,r028,Urban -> UniResExp,Urban,UniResExp,2,0.8,0.807,0.786,0.795,0.716,-0.076,-0.324,0.11,0.036,-0.272,0.092,0.68,0.557
