table_id,row_id,_b_department_b_full_path,_b_department_b_level_1,_b_department_b_level_2,_b_department_b_level_3,_b_department_b_hierarchy_depth,field_explanatory_information
10329,r001,Department of Agriculture,Department of Agriculture,,,1,
10329,r002,Department of Agriculture -> Agricultural Marketing Service,Department of Agriculture,Agricultural Marketing Service,,2,"Although the Agricultural Marketing Service (AMS) was established in April 1972, FY 1979 was the first year in which Congress appropriated funds to this agency."
10329,r003,Department of Agriculture -> ,Department of Agriculture,,,2,Data reported for AMS include funds for the Office of Transportation beginning in 1989.
10329,r004,,,,,1,"The Grain Inspection, Packers, and Stockyards Administration (GIPSA) was re-organized and absorbed in AMS in September 2017. Because GIPSA R&D projects were closed out, the transfer did not have much effect on the FY 2018 funding reported by AMS."
10329,r005, -> Agricultural Research Service,,Agricultural Research Service,,2,The Human Nutrition Information Service merged with the Agricultural Research Service on 20 February 1994.
10329,r006, -> Agricultural Stabilization and Conservation Service,,Agricultural Stabilization and Conservation Service,,2,The Agricultural Stabilization and Conservation Service was abolished as of 20 October 1994.
10329,r007," -> Cooperative State Research, Education, and Extension Service",,"Cooperative State Research, Education, and Extension Service",,2,"The Cooperative State Research Service merged with the Extension Service on 19 October 1994 to become the Cooperative State Research, Education, and Extension Service (CSREES) due to reorganization of the Department of Agriculture."
10329,r008,,,,,1,CSREES changed its name to the National Institute of Food and Agriculture in FY 2008.
10329,r009, -> Economic Research Service,,Economic Research Service,,2,"Data reported for the Economics, Statistics, and Cooperative Service include programs of the Economic Research Service (ERS), the Statistical Reporting Service (SRS), and the Farmer Cooperative Service for FYs 1977–79."
10329,r010,,,,,1,Data reported for the Economics and Statistics Service include programs of ERS and SRS for FY 1980.
10329,r011, -> Economics and Statistics Service,,Economics and Statistics Service,,2,Data reported for the Economics and Statistics Service include programs of the Economic Research Service and the Statistical Reporting Service for FY 1980.
10329,r012," -> Economics, Statistics, and Cooperative Service",,"Economics, Statistics, and Cooperative Service",,2,"Data reported for the Economics, Statistics, and Cooperative Service include programs of the Economic Research Service, the Statistical Reporting Service, and the Farmer Cooperative Service for FYs 1977–79."
