table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_all_companies,field_expectations_were_exceeded,field_expectations_were_met,field_expectations_were_not_met,field_too_early_to_tell,field_did_not_answer
7446,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['530,124', '&nbsp;']","['18.2', '&nbsp;']","['49.8', '&nbsp;']","['14.0', '&nbsp;']","['17.3', '&nbsp;']","['0.7', '&nbsp;']"
7446,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7446,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['440,438', '&nbsp;']","['18.9', '&nbsp;']","['50.5', '&nbsp;']","['13.3', '&nbsp;']","['16.6', '&nbsp;']","['0.7', '&nbsp;']"
7446,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['68,345', '&nbsp;']","['14.1', '&nbsp;']","['46.8', '&nbsp;']","['17.5', '&nbsp;']","['21.2', '&nbsp;']","['0.4', '&nbsp;']"
7446,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['12,780', '&nbsp;']","['16.3', '&nbsp;']","['47.3', '&nbsp;']","['17.5', '&nbsp;']","['17.1', '&nbsp;']","['1.8', '&nbsp;']"
7446,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['2,250', '&nbsp;']","['25.2', '&nbsp;']","['49.5', '&nbsp;']","['13.5', '&nbsp;']","['11.3', '&nbsp;']","['0.4', 'r']"
7446,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['776', '&nbsp;']","['20.6', '&nbsp;']","['43.3', '&nbsp;']","['26.9', '&nbsp;']","['9.3', 'r']","['0.0', '&nbsp;']"
7446,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7446,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['37,848', '&nbsp;']","['18.3', '&nbsp;']","['48.0', '&nbsp;']","['14.3', '&nbsp;']","['18.4', '&nbsp;']","['1.1', '&nbsp;']"
7446,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic and not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic and not Hispanic,,3,"['5,657', '&nbsp;']","['23.6', '&nbsp;']","['48.2', '&nbsp;']","['14.0', '&nbsp;']","['12.3', '&nbsp;']","['1.9', 'r']"
7446,r011,All companies (race and ethnicity) -> Ethnicity -> Not Hispanic,All companies (race and ethnicity),Ethnicity,Not Hispanic,,3,"['481,240', '&nbsp;']","['18.2', '&nbsp;']","['50.0', '&nbsp;']","['14.0', '&nbsp;']","['17.2', '&nbsp;']","['0.6', '&nbsp;']"
7446,r012,All companies (race and ethnicity) -> Minority status,All companies (race and ethnicity),Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7446,r013,All companies (race and ethnicity) -> Minority status -> Minority,All companies (race and ethnicity),Minority status,Minority,,3,"['119,938', '&nbsp;']","['15.7', '&nbsp;']","['47.2', '&nbsp;']","['16.4', '&nbsp;']","['19.9', '&nbsp;']","['0.8', '&nbsp;']"
7446,r014,"All companies (race and ethnicity) -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies (race and ethnicity),Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['51,304', '&nbsp;']","['18.1', '&nbsp;']","['47.6', '&nbsp;']","['15.0', '&nbsp;']","['18.1', '&nbsp;']","['1.2', '&nbsp;']"
7446,r015,All companies (race and ethnicity) -> Minority status -> Equally minority and nonminority,All companies (race and ethnicity),Minority status,Equally minority and nonminority,,3,"['11,342', '&nbsp;']","['23.8', '&nbsp;']","['45.5', '&nbsp;']","['16.4', '&nbsp;']","['13.5', '&nbsp;']","['1.0', 'r']"
7446,r016,All companies (race and ethnicity) -> Minority status -> Nonminority,All companies (race and ethnicity),Minority status,Nonminority,,3,"['393,466', '&nbsp;']","['18.9', '&nbsp;']","['50.7', '&nbsp;']","['13.2', '&nbsp;']","['16.5', '&nbsp;']","['0.6', '&nbsp;']"
7446,r017,All companies (race and ethnicity) -> Unclassifiable,All companies (race and ethnicity),Unclassifiable,,,2,"['5,380', '&nbsp;']","['14.1', '&nbsp;']","['48.5', '&nbsp;']","['11.4', '&nbsp;']","['24.8', '&nbsp;']","['1.2', 'r']"
