table_id,row_id,country,a_lot,some,not_much,not_at_all,don_t_know_or_refused
10531,r001,"All top 15 R&D countries (n = 17,588)",0.9,0.9,0.3,0.1,0.3
10531,r002,"Israel (n = 1,063)",1.8,1.8,0.8,0.6,0.6
10531,r003,"South Korea (n = 1,009)",1.7,1.8,1.0,0.1,0.7
10531,r004,"Taiwan (n = 1,000)",1.8,2.1,1.0,0.7,1.5
10531,r005,"Sweden (n = 1,000)",2.0,1.9,0.4,0.0,0.4
10531,r006,"Japan (n = 1,012)",1.5,1.7,0.8,0.4,1.0
10531,r007,"Germany (n = 1,000)",2.2,2.2,0.5,0.6,0.4
10531,r008,"Switzerland (n = 1,000)",2.1,2.0,1.2,0.5,0.1
10531,r009,"Belgium (n = 1,001)",1.7,1.7,0.8,0.3,0.3
10531,r010,"United States (n = 1,001)",2.2,2.1,0.9,0.4,1.3
10531,r011,"Austria (n = 1,000)",1.9,1.9,1.1,0.6,0.4
10531,r012,"Denmark (n = 1,000)",1.9,1.9,0.5,0.5,1.0
10531,r013,"Finland (n = 1,000)",1.9,1.8,0.7,0.5,0.6
10531,r014,"China (n = 3,502)",1.3,1.3,0.4,0.2,0.4
10531,r015,"France (n = 1,000)",2.0,1.9,0.8,0.4,0.3
10531,r016,"Netherlands (n = 1,000)",2.2,2.1,1.1,0.4,0.9
