table_id,row_id,country,product_innovative_firms_regardless_of_any_other_type_of_innovation_,process_innovative_firms_regardless_of_any_other_type_of_innovation_
1893,r001,Australia ,35.7,31.0
1893,r002,Austria,30.8,32.8
1893,r003,Belgium,31.9,38.8
1893,r004,Brazil ,18.5,32.1
1893,r005,Chile ,5.1,8.2
1893,r006,China,18.7,20.0
1893,r007,Czechia,25.1,22.4
1893,r008,Denmark,23.2,23.2
1893,r009,Estonia,11.0,13.0
1893,r010,Finland,34.5,32.0
1893,r011,France,27.7,27.1
1893,r012,Germany,34.4,24.1
1893,r013,Greece,23.4,29.6
1893,r014,Hungary,12.0,9.6
1893,r015,Ireland,35.7,37.8
1893,r016,Israel,36.2,34.0
1893,r017,Italy,24.7,24.5
1893,r018,Japan ,14.6,19.2
1893,r019,Latvia,8.5,9.7
1893,r020,Lithuania,20.9,31.4
1893,r021,Luxembourg,28.8,25.7
1893,r022,Netherlands,32.5,28.1
1893,r023,New Zealand,18.1,18.9
1893,r024,Norway,32.9,26.9
1893,r025,Poland,9.5,10.9
1893,r026,Portugal,28.4,35.4
1893,r027,Russia,5.3,NA
1893,r028,Slovakia,12.6,12.9
1893,r029,Slovenia,25.2,22.6
1893,r030,South Korea ,16.8,17.3
1893,r031,Spain,11.2,14.8
1893,r032,Sweden,31.4,25.8
1893,r033,Switzerland,42.4,26.1
1893,r034,Turkey,22.7,26.8
1893,r035,United Kingdom,26.8,17.9
1893,r036,United States ,18.4,19.8
