table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2020,field_2021,field_2022_all_engineering,field_2022_aerospace_aeronautical_and_astronautical_engineering,field_2022_bioengineering_and_biomedical_engineering,field_2022_chemical_engineering,field_2022_civil_engineering,field_2022_electrical_electronic_and_communications_engineering,field_2022_industrial_and_manufacturing_engineering,field_2022_mechanical_engineering,field_2022_metallurgical_and_materials_engineering,field_2022_engineering_nec_
10148,r001,All institutions,All institutions,,1,-,"['13,702,434', '']","['14,291,729', '']","['15,596,634', '']","['1,647,191', '']","['1,726,307', '']","['1,108,245', '']","['1,647,038', '']","['3,436,892', '']","['615,228', '']","['2,062,508', '']","['886,681', '']","['2,466,544', '']"
10148,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,205,632', 'i']","['1,237,980', 'i']","['1,324,646', 'i']","['164,961', 'i']","['82,261', 'i']","['24,980', 'i']","['18,090', 'i']","['567,218', 'i']","['100,873', 'i']","['247,082', 'i']","['37,033', 'i']","['82,148', 'i']"
10148,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['695,176', '']","['839,071', '']","['935,632', '']","['281,775', '']","['49,446', '']","['28,746', '']","['23,950', '']","['378,019', '']","['68,872', '']","['65,814', '']","['21,127', '']","['17,883', '']"
10148,r004,"All institutions -> SUNY, Polytechnic Institute",All institutions,"SUNY, Polytechnic Institute",2,3,"['353,542', '']","['462,562', '']","['411,929', '']","['0', '']","['1,230', '']","['0', '']","['0', '']","['1', '']","['0', '']","['34', '']","['0', '']","['410,664', '']"
10148,r005,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,4,"['357,559', '']","['385,656', '']","['402,999', '']","['32,301', '']","['27,673', '']","['19,620', '']","['110,000', '']","['29,267', '']","['12,286', '']","['38,297', '']","['11,116', '']","['122,439', '']"
10148,r006,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,5,"['419,636', '']","['382,569', '']","['397,946', '']","['36,986', '']","['105,214', '']","['49,094', '']","['16,428', '']","['51,752', '']","['603', '']","['49,402', '']","['29,280', '']","['59,187', '']"
10148,r007,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,6,"['367,730', '']","['378,667', '']","['385,594', '']","['34,060', '']","['33,997', '']","['13,450', '']","['12,444', '']","['123,291', '']","['6,773', '']","['107,002', '']","['54,577', '']","['0', '']"
10148,r008,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,7,"['259,935', '']","['279,730', '']","['319,719', '']","['14,072', '']","['10,324', '']","['46,906', '']","['41,873', '']","['80,126', '']","['72', '']","['70,078', '']","['24,710', '']","['31,558', '']"
10148,r009,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,8,"['280,592', '']","['285,469', '']","['312,394', '']","['29,644', '']","['21,868', '']","['24,850', '']","['32,784', '']","['61,840', '']","['8,859', '']","['59,435', '']","['16,790', '']","['56,324', '']"
10148,r010,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,9,"['283,329', '']","['279,682', '']","['299,254', '']","['15,615', '']","['29,990', '']","['15,462', '']","['21,267', '']","['80,277', '']","['5,384', '']","['48,222', '']","['13,520', '']","['69,517', '']"
