table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2019_actual,field_2020_preliminarya,field_2021_proposedb,field_2019_20_change_,field_2020_21_change_
3367,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,38998,40726,37802,4.4,-7.2
3367,r002,R&D and R&D plant -> Consumer and occupational health and safety (554) ,R&D and R&D plant,Consumer and occupational health and safety (554) ,,,,2,492,411,411,-16.5,0.0
3367,r003,R&D and R&D plant -> Consumer and occupational health and safety (554)  -> Consumer Product Safety Commission,R&D and R&D plant,Consumer and occupational health and safety (554) ,Consumer Product Safety Commission,,,3,1,1,1,0.0,0.0
3367,r004,R&D and R&D plant -> Consumer and occupational health and safety (554)  -> Food and Drug Administration (HHS),R&D and R&D plant,Consumer and occupational health and safety (554) ,Food and Drug Administration (HHS),,,3,491,410,410,-16.5,0.0
3367,r005,"R&D and R&D plant -> Health care services and health research and training (551, 552) ",R&D and R&D plant,"Health care services and health research and training (551, 552) ",,,,2,38506,40315,37391,4.7,-7.3
3367,r006,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services ",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,,,3,37943,40315,37391,6.3,-7.3
3367,r007,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Agency for Healthcare Research and Quality",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Agency for Healthcare Research and Quality,,4,353,354,0,0.3,-100.0
3367,r008,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Centers for Disease Control and Prevention",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Centers for Disease Control and Prevention,,4,466,435,435,-6.7,0.0
3367,r009,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Departmental management (other)",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Departmental management (other),,4,7,18,18,157.1,0.0
3367,r010,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Health Resources and Services Administration",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Health Resources and Services Administration,,4,23,23,23,0.0,0.0
3367,r011,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> National Institutes of Health",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,National Institutes of Health,,4,37094,39485,36915,6.4,-6.5
3367,r012,"R&D and R&D plant -> Health care services and health research and training (551, 552)  -> Patient-Centered Outcomes Research Trust Fund<sup>c</sup>",R&D and R&D plant,"Health care services and health research and training (551, 552) ",Patient-Centered Outcomes Research Trust Fund<sup>c</sup>,,,3,563,NA,NA,--,--
3367,r013,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,38755,40461,37452,4.4,-7.4
3367,r014,R&D and R&D plant -> R&D -> Consumer and occupational health and safety (554) ,R&D and R&D plant,R&D,Consumer and occupational health and safety (554) ,,,3,466,376,376,-19.3,0.0
3367,r015,R&D and R&D plant -> R&D -> Consumer and occupational health and safety (554)  -> Consumer Product Safety Commission,R&D and R&D plant,R&D,Consumer and occupational health and safety (554) ,Consumer Product Safety Commission,,4,1,1,1,0.0,0.0
3367,r016,R&D and R&D plant -> R&D -> Consumer and occupational health and safety (554)  -> Food and Drug Administration (HHS),R&D and R&D plant,R&D,Consumer and occupational health and safety (554) ,Food and Drug Administration (HHS),,4,465,375,375,-19.4,0.0
3367,r017,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552) ",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",,,3,38289,40085,37076,4.7,-7.5
3367,r018,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services ",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,,4,37726,40085,37076,6.3,-7.5
3367,r019,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Agency for Healthcare Research and Quality",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Agency for Healthcare Research and Quality,5,353,354,0,0.3,-100.0
3367,r020,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Centers for Disease Control and Prevention",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Centers for Disease Control and Prevention,5,466,435,435,-6.7,0.0
3367,r021,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Departmental management (other)",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Departmental management (other),5,7,18,18,157.1,0.0
3367,r022,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> Health Resources and Services Administration",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,Health Resources and Services Administration,5,23,23,23,0.0,0.0
3367,r023,"R&D and R&D plant -> R&D -> Health care services and health research and training (551, 552)  -> Department of Health and Human Services  -> National Institutes of Health",R&D and R&D plant,R&D,"Health care services and health research and training (551, 552) ",Department of Health and Human Services ,National Institutes of Health,5,36877,39255,36600,6.5,-6.8
