table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_level_5,_b_characteristic_b_hierarchy_depth,field_all_multidisciplinary_interdisciplinary_sciences_fields,field_interdisciplinary_computer_sciences,field_multidisciplinary_interdisciplinary_sciences_other
9629,r001,Doctorate recipients reporting postgraduation status (number),Doctorate recipients reporting postgraduation status (number),,,,,1,1592,543,1049
9629,r002,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans,,,,2,23.7,17.7,26.8
9629,r003,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans,Doctorate recipients reporting postgraduation status (number),Definite employment plans,,,,2,52.4,61.9,47.5
9629,r004,Doctorate recipients reporting postgraduation status (number) -> Seeking employment or study,Doctorate recipients reporting postgraduation status (number),Seeking employment or study,,,,2,21.7,18.4,23.4
9629,r005,Doctorate recipients reporting postgraduation status (number) -> Other status<sup>a</sup>,Doctorate recipients reporting postgraduation status (number),Other status<sup>a</sup>,,,,2,2.2,2.0,2.3
9629,r006,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup>,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,,,,2,,,
9629,r007,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup> -> Postdoc fellowship or research associateship,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,Postdoc fellowship or research associateship,,,3,96.8,99.0,96.1
9629,r008,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>b</sup> -> Other training or unknown<sup>c</sup>,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>b</sup>,Other training or unknown<sup>c</sup>,,,3,3.2,1.0,3.9
9629,r009,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,,,,2,,,
9629,r010,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,,,3,24.0,17.9,28.1
9629,r011,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe -> In tenure track faculty position (%),Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,In tenure track faculty position (%),,4,50.5,68.3,42.9
9629,r012,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Academe -> Not in tenure track position (%),Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Academe,Not in tenure track position (%),,4,45.5,26.7,53.6
9629,r013,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Government,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Government,,,3,4.8,3.3,5.8
9629,r014,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Industry or business<sup>e</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Industry or business<sup>e</sup>,,,3,62.4,71.4,56.2
9629,r015,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Nonprofit organization,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Nonprofit organization,,,3,5.3,3.9,6.2
9629,r016,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Other or unknown<sup>f</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Other or unknown<sup>f</sup>,,,3,3.6,3.6,3.6
9629,r017,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,,,3,,,
9629,r018,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Research and development,,4,64.5,72.9,58.8
9629,r019,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Teaching,,4,13.5,8.1,17.2
9629,r020,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Management or administration,,4,5.0,2.2,6.9
9629,r021,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Primary activity<sup>g</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Primary activity<sup>g</sup>,Professional services and other,,4,17.0,16.8,17.2
9629,r022,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,,,3,,,
9629,r023,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Research and development,,4,17.6,14.6,19.7
9629,r024,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Teaching,,4,9.5,10.0,9.2
9629,r025,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Management or administration,,4,10.6,7.5,12.8
9629,r026,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,Professional services and other,,4,16.8,20.9,14.0
9629,r027,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Secondary activity<sup>g</sup> -> No secondary activity,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Secondary activity<sup>g</sup>,No secondary activity,,4,45.4,47.0,44.4
9629,r028,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>d</sup> -> Activity unknown,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>d</sup>,Activity unknown,,,3,4.2,4.5,4.0
9629,r029,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup>,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,,,,2,,,
9629,r030,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup>,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,,,3,90.3,89.4,90.9
9629,r031,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> Midwest,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,Midwest,,4,11.5,11.6,11.4
9629,r032,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> Northeast,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,Northeast,,4,21.6,20.8,22.1
9629,r033,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> South,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,South,,4,22.0,13.2,27.0
9629,r034,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> United States<sup>i</sup> -> West,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,United States<sup>i</sup>,West,,4,34.5,43.5,29.5
9629,r035,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> Outside the United States,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,Outside the United States,,,3,9.3,10.0,9.0
9629,r036,Doctorate recipients reporting postgraduation status (number) -> Postgraduation location (%)<sup>h</sup> -> Location unknown,Doctorate recipients reporting postgraduation status (number),Postgraduation location (%)<sup>h</sup>,Location unknown,,,3,0.3,0.7,0.1
