table_id,row_id,_b_demographic_characteristic_b_full_path,_b_demographic_characteristic_b_level_1,_b_demographic_characteristic_b_level_2,_b_demographic_characteristic_b_level_3,_b_demographic_characteristic_b_level_4,_b_demographic_characteristic_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_othera
7557,r001,Doctorate recipients reporting bachelor's degree,Doctorate recipients reporting bachelor's degree,,,,1,98.4,98.4,96.5,98.2,98.2,99.0,98.8,96.3,98.9,98.4,98.8,98.6,98.5,98.3,97.9,98.4,98.2,98.9,98.4
7557,r002,Doctorate recipients reporting bachelor's degree -> Sex,Doctorate recipients reporting bachelor's degree,Sex,,,2,,,,,,,,,,,,,,,,,,,
7557,r003,Doctorate recipients reporting bachelor's degree -> Sex -> Male,Doctorate recipients reporting bachelor's degree,Sex,Male,,3,98.4,98.5,95.7,98.2,98.6,99.0,98.6,95.2,98.9,98.2,98.6,98.3,98.4,98.4,98.5,98.4,98.4,99.1,98.1
7557,r004,Doctorate recipients reporting bachelor's degree -> Sex -> Female,Doctorate recipients reporting bachelor's degree,Sex,Female,,3,98.3,98.4,97.3,98.3,96.8,98.8,99.1,96.8,99.0,98.8,99.1,98.8,98.6,98.3,97.2,98.4,98.1,98.8,98.5
7557,r005,Doctorate recipients reporting bachelor's degree -> Citizenship status,Doctorate recipients reporting bachelor's degree,Citizenship status,,,2,,,,,,,,,,,,,,,,,,,
7557,r006,Doctorate recipients reporting bachelor's degree -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting bachelor's degree,Citizenship status,U.S. citizen or permanent resident,,3,99.5,99.5,,99.4,99.3,99.8,,97.7,99.9,100.0,99.7,99.7,99.7,99.6,99.3,99.6,99.6,100.0,99.5
7557,r007,Doctorate recipients reporting bachelor's degree -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting bachelor's degree,Citizenship status,Temporary visa holder,,3,98.6,98.5,94.7,96.7,99.4,99.3,,94.7,,98.9,98.7,99.3,99.1,98.7,98.7,99.8,97.4,97.9,99.1
7557,r008,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,,
7557,r009,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,99.2,99.3,,99.3,100.0,100.0,100.0,95.0,100.0,100.0,100.0,99.4,,99.0,100.0,99.3,99.6,100.0,96.3
7557,r010,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,,
7557,r011,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,99.0,98.5,,,-,100.0,,,-,,100.0,100.0,100.0,100.0,,100.0,,,100.0
7557,r012,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,99.3,99.3,100.0,98.7,100.0,,100.0,,100.0,100.0,99.2,100.0,100.0,99.8,100.0,99.4,100.0,100.0,100.0
7557,r013,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,99.3,99.2,100.0,,,,100.0,,100.0,,100.0,99.2,100.0,99.5,,99.6,,100.0,
7557,r014,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,99.6,99.6,100.0,99.5,,99.8,,97.8,,100.0,99.8,99.8,99.7,99.7,,99.7,99.6,100.0,
7557,r015,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,99.9,99.9,100.0,99.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7557,r016,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,99.2,99.6,,100.0,100.0,100.0,,100.0,100.0,,100.0,100.0,97.2,97.8,83.3,100.0,,,100.0
7557,r017,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,99.5,99.3,100.0,100.0,100.0,100.0,100.0,100.0,,,96.2,98.0,,100.0,100.0,100.0,100.0,100.0,100.0
7557,r018,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,,,2,61.7,65.8,49.6,64.3,40.9,82.3,53.0,44.5,80.1,12.3,78.6,72.7,56.2,45.4,36.5,25.4,73.4,69.1,35.9
7557,r019,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate -> Sex,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,Sex,,3,,,,,,,,,,,,,,,,,,,
7557,r020,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate -> Sex -> Male,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,Sex,Male,4,64.5,67.7,52.9,62.7,41.7,83.8,55.0,36.0,79.7,12.8,78.6,69.6,58.4,48.0,32.7,24.3,73.6,67.6,34.5
7557,r021,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate -> Sex -> Female,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,Sex,Female,4,58.3,63.4,46.3,65.7,38.4,78.0,50.6,48.3,80.9,11.5,78.4,73.8,54.0,43.4,41.2,25.8,73.2,70.3,37.0
7557,r022,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate -> Citizenship status,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,Citizenship status,,3,,,,,,,,,,,,,,,,,,,
7557,r023,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,Citizenship status,U.S. citizen or permanent resident,4,61.4,66.5,46.9,69.1,46.3,80.7,53.2,42.2,83.3,11.4,81.1,75.0,57.1,45.3,36.4,24.5,74.8,70.6,32.5
7557,r024,Doctorate recipients reporting bachelor's degree -> Bachelor's degree in the same field as doctorate -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting bachelor's degree,Bachelor's degree in the same field as doctorate,Citizenship status,Temporary visa holder,4,64.0,66.4,54.9,52.0,39.0,84.5,54.4,55.1,78.6,13.7,76.2,63.0,56.6,48.2,37.9,33.8,71.0,66.7,45.3
7557,r025,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,,
7557,r026,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,61.1,67.8,34.1,72.4,61.3,82.3,46.8,33.1,85.7,16.7,79.9,80.6,55.2,40.1,39.3,16.4,69.3,62.8,33.7
7557,r027,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,,
7557,r028,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,47.3,52.5,0.0,,-,,,,-,0.0,100.0,62.5,46.7,36.7,,33.3,,,0.0
7557,r029,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,60.6,64.2,51.3,67.0,43.7,,50.0,,80.4,16.2,73.7,75.1,51.0,40.7,35.1,17.5,70.3,74.2,36.9
7557,r030,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,46.2,57.5,31.0,,47.2,79.4,69.2,,64.3,,76.7,68.2,51.6,28.7,,18.3,,76.5,
7557,r031,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,63.7,67.9,48.7,69.1,46.1,81.5,54.5,45.5,85.5,11.2,82.9,75.6,59.3,50.0,,28.6,77.4,71.2,
7557,r032,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,58.2,63.2,,71.2,53.8,77.9,45.5,29.6,71.9,,69.8,68.5,57.3,41.6,47.4,16.1,71.8,63.6,26.3
7557,r033,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,56.7,64.0,,76.7,27.3,91.4,,38.5,66.7,,73.9,69.7,54.5,36.6,20.0,15.4,,,23.5
7557,r034,Doctorate recipients reporting bachelor's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Doctorate recipients reporting bachelor's degree,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,51.5,55.8,50.0,64.3,42.9,60.0,50.0,28.6,70.0,0.0,81.3,52.6,44.4,38.5,25.0,22.2,84.6,60.0,8.3
