table_id,row_id,time_period,current_measures_level_1,current_measures_level_2,current_measures_level_3,current_measures_hierarchy_depth,value
1876,r001,United States (2017)<sup>a</sup>,Current measures,GERD (PPP $billions),,2,549.0
1876,r002,United States (2017)<sup>a</sup>,Current measures,GERD/ GDP (%),,2,2.81
1876,r003,United States (2017)<sup>a</sup>,Longer-term growth rates,GERD,2000–10,3,4.3
1876,r004,United States (2017)<sup>a</sup>,Longer-term growth rates,GERD,2010–17,3,4.3
1876,r005,United States (2017)<sup>a</sup>,Longer-term growth rates,GDP,2000–10,3,3.9
1876,r006,United States (2017)<sup>a</sup>,Longer-term growth rates,GDP,2010–17,3,3.8
1876,r007,China (2017),Current measures,GERD (PPP $billions),,2,496.0
1876,r008,China (2017),Current measures,GERD/ GDP (%),,2,2.15
1876,r009,China (2017),Longer-term growth rates,GERD,2000–10,3,20.5
1876,r010,China (2017),Longer-term growth rates,GERD,2010–17,3,12.8
1876,r011,China (2017),Longer-term growth rates,GDP,2000–10,3,12.9
1876,r012,China (2017),Longer-term growth rates,GDP,2010–17,3,9.2
1876,r013,Japan (2017),Current measures,GERD (PPP $billions),,2,170.9
1876,r014,Japan (2017),Current measures,GERD/ GDP (%),,2,3.21
1876,r015,Japan (2017),Longer-term growth rates,GERD,2000–10,3,3.6
1876,r016,Japan (2017),Longer-term growth rates,GERD,2010–17,3,2.8
1876,r017,Japan (2017),Longer-term growth rates,GDP,2000–10,3,2.8
1876,r018,Japan (2017),Longer-term growth rates,GDP,2010–17,3,2.5
1876,r019,Germany (2017),Current measures,GERD (PPP $billions),,2,132.0
1876,r020,Germany (2017),Current measures,GERD/ GDP (%),,2,3.04
1876,r021,Germany (2017),Longer-term growth rates,GERD,2000–10,3,4.9
1876,r022,Germany (2017),Longer-term growth rates,GERD,2010–17,3,6.1
1876,r023,Germany (2017),Longer-term growth rates,GDP,2000–10,3,3.6
1876,r024,Germany (2017),Longer-term growth rates,GDP,2010–17,3,4.4
1876,r025,South Korea (2017),Current measures,GERD (PPP $billions),,2,91.0
1876,r026,South Korea (2017),Current measures,GERD/ GDP (%),,2,4.55
1876,r027,South Korea (2017),Longer-term growth rates,GERD,2000–10,3,10.9
1876,r028,South Korea (2017),Longer-term growth rates,GERD,2010–17,3,8.3
1876,r029,South Korea (2017),Longer-term growth rates,GDP,2000–10,3,5.9
1876,r030,South Korea (2017),Longer-term growth rates,GDP,2010–17,3,4.1
1876,r031,France (2017),Current measures,GERD (PPP $billions),,2,64.7
1876,r032,France (2017),Current measures,GERD/ GDP (%),,2,2.19
1876,r033,France (2017),Longer-term growth rates,GERD,2000–10,3,4.3
1876,r034,France (2017),Longer-term growth rates,GERD,2010–17,3,3.5
1876,r035,France (2017),Longer-term growth rates,GDP,2000–10,3,3.9
1876,r036,France (2017),Longer-term growth rates,GDP,2010–17,3,3.4
1876,r037,India (2015)<sup>b</sup>,Current measures,GERD (PPP $billions),,2,49.7
1876,r038,India (2015)<sup>b</sup>,Current measures,GERD/ GDP (%),,2,0.62
1876,r039,India (2015)<sup>b</sup>,Longer-term growth rates,GERD,2000–10,3,10.8
1876,r040,India (2015)<sup>b</sup>,Longer-term growth rates,GERD,2010–17,3,2.6
1876,r041,India (2015)<sup>b</sup>,Longer-term growth rates,GDP,2000–10,3,9.7
1876,r042,India (2015)<sup>b</sup>,Longer-term growth rates,GDP,2010–17,3,8.5
1876,r043,United Kingdom (2017),Current measures,GERD (PPP $billions),,2,49.3
1876,r044,United Kingdom (2017),Current measures,GERD/ GDP (%),,2,1.66
1876,r045,United Kingdom (2017),Longer-term growth rates,GERD,2000–10,3,4.1
1876,r046,United Kingdom (2017),Longer-term growth rates,GERD,2010–17,3,4.0
1876,r047,United Kingdom (2017),Longer-term growth rates,GDP,2000–10,3,3.9
1876,r048,United Kingdom (2017),Longer-term growth rates,GDP,2010–17,3,4.0
