table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_other_agency_r_d_expendituresa,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
3177,r001,All institutions,All institutions,,1,-,"['3,251,409', '']","['111,414', '']","['549,984', '']","['682,683', '']","['36,195', '']","['90,405', '']","['79,078', '']","['273,947', '']","['55,914', '']","['828,858', '']","['542,931', '']"
3177,r002,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,1,"['186,514', '']","['27,228', '']","['2,530', '']","['10,799', '']","['17,719', '']","['3,243', '']","['0', '']","['832', '']","['7,641', '']","['114,227', '']","['2,295', '']"
3177,r003,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,2,"['105,312', '']","['1,356', '']","['5,381', '']","['10,312', '']","['0', '']","['117', '']","['12,962', '']","['64,271', '']","['0', '']","['5,569', '']","['5,344', '']"
3177,r004,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,3,"['97,119', '']","['1,043', '']","['56,748', '']","['516', '']","['302', '']","['22,283', '']","['5', '']","['2,370', '']","['1,444', '']","['7,309', '']","['5,099', '']"
3177,r005,All institutions -> U. Maryland<sup>c</sup>,All institutions,U. Maryland<sup>c</sup>,2,4,"['85,466', '']","['10,313', '']","['23,843', '']","['5,539', '']","['8', '']","['7,725', '']","['927', '']","['10,550', '']","['324', '']","['18,385', '']","['7,852', '']"
3177,r006,All institutions -> U. Dayton,All institutions,U. Dayton,2,5,"['75,943', '']","['0', '']","['238', '']","['0', '']","['0', '']","['312', '']","['0', '']","['0', '']","['0', '']","['74,846', '']","['547', '']"
3177,r007,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,6,"['69,620', '']","['610', '']","['29,691', '']","['23,187', '']","['201', '']","['167', '']","['375', '']","['1,327', '']","['0', '']","['9,020', '']","['5,042', '']"
3177,r008,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,7,"['58,687', '']","['29', '']","['206', '']","['13,329', '']","['0', '']","['241', '']","['497', '']","['2,309', '']","['13,641', '']","['18,534', '']","['9,901', '']"
3177,r009,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,8,"['56,494', '']","['1,254', '']","['8,551', '']","['12,774', '']","['30', '']","['30', '']","['122', '']","['2,286', '']","['284', '']","['17,327', '']","['13,836', '']"
3177,r010,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,9,"['52,198', '']","['0', '']","['2,245', '']","['38,410', '']","['0', '']","['844', '']","['9', '']","['3,489', '']","['0', '']","['4,430', '']","['2,771', '']"
3177,r011,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,10,"['49,776', '']","['1,576', '']","['24,835', '']","['9,815', '']","['46', '']","['412', '']","['0', '']","['964', '']","['30', '']","['7,781', '']","['4,317', '']"
3177,r012,"All institutions -> U. South Florida, Tampa",All institutions,"U. South Florida, Tampa",2,11,"['43,845', '']","['526', '']","['5,295', '']","['1,409', '']","['43', '']","['98', '']","['293', '']","['5,490', '']","['0', '']","['15,902', '']","['14,789', '']"
3177,r013,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,12,"['39,660', '']","['796', '']","['23,321', '']","['564', '']","['0', '']","['0', '']","['490', '']","['5,970', '']","['0', '']","['4,094', '']","['4,425', '']"
3177,r014,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,13,"['38,917', '']","['0', '']","['16,522', '']","['4,885', '']","['0', '']","['2,135', '']","['1,057', '']","['1,998', '']","['650', '']","['4,771', '']","['6,899', '']"
3177,r015,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,14,"['37,936', '']","['438', '']","['5,261', '']","['8,809', '']","['2', '']","['356', '']","['695', '']","['5,566', '']","['1,792', '']","['13,766', '']","['1,251', '']"
