table_id,row_id,_b_country_or_economy_and_field_b_full_path,_b_country_or_economy_and_field_b_level_1,_b_country_or_economy_and_field_b_level_2,_b_country_or_economy_and_field_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023
11695,r001,China<sup>a</sup>,China<sup>a</sup>,,1,4796,4982,5374,5527,5552,6188,6316,6335,6198,6661,6652
11695,r002,China<sup>a</sup> -> Science and engineering,China<sup>a</sup>,Science and engineering,2,4443,4653,4971,5141,5147,5692,5755,5730,5605,6029,5981
11695,r003,China<sup>a</sup> -> Non-science and engineering,China<sup>a</sup>,Non-science and engineering,2,353,329,403,386,405,496,561,605,593,632,671
11695,r004,India ,India ,,1,2204,2316,2229,2195,1970,2045,2056,2250,2300,2674,2762
11695,r005,India  -> Science and engineering,India ,Science and engineering,2,2075,2209,2119,2085,1885,1922,1910,2111,2138,2513,2583
11695,r006,India  -> Non-science and engineering,India ,Non-science and engineering,2,129,107,110,110,85,123,146,139,162,161,179
11695,r007,South Korea,South Korea,,1,1383,1284,1234,1229,1129,1039,1168,1055,1036,1075,1109
11695,r008,South Korea -> Science and engineering,South Korea,Science and engineering,2,1012,930,920,892,818,729,824,756,733,761,800
11695,r009,South Korea -> Non-science and engineering,South Korea,Non-science and engineering,2,371,354,314,337,311,310,344,299,303,314,309
11695,r010,Iran ,Iran ,,1,409,483,629,695,767,935,964,963,815,859,648
11695,r011,Iran  -> Science and engineering,Iran ,Science and engineering,2,380,463,608,664,728,869,882,896,741,791,597
11695,r012,Iran  -> Non-science and engineering,Iran ,Non-science and engineering,2,29,20,21,31,39,66,82,67,74,68,51
11695,r013,Bangladesh ,Bangladesh ,,1,107,139,154,185,236,280,292,392,397,551,552
11695,r014,Bangladesh  -> Science and engineering,Bangladesh ,Science and engineering,2,96,127,146,178,225,271,271,369,381,522,528
11695,r015,Bangladesh  -> Non-science and engineering,Bangladesh ,Non-science and engineering,2,11,12,8,7,11,9,21,23,16,29,24
11695,r016,Saudi Arabia ,Saudi Arabia ,,1,73,105,134,238,339,403,554,614,485,492,483
11695,r017,Saudi Arabia  -> Science and engineering,Saudi Arabia ,Science and engineering,2,53,76,98,175,232,294,431,471,368,385,373
11695,r018,Saudi Arabia  -> Non-science and engineering,Saudi Arabia ,Non-science and engineering,2,20,29,36,63,107,109,123,143,117,107,110
11695,r019,Taiwan,Taiwan,,1,699,668,614,592,520,514,492,468,410,416,462
11695,r020,Taiwan -> Science and engineering,Taiwan,Science and engineering,2,571,559,516,500,435,445,426,417,375,374,420
11695,r021,Taiwan -> Non-science and engineering,Taiwan,Non-science and engineering,2,128,109,98,92,85,69,66,51,35,42,42
11695,r022,Canada ,Canada ,,1,485,488,454,408,409,431,427,398,369,474,405
11695,r023,Canada  -> Science and engineering,Canada ,Science and engineering,2,335,325,325,275,288,307,313,281,267,356,300
11695,r024,Canada  -> Non-science and engineering,Canada ,Non-science and engineering,2,150,163,129,133,121,124,114,117,102,118,105
11695,r025,Turkey ,Turkey ,,1,478,426,469,472,496,454,406,371,330,354,368
11695,r026,Turkey  -> Science and engineering,Turkey ,Science and engineering,2,392,360,386,380,393,364,324,305,272,289,289
11695,r027,Turkey  -> Non-science and engineering,Turkey ,Non-science and engineering,2,86,66,83,92,103,90,82,66,58,65,79
11695,r028,Nepal ,Nepal ,,1,150,172,177,222,221,225,241,226,252,313,326
11695,r029,Nepal  -> Science and engineering,Nepal ,Science and engineering,2,,163,162,208,209,219,230,,242,305,311
11695,r030,Nepal  -> Non-science and engineering,Nepal ,Non-science and engineering,2,,9,15,14,12,6,11,,10,8,15
