table_id,row_id,_b_sex_and_financial_resource_b_full_path,_b_sex_and_financial_resource_b_level_1,_b_sex_and_financial_resource_b_level_2,_b_sex_and_financial_resource_b_level_3,_b_sex_and_financial_resource_b_level_4,_b_sex_and_financial_resource_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
9587,r001,All doctorate recipients reporting source of support (number),All doctorate recipients reporting source of support (number),,,,1,51206,41116,1172,8606,1951,9589,1070,2450,1924,1567,4917,3277,4593,10090,1207,3340,2955,745,1843
9587,r002,All doctorate recipients reporting source of support (number) -> Fellowship or scholarship,All doctorate recipients reporting source of support (number),Fellowship or scholarship,,,2,66.6,66.4,68.9,73.0,53.2,61.1,74.5,59.3,62.5,64.0,63.0,63.2,80.4,67.6,69.3,49.2,84.4,88.6,64.8
9587,r003,All doctorate recipients reporting source of support (number) -> Dissertation grant,All doctorate recipients reporting source of support (number),Dissertation grant,,,2,18.0,15.7,18.8,14.7,7.1,8.7,17.2,21.3,8.1,13.1,8.9,21.4,39.5,27.3,17.3,14.7,42.1,44.3,25.9
9587,r004,All doctorate recipients reporting source of support (number) -> Assistantship,All doctorate recipients reporting source of support (number),Assistantship,,,2,,,,,,,,,,,,,,,,,,,
9587,r005,All doctorate recipients reporting source of support (number) -> Assistantship -> Teaching,All doctorate recipients reporting source of support (number),Assistantship,Teaching,,3,68.8,69.8,51.5,55.7,77.9,66.4,78.6,45.8,93.1,72.9,88.8,70.1,83.6,64.7,68.1,38.4,85.7,90.1,66.4
9587,r006,All doctorate recipients reporting source of support (number) -> Assistantship -> Research,All doctorate recipients reporting source of support (number),Assistantship,Research,,3,68.0,73.9,81.1,65.8,85.0,85.1,87.9,51.5,61.8,80.3,89.4,59.2,64.6,43.8,64.8,36.7,38.4,35.2,55.1
9587,r007,All doctorate recipients reporting source of support (number) -> Assistantship -> Other,All doctorate recipients reporting source of support (number),Assistantship,Other,,3,8.6,7.1,8.8,4.3,4.7,5.2,5.7,7.9,5.5,6.4,3.6,20.3,11.9,14.6,7.2,16.1,16.1,19.5,12.5
9587,r008,All doctorate recipients reporting source of support (number) -> Traineeship,All doctorate recipients reporting source of support (number),Traineeship,,,2,4.1,4.8,2.5,12.0,0.8,2.4,2.5,6.7,1.4,2.0,2.3,6.6,2.1,0.9,,0.9,1.3,,1.0
9587,r009,All doctorate recipients reporting source of support (number) -> Internship or clinical residency,All doctorate recipients reporting source of support (number),Internship or clinical residency,,,2,11.4,13.2,5.1,4.3,38.4,16.9,9.8,6.0,17.2,21.2,5.5,36.7,5.7,4.1,3.6,3.4,3.7,7.2,4.8
9587,r010,All doctorate recipients reporting source of support (number) -> Loan (any source),All doctorate recipients reporting source of support (number),Loan (any source),,,2,20.7,16.8,17.9,14.0,7.5,9.4,10.4,35.2,7.5,13.2,8.8,44.8,26.6,36.8,21.8,47.0,31.7,35.6,36.9
9587,r011,All doctorate recipients reporting source of support (number) -> Personal sources,All doctorate recipients reporting source of support (number),Personal sources,,,2,,,,,,,,,,,,,,,,,,,
9587,r012,All doctorate recipients reporting source of support (number) -> Personal sources -> Savings,All doctorate recipients reporting source of support (number),Personal sources,Savings,,3,51.1,48.2,51.5,47.4,43.9,41.8,44.6,61.1,42.8,47.1,36.7,67.4,59.3,63.0,62.7,65.6,59.7,64.6,63.2
9587,r013,All doctorate recipients reporting source of support (number) -> Personal sources -> Other earnings during graduate school,All doctorate recipients reporting source of support (number),Personal sources,Other earnings during graduate school,,3,29.2,24.1,26.2,20.8,16.8,15.7,20.1,44.4,17.4,22.8,13.5,45.9,40.0,49.9,25.8,57.5,52.3,57.0,45.0
9587,r014,"All doctorate recipients reporting source of support (number) -> Spouse's, partner's, or family's earnings or savings",All doctorate recipients reporting source of support (number),"Spouse's, partner's, or family's earnings or savings",,,2,38.6,36.4,40.0,37.1,30.6,31.2,31.1,43.4,31.4,34.5,27.6,55.4,43.8,47.2,45.3,45.0,49.3,52.3,47.0
9587,r015,All doctorate recipients reporting source of support (number) -> Employer reimbursement or assistance,All doctorate recipients reporting source of support (number),Employer reimbursement or assistance,,,2,10.0,8.2,10.2,7.5,9.4,7.0,8.8,20.6,6.1,8.7,4.8,8.5,8.5,17.2,12.6,29.4,9.4,5.6,15.5
9587,r016,All doctorate recipients reporting source of support (number) -> Foreign (non-U.S.) support,All doctorate recipients reporting source of support (number),Foreign (non-U.S.) support,,,2,5.5,5.4,8.4,4.0,7.1,6.8,5.4,5.4,5.5,7.0,3.1,2.5,7.2,6.0,7.2,3.9,6.2,9.7,7.2
9587,r017,All doctorate recipients reporting source of support (number) -> Other ,All doctorate recipients reporting source of support (number),Other ,,,2,1.0,0.9,0.9,0.9,0.7,0.6,0.4,1.8,0.6,0.6,0.7,1.8,1.3,1.5,1.7,1.6,1.4,1.1,1.5
9587,r018,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number),All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),,,2,27170,23011,569,3992,1484,6981,574,757,1367,998,3304,817,2168,4159,677,980,1462,324,716
9587,r019,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Fellowship or scholarship,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Fellowship or scholarship,,3,64.5,63.5,65.0,70.5,51.3,58.5,70.6,58.1,62.9,60.9,61.2,62.8,79.6,70.1,69.1,48.8,83.7,86.4,65.2
9587,r020,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Dissertation grant,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Dissertation grant,,3,14.4,12.3,16.2,12.9,6.2,7.9,15.0,14.8,8.3,9.4,8.4,18.8,34.1,26.1,15.7,13.9,38.2,37.0,23.2
9587,r021,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Assistantship,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Assistantship,,3,,,,,,,,,,,,,,,,,,,
9587,r022,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Assistantship -> Teaching,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Assistantship,Teaching,4,70.6,71.2,48.9,55.5,77.4,65.4,78.0,49.0,93.6,72.5,88.5,73.9,84.5,67.3,68.1,38.3,82.5,88.0,66.2
9587,r023,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Assistantship -> Research,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Assistantship,Research,4,71.7,77.0,84.9,66.0,85.0,84.9,85.4,55.6,60.4,82.0,89.2,61.1,64.7,42.8,63.4,35.8,35.4,30.2,53.6
9587,r024,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Assistantship -> Other,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Assistantship,Other,4,7.2,6.1,9.8,4.1,4.2,5.4,4.7,7.8,5.6,5.8,3.6,20.2,11.3,12.9,7.8,15.4,13.5,16.0,11.6
9587,r025,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Traineeship,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Traineeship,,3,3.3,3.7,2.1,10.9,0.7,2.0,2.4,7.0,1.1,1.2,1.8,7.2,2.4,0.8,,,1.4,0.0,0.8
9587,r026,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Internship or clinical residency,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Internship or clinical residency,,3,11.8,13.2,3.9,3.8,38.5,17.0,9.2,8.1,15.8,23.6,5.4,30.0,5.6,3.8,3.8,3.1,3.4,4.6,5.6
9587,r027,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Loan (any source),All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Loan (any source),,3,16.8,13.6,17.2,14.5,7.4,9.8,8.5,28.5,8.6,11.2,9.0,44.4,23.9,34.4,19.4,46.2,33.0,38.0,33.4
9587,r028,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Personal sources,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Personal sources,,3,,,,,,,,,,,,,,,,,,,
9587,r029,All doctorate recipients reporting source of support (number) -> Male doctorate recipients reporting source of support (number) -> Personal sources -> Savings,All doctorate recipients reporting source of support (number),Male doctorate recipients reporting source of support (number),Personal sources,Savings,4,47.5,44.9,51.3,45.6,44.0,41.6,43.6,56.7,42.5,44.8,35.3,63.9,57.7,62.3,63.2,66.8,59.2,62.3,61.6
