table_id,row_id,sex_race_and_ethnicity_full_path,sex_race_and_ethnicity_level_1,sex_race_and_ethnicity_level_2,sex_race_and_ethnicity_hierarchy_depth,field_all_doctorate_holders_nsf_awardees,field_all_doctorate_holders_total,field_all_doctorate_holders_share_,field_employed_by_4_year_educational_institution_nsf_awardees,field_employed_by_4_year_educational_institution_total,field_employed_by_4_year_educational_institution_share_
6983,r001,Both sexes,Both sexes,,1,86850,1047900,8.3,73150,399800,18.3
6983,r002,Both sexes -> Asian,Both sexes,Asian,2,13600,258800,5.3,12000,97400,12.3
6983,r003,Both sexes -> Black,Both sexes,Black,2,2150,33950,6.4,1900,14250,13.4
6983,r004,Both sexes -> Hispanic,Both sexes,Hispanic,2,3650,48000,7.6,3150,22400,14.1
6983,r005,Both sexes -> White,Both sexes,White,2,66100,693150,9.5,54950,260150,21.1
6983,r006,Both sexes -> Other,Both sexes,Other,2,1300,14000,9.4,1100,5550,19.8
6983,r007,Female,Female,,1,21050,341400,6.2,18050,137550,13.1
6983,r008,Female -> Asian,Female,Asian,2,2550,72000,3.6,2250,28150,7.9
6983,r009,Female -> Black,Female,Black,2,700,15150,4.7,600,6200,9.9
6983,r010,Female -> Hispanic,Female,Hispanic,2,1100,17500,6.3,950,8050,11.8
6983,r011,Female -> White,Female,White,2,16250,230900,7.0,13900,92800,15.0
6983,r012,Female -> Other,Female,Other,2,450,5800,7.4,350,2350,15.1
6983,r013,Male,Male,,1,65750,706500,9.3,55150,262300,21.0
6983,r014,Male -> Asian,Male,Asian,2,11050,186800,5.9,9800,69300,14.1
6983,r015,Male -> Black,Male,Black,2,1450,18750,7.8,1300,8100,16.1
6983,r016,Male -> Hispanic,Male,Hispanic,2,2550,30500,8.4,2200,14350,15.4
6983,r017,Male -> White,Male,White,2,49850,462200,10.8,41100,167400,24.5
6983,r018,Male -> Other,Male,Other,2,900,8250,10.9,750,3200,23.3
