table_id,row_id,employment_sector_and_occupation_full_path,employment_sector_and_occupation_level_1,employment_sector_and_occupation_level_2,employment_sector_and_occupation_level_3,employment_sector_and_occupation_level_4,employment_sector_and_occupation_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_male_number,field_male_se,field_female_number,field_female_se
8227,r001,All sectors,All sectors,,,,1,872100,2425,543550,2350,328500,1250
8227,r002,All sectors -> Science occupations,All sectors,Science occupations,,,2,502250,2725,301700,2300,200550,1575
8227,r003,"All sectors -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Science occupations,"Biological, agricultural, and other life scientists",,3,160850,1700,90550,1400,70300,1000
8227,r004,All sectors -> Science occupations -> Computer and information scientists,All sectors,Science occupations,Computer and information scientists,,3,65450,1025,53250,1025,12200,425
8227,r005,All sectors -> Science occupations -> Mathematical scientists,All sectors,Science occupations,Mathematical scientists,,3,43950,875,31350,800,12600,450
8227,r006,All sectors -> Science occupations -> Physical scientists,All sectors,Science occupations,Physical scientists,,3,85100,1375,62150,1200,22950,675
8227,r007,All sectors -> Science occupations -> Psychologists,All sectors,Science occupations,Psychologists,,3,78400,1025,27550,875,50850,825
8227,r008,All sectors -> Science occupations -> Social scientists,All sectors,Science occupations,Social scientists,,3,68450,1150,36850,925,31600,725
8227,r009,All sectors -> Engineering occupations,All sectors,Engineering occupations,,,2,122800,1575,101650,1550,21100,625
8227,r010,All sectors -> S&E-related occupations,All sectors,S&E-related occupations,,,2,100450,1525,56900,1200,43600,1050
8227,r011,All sectors -> Non-S&E occupations,All sectors,Non-S&E occupations,,,2,146600,1825,83300,1525,63300,975
8227,r012,All sectors -> 4-year educational institution<sup>a</sup>,All sectors,4-year educational institution<sup>a</sup>,,,2,340950,2450,204700,2175,136250,1375
8227,r013,All sectors -> 4-year educational institution<sup>a</sup> -> Science occupations,All sectors,4-year educational institution<sup>a</sup>,Science occupations,,3,227900,2150,137800,1750,90150,1250
8227,r014,"All sectors -> 4-year educational institution<sup>a</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,4-year educational institution<sup>a</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,77100,1275,44550,1100,32550,725
8227,r015,All sectors -> 4-year educational institution<sup>a</sup> -> Science occupations -> Computer and information scientists,All sectors,4-year educational institution<sup>a</sup>,Science occupations,Computer and information scientists,4,14600,625,11300,625,3250,275
8227,r016,All sectors -> 4-year educational institution<sup>a</sup> -> Science occupations -> Mathematical scientists,All sectors,4-year educational institution<sup>a</sup>,Science occupations,Mathematical scientists,4,21200,625,15450,525,5700,350
8227,r017,All sectors -> 4-year educational institution<sup>a</sup> -> Science occupations -> Physical scientists,All sectors,4-year educational institution<sup>a</sup>,Science occupations,Physical scientists,4,41000,1000,29150,825,11850,500
8227,r018,All sectors -> 4-year educational institution<sup>a</sup> -> Science occupations -> Psychologists,All sectors,4-year educational institution<sup>a</sup>,Science occupations,Psychologists,4,26100,775,10750,575,15350,550
8227,r019,All sectors -> 4-year educational institution<sup>a</sup> -> Science occupations -> Social scientists,All sectors,4-year educational institution<sup>a</sup>,Science occupations,Social scientists,4,47950,950,26550,800,21400,625
8227,r020,All sectors -> 4-year educational institution<sup>a</sup> -> Engineering occupations,All sectors,4-year educational institution<sup>a</sup>,Engineering occupations,,3,36600,1000,29400,900,7250,425
8227,r021,All sectors -> 4-year educational institution<sup>a</sup> -> S&E-related occupations,All sectors,4-year educational institution<sup>a</sup>,S&E-related occupations,,3,36750,1025,17000,800,19750,650
8227,r022,All sectors -> 4-year educational institution<sup>a</sup> -> Non-S&E occupations,All sectors,4-year educational institution<sup>a</sup>,Non-S&E occupations,,3,39650,875,20500,700,19150,600
8227,r023,All sectors -> Other educational institution<sup>b</sup>,All sectors,Other educational institution<sup>b</sup>,,,2,27800,825,12600,575,15150,600
8227,r024,All sectors -> Other educational institution<sup>b</sup> -> Science occupations,All sectors,Other educational institution<sup>b</sup>,Science occupations,,3,15900,625,7450,425,8500,450
8227,r025,"All sectors -> Other educational institution<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Other educational institution<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,3650,325,1250,175,2400,250
8227,r026,All sectors -> Other educational institution<sup>b</sup> -> Science occupations -> Computer and information scientists,All sectors,Other educational institution<sup>b</sup>,Science occupations,Computer and information scientists,4,600,150,500,150,150,50
8227,r027,All sectors -> Other educational institution<sup>b</sup> -> Science occupations -> Mathematical scientists,All sectors,Other educational institution<sup>b</sup>,Science occupations,Mathematical scientists,4,1200,200,950,175,250,75
8227,r028,All sectors -> Other educational institution<sup>b</sup> -> Science occupations -> Physical scientists,All sectors,Other educational institution<sup>b</sup>,Science occupations,Physical scientists,4,4300,350,2700,325,1600,200
8227,r029,All sectors -> Other educational institution<sup>b</sup> -> Science occupations -> Psychologists,All sectors,Other educational institution<sup>b</sup>,Science occupations,Psychologists,4,3600,275,950,175,2600,225
8227,r030,All sectors -> Other educational institution<sup>b</sup> -> Science occupations -> Social scientists,All sectors,Other educational institution<sup>b</sup>,Science occupations,Social scientists,4,2550,275,1100,225,1450,200
8227,r031,All sectors -> Other educational institution<sup>b</sup> -> Engineering occupations,All sectors,Other educational institution<sup>b</sup>,Engineering occupations,,3,450,150,350,125,100,50
8227,r032,All sectors -> Other educational institution<sup>b</sup> -> S&E-related occupations,All sectors,Other educational institution<sup>b</sup>,S&E-related occupations,,3,5800,375,2600,250,3200,300
8227,r033,All sectors -> Other educational institution<sup>b</sup> -> Non-S&E occupations,All sectors,Other educational institution<sup>b</sup>,Non-S&E occupations,,3,5600,425,2200,275,3400,300
8227,r034,"All sectors -> Private, for profit<sup>c</sup>",All sectors,"Private, for profit<sup>c</sup>",,,2,320850,2625,225900,2325,94950,1475
8227,r035,"All sectors -> Private, for profit<sup>c</sup> -> Science occupations",All sectors,"Private, for profit<sup>c</sup>",Science occupations,,3,150950,1975,99700,1575,51250,1075
8227,r036,"All sectors -> Private, for profit<sup>c</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,"Private, for profit<sup>c</sup>",Science occupations,"Biological, agricultural, and other life scientists",4,45400,1200,25350,925,20000,650
8227,r037,"All sectors -> Private, for profit<sup>c</sup> -> Science occupations -> Computer and information scientists",All sectors,"Private, for profit<sup>c</sup>",Science occupations,Computer and information scientists,4,44050,925,36500,925,7550,400
8227,r038,"All sectors -> Private, for profit<sup>c</sup> -> Science occupations -> Mathematical scientists",All sectors,"Private, for profit<sup>c</sup>",Science occupations,Mathematical scientists,4,15950,650,11200,600,4750,350
8227,r039,"All sectors -> Private, for profit<sup>c</sup> -> Science occupations -> Physical scientists",All sectors,"Private, for profit<sup>c</sup>",Science occupations,Physical scientists,4,23150,825,18150,725,5000,350
8227,r040,"All sectors -> Private, for profit<sup>c</sup> -> Science occupations -> Psychologists",All sectors,"Private, for profit<sup>c</sup>",Science occupations,Psychologists,4,17200,750,5800,475,11450,575
8227,r041,"All sectors -> Private, for profit<sup>c</sup> -> Science occupations -> Social scientists",All sectors,"Private, for profit<sup>c</sup>",Science occupations,Social scientists,4,5200,350,2750,275,2450,250
