table_id,row_id,_b_state_or_territory_control_and_institution_b_full_path,_b_state_or_territory_control_and_institution_b_level_1,_b_state_or_territory_control_and_institution_b_level_2,_b_state_or_territory_control_and_institution_b_level_3,_b_state_or_territory_control_and_institution_b_hierarchy_depth,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other
7845,r001,Alabama,Alabama,,,1,"['2,815', '']","['237', '']","['553', '']","['94', '']","['665', '']","['40', '']","['725', '']","['42', '']","['93', '']","['242', '']","['66', '']","['56', '']","['0', '']"
7845,r002,Alabama -> Public,Alabama,Public,,2,"['2,506', '']","['141', '']","['525', '']","['81', '']","['512', '']","['40', '']","['707', '']","['42', '']","['93', '']","['242', '']","['66', '']","['56', '']","['0', '']"
7845,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,3,"['104', '']","['35', '']","['7', '']","['1', '']","['20', '']","['0', '']","['0', '']","['1', '']","['35', '']","['5', '']","['0', '']","['0', '']","['0', '']"
7845,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['308', '']","['0', '']","['70', '']","['35', '']","['5', '']","['0', '']","['80', '']","['35', '']","['0', '']","['25', '']","['33', '']","['25', '']","['0', '']"
7845,r005,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['416', '']","['104', '']","['22', '']","['9', '']","['164', '']","['1', '']","['16', '']","['*', '']","['48', '']","['48', '']","['4', '']","['0', '']","['0', '']"
7845,r006,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,3,"['17', '']","['0', '']","['2', '']","['1', '']","['*', '']","['1', '']","['4', '']","['1', '']","['2', '']","['3', '']","['1', '']","['1', '']","['0', '']"
7845,r007,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['884', '']","['0', '']","['246', '']","['2', '']","['54', '']","['0', '']","['550', '']","['*', '']","['0', '']","['17', '']","['13', '']","['1', '']","['0', '']"
7845,r008,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['278', '']","['1', '']","['15', '']","['24', '']","['136', '']","['22', '']","['2', '']","['5', '']","['1', '']","['71', '']","['1', '']","['1', '']","['0', '']"
7845,r009,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['281', '']","['0', '']","['65', '']","['6', '']","['106', '']","['12', '']","['4', '']","['*', '']","['7', '']","['62', '']","['8', '']","['10', '']","['0', '']"
7845,r010,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['218', '']","['1', '']","['97', '']","['3', '']","['27', '']","['4', '']","['51', '']","['*', '']","['0', '']","['12', '']","['6', '']","['18', '']","['0', '']"
