table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures_passed_through,field_total_to_higher_education_subrecipients,field_total_to_businesses,field_total_to_nonprofit_organizations,field_total_to_other_subrecipients,field_federally_financed_all_r_d_expenditures_passed_through,field_federally_financed_to_higher_education_subrecipients,field_federally_financed_to_businesses,field_federally_financed_to_nonprofit_organizations,field_federally_financed_to_other_subrecipients
12724,r001,United States,United States,,,,1,"['9,514,892', '']","['5,187,467', '']","['1,711,781', '']","['1,724,170', '']","['891,474', '']","['8,205,341', '']","['4,657,136', '']","['1,379,718', '']","['1,442,979', '']","['725,508', '']"
12724,r002,United States -> Alabama,United States,Alabama,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12724,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12724,r004,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['615', '']","['565', '']","['50', '']","['0', '']","['0', '']","['615', '']","['565', '']","['50', '']","['0', '']","['0', '']"
12724,r005,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['401', '']","['401', '']","['0', '']","['0', '']","['0', '']","['401', '']","['401', '']","['0', '']","['0', '']","['0', '']"
12724,r006,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['11,288', '']","['6,372', 'i']","['2,271', 'i']","['720', 'i']","['1,925', 'i']","['10,896', '']","['6,018', 'i']","['2,233', 'i']","['720', 'i']","['1,925', 'i']"
12724,r007,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['262', '']","['150', '']","['0', '']","['112', '']","['0', '']","['262', '']","['150', '']","['0', '']","['112', '']","['0', '']"
12724,r008,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['71,988', '']","['44,505', '']","['14,802', '']","['11,531', '']","['1,150', '']","['67,401', '']","['43,724', '']","['14,021', '']","['8,510', '']","['1,146', '']"
12724,r009,"United States -> Alabama -> Public -> U. Alabama, Huntsville",United States,Alabama,Public,"U. Alabama, Huntsville",4,"['11,413', '']","['10,114', '']","['155', '']","['958', '']","['186', '']","['11,065', '']","['9,952', '']","['155', '']","['958', '']","['0', '']"
12724,r010,"United States -> Alabama -> Public -> U. Alabama, Tuscaloosa",United States,Alabama,Public,"U. Alabama, Tuscaloosa",4,"['16,696', '']","['10,691', '']","['2,994', '']","['2,470', '']","['541', '']","['16,496', '']","['10,649', '']","['2,911', '']","['2,414', '']","['522', '']"
12724,r011,United States -> Alabama -> Public -> U. South Alabama,United States,Alabama,Public,U. South Alabama,4,"['8,420', '']","['6,145', '']","['867', '']","['326', '']","['1,082', '']","['7,348', '']","['5,081', '']","['867', '']","['326', '']","['1,074', '']"
12724,r012,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12724,r013,United States -> Alabama -> Private -> Tuskegee U.,United States,Alabama,Private,Tuskegee U.,4,"['735', '']","['608', '']","['127', '']","['0', '']","['0', '']","['735', '']","['608', '']","['127', '']","['0', '']","['0', '']"
12724,r014,United States -> Alaska,United States,Alaska,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12724,r015,United States -> Alaska -> Public,United States,Alaska,Public,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12724,r016,"United States -> Alaska -> Public -> U. Alaska, Anchorage",United States,Alaska,Public,"U. Alaska, Anchorage",4,"['799', '']","['0', '']","['NA', '&nbsp;']","['NA', '&nbsp;']","['799', 'i']","['799', '']","['0', '']","['0', 'i']","['0', 'i']","['799', 'i']"
