table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_other_fieldsa,field_business_management_and_administration,field_communication,field_non_s_e_fields_nec
1797,r001,All doctorate recipients (number)<sup>b</sup>,All doctorate recipients (number)<sup>b</sup>,,,,1,2989,1481,631,877
1797,r002,All doctorate recipients (number)<sup>b</sup> -> Sex (%),All doctorate recipients (number)<sup>b</sup>,Sex (%),,,2,,,,
1797,r003,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>b</sup>,Sex (%),Male,,3,48.6,58.7,37.1,39.8
1797,r004,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>b</sup>,Sex (%),Female,,3,51.3,41.1,62.8,60.1
1797,r005,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Sex (%),Unknown,,3,0.2,0.2,0.2,0.1
1797,r006,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%),All doctorate recipients (number)<sup>b</sup>,Citizenship (%),,,2,,,,
1797,r007,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Citizenship (%),U.S. citizen or permanent resident,,3,58.5,50.2,68.9,64.9
1797,r008,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Citizenship (%),Temporary visa holder,,3,34.5,43.5,26.1,25.2
1797,r009,All doctorate recipients (number)<sup>b</sup> -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Citizenship (%),Unknown,,3,7.1,6.3,4.9,9.9
1797,r010,All doctorate recipients (number)<sup>b</sup> -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Marital status (%),,,2,,,,
1797,r011,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Never married,,3,24.9,25.5,30.0,20.2
1797,r012,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Married,,3,46.6,50.4,42.0,43.4
1797,r013,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Marriage-like relationship,,3,6.1,4.0,9.8,6.8
1797,r014,"All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Marital status (%),"Separated, divorced, widowed",,3,4.5,3.9,4.1,5.8
1797,r015,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Unknown,,3,17.9,16.1,14.1,23.7
1797,r016,All doctorate recipients (number)<sup>b</sup> -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Bachelor's in same field as doctorate (%)<sup>c</sup>,,,2,36.0,36.9,47.5,26.1
1797,r017,All doctorate recipients (number)<sup>b</sup> -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Master's earned (%),,,2,79.8,77.3,86.8,79.0
1797,r018,All doctorate recipients (number)<sup>b</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Age at doctorate (median years),,,2,34.7,33.9,33.3,37.0
1797,r019,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),,,2,,,,
1797,r020,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),From bachelor's,,3,11.2,10.4,10.3,13.0
1797,r021,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),From graduate school start,,3,9.2,8.9,8.0,11.0
1797,r022,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),From doctoral program start<sup>d</sup>,,3,5.2,5.0,5.0,5.9
1797,r023,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),,,2,1452,869,234,349
1797,r024,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),,3,,,,
1797,r025,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,55.8,51.1,67.5,59.6
1797,r026,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),Temporary visa holder,4,37.7,44.5,26.1,28.7
1797,r027,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship (%),Unknown,4,6.5,4.4,6.4,11.7
1797,r028,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,
1797,r029,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,23.6,24.5,24.8,20.3
1797,r030,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Married,4,50.3,54.5,43.6,44.4
1797,r031,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,5.6,4.3,10.3,5.7
1797,r032,"All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,3.3,3.0,3.4,4.0
1797,r033,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,17.2,13.7,17.9,25.5
1797,r034,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>c</sup>,,3,35.5,35.6,43.6,30.1
1797,r035,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Master's earned (%),,3,79.7,80.1,83.8,75.9
1797,r036,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,34.9,34.6,34.7,36.6
1797,r037,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,,
1797,r038,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,11.3,11.0,10.8,12.6
1797,r039,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,9.2,9.0,8.3,10.3
1797,r040,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>d</sup>,4,5.0,5.0,5.0,5.3
1797,r041,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),,,2,1532,609,396,527
1797,r042,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),,3,,,,
1797,r043,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,61.2,49.3,69.9,68.5
1797,r044,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),Temporary visa holder,4,31.5,42.2,26.3,23.0
1797,r045,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Citizenship (%),Unknown,4,7.3,8.5,3.8,8.5
1797,r046,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),,3,,,,
1797,r047,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,26.2,27.1,33.1,20.1
1797,r048,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Married,4,43.2,44.8,41.2,42.9
1797,r049,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,6.5,3.6,9.6,7.6
1797,r050,"All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,5.7,5.3,4.5,7.0
1797,r051,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,18.3,19.2,11.6,22.4
1797,r052,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>c</sup>,,3,36.5,38.9,50.0,23.5
1797,r053,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Master's earned (%),,3,80.2,73.7,88.9,81.2
1797,r054,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Age at doctorate (median years),,3,34.3,32.9,32.8,37.3
1797,r055,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),,3,,,,
1797,r056,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),From bachelor's,4,11.0,10.0,10.2,13.4
1797,r057,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,9.3,8.7,8.0,11.3
1797,r058,All doctorate recipients (number)<sup>b</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Female doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>d</sup>,4,5.3,5.0,5.0,6.0
