table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2016,field_2017,field_2018,field_2019_all_physical_sciences,field_2019_astronomy_and_astrophysics,field_2019_chemistry,field_2019_materials_science,field_2019_physics,field_2019_physical_sciences_nec
3164,r001,All institutions,All institutions,,1,-,"['4,884,219', '']","['5,046,870', '']","['5,229,222', '']","['5,551,281', '']","['735,031', '']","['1,965,627', '']","['259,327', '']","['2,324,419', '']","['266,877', '']"
3164,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['181,885', 'i']","['189,415', 'i']","['243,916', 'i']","['323,619', 'i']","['80,768', 'i']","['24,180', 'i']","['4,682', 'i']","['183,818', 'i']","['30,171', 'i']"
3164,r003,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,2,"['185,449', '']","['192,478', '']","['188,604', '']","['188,041', '']","['45,835', '']","['42,498', '']","['15,109', '']","['84,599', '']","['0', '']"
3164,r004,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,3,"['164,644', '']","['191,923', '']","['169,148', '']","['151,159', '']","['7', '']","['10,320', '']","['0', '']","['140,832', '']","['0', '']"
3164,r005,All institutions -> U. Arizona,All institutions,U. Arizona,2,4,"['125,247', '']","['126,361', '']","['127,847', '']","['139,315', '']","['113,523', '']","['13,060', '']","['3,707', '']","['8,970', '']","['55', '']"
3164,r006,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,5,"['137,188', '']","['127,856', '']","['124,145', '']","['136,601', '']","['31,811', '']","['31,179', '']","['6,273', '']","['43,880', '']","['23,458', '']"
3164,r007,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,6,"['158,628', '']","['143,095', '']","['130,883', '']","['130,895', '']","['64,935', '']","['30,743', '']","['1', '']","['29,261', '']","['5,955', '']"
3164,r008,All institutions -> Cornell U.,All institutions,Cornell U.,2,7,"['105,986', '']","['112,256', '']","['122,144', '']","['122,968', '']","['15,005', '']","['26,542', '']","['4,493', '']","['50,551', '']","['26,377', '']"
3164,r009,All institutions -> U. Rochester,All institutions,U. Rochester,2,8,"['82,756', '']","['89,368', '']","['93,061', '']","['111,388', '']","['0', '']","['5,111', '']","['0', '']","['106,277', '']","['0', '']"
3164,r010,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,9,"['72,578', '']","['74,376', '']","['84,938', '']","['107,416', '']","['24,957', '']","['9,650', '']","['0', '']","['66,848', '']","['5,961', '']"
3164,r011,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,10,"['na', '']","['na', '']","['na', '']","['102,720', '']","['33,567', '']","['9,888', '']","['16', '']","['47,394', '']","['11,855', '']"
3164,r012,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,11,"['72,314', '']","['87,175', '']","['93,913', '']","['99,485', '']","['20,021', '']","['18,532', '']","['34,258', '']","['26,674', '']","['0', '']"
3164,r013,All institutions -> Stanford U.,All institutions,Stanford U.,2,12,"['100,544', '']","['92,056', '']","['88,010', '']","['95,084', '']","['4,428', '']","['25,306', '']","['13,238', '']","['49,051', '']","['3,061', '']"
3164,r014,All institutions -> Harvard U.,All institutions,Harvard U.,2,13,"['82,643', '']","['84,679', '']","['84,054', '']","['94,515', '']","['14,467', '']","['34,683', '']","['0', '']","['43,696', '']","['1,669', '']"
3164,r015,All institutions -> Princeton U.,All institutions,Princeton U.,2,14,"['66,914', '']","['70,706', '']","['82,329', '']","['88,235', '']","['23,786', '']","['22,317', '']","['3,287', '']","['38,060', '']","['785', '']"
3164,r016,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,15,"['68,169', '']","['67,380', '']","['67,509', '']","['85,322', '']","['0', '']","['32,067', '']","['0', '']","['52,798', '']","['457', '']"
3164,r017,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,16,"['67,071', '']","['71,743', '']","['82,409', '']","['82,072', '']","['5,274', '']","['40,651', '']","['13,853', '']","['17,918', '']","['4,376', '']"
3164,r018,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,17,"['83,505', '']","['76,290', '']","['77,735', '']","['81,357', '']","['13,759', '']","['15,321', '']","['28,305', '']","['23,553', '']","['419', '']"
3164,r019,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,18,"['75,530', '']","['71,282', '']","['73,381', '']","['75,231', '']","['5,765', '']","['26,369', '']","['0', '']","['27,643', '']","['15,454', '']"
3164,r020,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,19,"['71,513', '']","['65,579', '']","['69,612', '']","['69,531', '']","['10,015', '']","['35,411', '']","['0', '']","['24,104', '']","['1', '']"
3164,r021,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,20,"['56,525', '']","['63,015', '']","['63,010', '']","['65,942', '']","['0', '']","['65,572', '']","['0', '']","['370', '']","['0', '']"
3164,r022,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,21,"['34,037', '']","['58,251', '']","['49,160', '']","['65,929', '']","['6,291', '']","['17,290', '']","['24,396', '']","['16,998', '']","['954', '']"
3164,r023,All institutions -> Yale U.,All institutions,Yale U.,2,22,"['59,337', '']","['61,511', '']","['63,981', '']","['62,247', '']","['6,776', '']","['23,452', '']","['0', '']","['32,019', '']","['0', '']"
3164,r024,All institutions -> Florida State U.,All institutions,Florida State U.,2,23,"['60,372', '']","['63,307', '']","['67,753', '']","['61,706', '']","['356', '']","['20,708', '']","['619', '']","['39,877', '']","['146', '']"
3164,r025,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,24,"['54,868', '']","['60,437', '']","['59,815', '']","['61,017', '']","['6,288', '']","['29,977', '']","['0', '']","['24,752', '']","['0', '']"
3164,r026,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,25,"['39,426', '']","['46,244', '']","['55,476', '']","['60,150', '']","['1,375', '']","['20,121', '']","['14,848', '']","['23,806', '']","['0', '']"
3164,r027,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,26,"['61,909', '']","['57,004', '']","['55,568', '']","['60,067', '']","['0', '']","['23,711', '']","['0', '']","['34,460', '']","['1,896', '']"
3164,r028,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,27,"['54,819', '']","['56,292', '']","['54,074', '']","['58,166', '']","['11,123', '']","['22,113', '']","['1,992', '']","['19,123', '']","['3,815', '']"
3164,r029,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,28,"['56,123', '']","['54,015', '']","['54,890', '']","['55,920', '']","['6,947', '']","['24,066', '']","['2,519', '']","['21,835', '']","['553', '']"
3164,r030,All institutions -> U. Utah,All institutions,U. Utah,2,29,"['22,257', '']","['25,908', '']","['24,919', 'i']","['54,131', 'i']","['9,855', 'i']","['40,326', 'i']","['0', 'i']","['0', 'i']","['3,950', 'i']"
3164,r031,All institutions -> U. Chicago,All institutions,U. Chicago,2,30,"['49,128', '']","['55,752', '']","['51,285', '']","['52,656', '']","['9,882', '']","['23,963', '']","['6,185', '']","['12,617', '']","['9', '']"
3164,r032,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,31,"['36,459', '']","['37,522', '']","['39,895', '']","['46,223', '']","['4,812', '']","['18,579', '']","['374', '']","['22,458', '']","['0', '']"
3164,r033,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,32,"['40,569', '']","['38,747', '']","['39,527', '']","['45,573', '']","['1,631', '']","['21,094', '']","['0', '']","['22,848', '']","['0', '']"
