table_id,row_id,_b_state_or_territory_control_and_institution_b_full_path,_b_state_or_territory_control_and_institution_b_level_1,_b_state_or_territory_control_and_institution_b_level_2,_b_state_or_territory_control_and_institution_b_level_3,_b_state_or_territory_control_and_institution_b_hierarchy_depth,field_started_in_fy_2006_or_fy_2007,field_started_in_fy_2008_or_fy_2009,field_started_in_fy_2010_or_fy_2011,field_started_in_fy_2012_or_fy_2013,field_started_in_fy_2014_or_fy_2015,field_started_in_fy_2016_or_fy_2017,field_started_in_fy_2018_or_fy_2019,field_started_in_fy_2020_or_fy_2021,field_started_in_fy_2022_or_fy_2023,field_planned_to_start_in_fy_2024_or_fy_2025,field_deferred_projects_included_in_institutional_plan,field_deferred_projects_not_included_in_institutional_plan
12864,r001,Alabama,Alabama,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12864,r002,Alabama -> Public,Alabama,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12864,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,3,"['0', '']","['NA', '']","['0', '']","['0', '']","['1,919', '']","['0', '']","['382', '']","['4,804', '']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12864,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['4,800', '']","['275', '']","['1,300', '']","['250', '']","['4,500', '']","['0', '']"
12864,r005,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['na', '']","['na', '']","['0', '']","['6,041', '']","['1,714', '']","['22,388', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12864,r006,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['300', '']","['0', '']","['0', '']","['0', '']"
12864,r007,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['2,945', '']","['5,087', '']","['8,118', '']","['441', '']","['294', '']","['2,264', '']","['0', '']","['7,704', '']","['385', '']","['1,371', '']","['18,798', '']","['0', '']"
12864,r008,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['0', '']","['0', '']","['0', '']","['975', '']","['0', '']","['320', '']","['0', '']","['677', '']","['0', '']","['20,068', '']","['1,204', '']","['0', '']"
12864,r009,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['0', '']","['707', '']","['2,642', '']","['400', '']","['8,568', '']","['14,951', '']","['13,952', '']","['2,206', '']","['12,948', '']","['18,488', '']","['0', '']","['0', '']"
12864,r010,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['0', '']","['0', '']","['0', '']","['0', '']","['1,376', '']","['1,750', '']","['2,411', '']","['0', '']","['0', '']","['14,000', '']","['0', '']","['0', '']"
