table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2019,field_2020,field_2021,field_2022
10174,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']"
10174,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']"
10174,r003,"Alabama -> Public -> Auburn U., Montgomery",Alabama,Public,"Auburn U., Montgomery",3,"['325', '']","['312', '']","['442', '']","['698', '']"
10174,r004,Alabama -> Public -> Jacksonville State U.,Alabama,Public,Jacksonville State U.,3,"['2,429', '']","['1,244', '']","['275', '']","['197', '']"
10174,r005,Alabama -> Public -> U. North Alabama,Alabama,Public,U. North Alabama,3,"['ne', '']","['ne', '']","['539', '']","['650', '']"
10174,r006,Alabama -> Public -> U. West Alabama,Alabama,Public,U. West Alabama,3,"['462', '']","['465', '']","['239', '']","['604', '']"
10174,r007,Alabama -> Private,Alabama,Private,,2,"['', '']","['', '']","['', '']","['', '']"
10174,r008,"Alabama -> Private -> Alabama C., Osteopathic Medicine",Alabama,Private,"Alabama C., Osteopathic Medicine",3,"['370', '']","['303', '']","['184', '']","['236', '']"
10174,r009,Alabama -> Private -> Oakwood U.,Alabama,Private,Oakwood U.,3,"['666', '']","['538', '']","['474', '']","['340', '']"
10174,r010,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']"
10174,r011,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']"
10174,r012,Arkansas -> Public -> Arkansas Tech U.,Arkansas,Public,Arkansas Tech U.,3,"['961', '']","['856', '']","['751', '']","['921', '']"
10174,r013,Arkansas -> Public -> Southern Arkansas U.,Arkansas,Public,Southern Arkansas U.,3,"['329', '']","['275', '']","['611', '']","['281', '']"
10174,r014,Arkansas -> Private,Arkansas,Private,,2,"['', '']","['', '']","['', '']","['', '']"
10174,r015,Arkansas -> Private -> Arkansas C. of Health Education,Arkansas,Private,Arkansas C. of Health Education,3,"['ne', '']","['900', '']","['672', '']","['301', '']"
10174,r016,Arkansas -> Private -> Hendrix C.,Arkansas,Private,Hendrix C.,3,"['902', '']","['649', '']","['651', '']","['709', '']"
10174,r017,Arkansas -> Private -> Ouachita Baptist U.,Arkansas,Private,Ouachita Baptist U.,3,"['318', 'i']","['268', 'i']","['217', '']","['309', '']"
10174,r018,California,California,,,1,"['', '']","['', '']","['', '']","['', '']"
10174,r019,California -> Private,California,Private,,2,"['', '']","['', '']","['', '']","['', '']"
10174,r020,California -> Private -> Dominican U. California,California,Private,Dominican U. California,3,"['828', 'i']","['786', 'i']","['823', 'i']","['901', 'i']"
10174,r021,California -> Private -> Life Chiropractic C.-West,California,Private,Life Chiropractic C.-West,3,"['ne', '']","['ne', '']","['ne', '']","['350', '']"
10174,r022,California -> Private -> Mills C.,California,Private,Mills C.,3,"['1,643', '']","['1,541', '']","['850', '']","['439', '']"
10174,r023,California -> Private -> Palo Alto U.,California,Private,Palo Alto U.,3,"['290', '']","['417', '']","['428', '']","['426', '']"
10174,r024,California -> Private -> Pitzer C.,California,Private,Pitzer C.,3,"['468', '']","['313', '']","['225', '']","['287', '']"
10174,r025,California -> Private -> Point Loma Nazarene U.,California,Private,Point Loma Nazarene U.,3,"['265', '']","['237', '']","['505', '']","['565', '']"
10174,r026,California -> Private -> Southern California U. of Health Sciences,California,Private,Southern California U. of Health Sciences,3,"['443', 'i']","['420', 'i']","['418', '']","['246', '']"
10174,r027,California -> Private -> Westmont C.,California,Private,Westmont C.,3,"['376', '']","['211', '']","['295', '']","['340', 'i']"
