table_id,row_id,_b_type_of_cost_b_full_path,_b_type_of_cost_b_level_1,_b_type_of_cost_b_level_2,_b_type_of_cost_b_level_3,_b_type_of_cost_b_level_4,_b_type_of_cost_b_hierarchy_depth,field_all_r_d_expenditures,field_imputed_amount,field_imputed_amount_as_of_total
12642,r001,All costs,All costs,,,,1,108681008,87627,0.1
12642,r002,All costs -> Direct costs,All costs,Direct costs,,,2,84208503,3303333,3.9
12642,r003,"All costs -> Direct costs -> Salaries, wages, and fringe benefits",All costs,Direct costs,"Salaries, wages, and fringe benefits",,3,47089302,270614,0.6
12642,r004,All costs -> Direct costs -> Software purchases,All costs,Direct costs,Software purchases,,3,222099,8376,3.8
12642,r005,All costs -> Direct costs -> Software purchases -> Noncapitalized,All costs,Direct costs,Software purchases,Noncapitalized,4,200525,8003,4.0
12642,r006,All costs -> Direct costs -> Software purchases -> Capitalized,All costs,Direct costs,Software purchases,Capitalized,4,21574,373,1.7
12642,r007,All costs -> Direct costs -> Capitalized equipment,All costs,Direct costs,Capitalized equipment,,3,3259897,17843,0.5
12642,r008,All costs -> Direct costs -> Passed through to subrecipients,All costs,Direct costs,Passed through to subrecipients,,3,9514892,35255,0.4
12642,r009,All costs -> Direct costs -> Other direct costs,All costs,Direct costs,Other direct costs,,3,24122313,863075,3.6
12642,r010,All costs -> Indirect costs,All costs,Indirect costs,,,2,24472505,145477,0.6
