table_id,row_id,variable_name,variable_description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
4765,r001,AAEMONTH,First associate’s degree start month,na,na,na,na,na,na,na,96.9,96.2,95.2,96.0
4765,r002,AAEYEAR,First associate’s degree start year,na,na,na,na,na,na,na,97.6,96.3,95.8,96.5
4765,r003,AAFIELD,First associate’s degree field,na,na,na,na,na,na,na,85.0,94.4,95.1,95.0
4765,r004,AAINST,First associate’s degree institution,na,na,na,na,na,na,na,93.4,92.0,97.6,98.4
4765,r005,AAMONTH,First associate’s degree month,na,na,na,na,na,na,na,97.6,96.7,95.9,96.4
4765,r006,AANID,First associate’s degree institution (NCSES institution identification),na,na,na,na,na,na,na,93.3,92.0,97.6,98.4
4765,r007,AAYEAR,First associate’s degree year,na,na,na,na,na,na,na,98.3,97.0,96.7,97.1
4765,r008,AADEGRN,Number of associate’s degrees received,na,na,na,na,na,na,na,90.3,93.5,93.6,93.6
4765,r009,AGEDOC,Age at doctorate ,na,na,na,na,na,92.1,94.1,94.6,95.1,94.8,94.4
4765,r010,AMERIND ,American Indian or Alaska Native race indicator ,91.6,91.6,91.5,91.9,90.2,91.0,93.0,92.8,93.2,93.3,93.1
4765,r011,ASIAN ,Asian race indicator ,91.6,91.6,91.5,91.9,90.2,91.0,93.0,92.8,93.2,93.3,93.1
4765,r012,AUDIDIS,Deaf or hearing disability indicator ,89.7,89.8,na,na,na,na,na,na,na,na,na
4765,r013,BA2EMONTH,Most recent baccalaureate start month,na,na,na,na,na,na,na,89.9,92.3,94.4,94.4
4765,r014,BA2EYEAR,Most recent baccalaureate start year,na,na,na,na,na,na,na,90.2,92.3,94.6,94.4
4765,r015,BA2FIELD,Most recent baccalaureate degree field,na,na,na,na,na,na,na,89.7,91.6,94.4,94.2
4765,r016,BA2INST,Most recent baccalaureate institution,na,na,na,na,na,na,na,88.5,90.5,94.5,95.0
4765,r017,BA2MONTH,Most recent baccalaureate month,na,na,na,na,na,na,na,90.0,92.4,94.4,94.5
4765,r018,BA2NID,Most recent baccalaureate institution (NCSES institution identification),na,na,na,na,na,na,na,88.5,90.5,94.5,95.0
4765,r019,BA2YEAR,Most recent baccalaureate year,na,na,na,na,na,na,na,90.4,92.6,94.7,94.6
4765,r020,BADEGRN,Number of bachelor’s degrees received,na,na,na,na,na,na,na,91.1,98.4,99.0,98.5
4765,r021,BADBLFIELD,First baccalaureate double major field,na,na,na,na,na,na,na,96.4,98.4,98.7,98.6
4765,r022,BADBLMAJ,First baccalaureate double major indicator,na,na,na,na,na,na,na,89.5,91.0,91.1,91.0
4765,r023,BAEMONTH,First baccalaureate start month,na,na,na,na,87.0,87.0,89.0,89.6,90.7,90.7,90.7
4765,r024,BAEYEARa,First baccalaureate start year,86.9,87.6,88.2,88.8,87.3,87.3,89.4,89.7,90.7,90.7,90.7
4765,r025,BAFIELD ,First baccalaureate field ,88.5,89.0,88.5,89.5,87.9,87.9,89.7,90.4,90.7,90.9,90.9
4765,r026,BAINST ,First baccalaureate institution,91.6,92.5,91.5,92.2,90.2,91.0,92.9,93.6,94.4,95.5,94.6
4765,r027,BAMONTH ,First baccalaureate month,87.6,88.3,88.9,89.2,87.7,87.6,89.4,89.7,90.8,90.8,90.8
4765,r028,BANID,First baccalaureate institution (NCSES institution identification),91.6,92.5,91.5,92.2,90.2,91.0,92.9,93.6,94.4,95.5,94.6
4765,r029,BANONEb,No bachelor’s and/or master's degree indicator,14.6,16.4,18.2,20.4,21.4,21.7,22.4,85.5,91.7,91.8,91.8
4765,r030,BAPLACE,First baccalaureate institution location,91.6,92.5,91.5,92.2,90.2,91.0,92.9,93.6,94.4,95.5,94.6
4765,r031,BAYEAR ,First baccalaureate year,91.7,92.3,92.0,92.3,90.3,90.8,93.1,94.4,94.9,95.4,94.8
