table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2017,field_2018,field_2019,field_2020_all_life_sciences,field_2020_agricultural_sciences,field_2020_biological_and_biomedical_sciences,field_2020_health_sciences,field_2020_natural_resources_and_conservation,field_2020_life_sciences_nec
5423,r001,All institutions,All institutions,,1,-,"['43,099,189', '']","['45,611,147', '']","['48,256,664', '']","['49,640,508', '']","['3,626,162', '']","['15,761,876', '']","['28,026,662', '']","['900,697', '']","['1,325,111', '']"
5423,r002,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,1,"['1,346,383', '']","['1,532,722', '']","['1,529,156', '']","['1,581,411', '']","['0', '']","['2,358', '']","['1,579,053', '']","['0', '']","['0', '']"
5423,r003,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,2,"['1,022,472', '']","['1,070,969', '']","['1,125,634', '']","['1,185,719', '']","['1,140', '']","['780,497', '']","['326,566', '']","['0', '']","['77,516', '']"
5423,r004,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,3,"['954,186', 'i']","['991,451', 'i']","['1,053,401', 'i']","['1,047,668', 'i']","['0', 'i']","['311,295', 'i']","['736,373', 'i']","['0', 'i']","['0', 'i']"
5423,r005,All institutions -> Duke U.,All institutions,Duke U.,2,4,"['950,245', '']","['971,355', '']","['1,018,199', '']","['990,897', '']","['0', '']","['245,327', '']","['717,323', '']","['10,726', '']","['17,521', '']"
5423,r006,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,5,"['761,824', '']","['917,899', '']","['925,447', '']","['989,602', '']","['0', '']","['34,022', '']","['955,580', '']","['0', '']","['0', '']"
5423,r007,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,6,"['825,102', '']","['867,391', '']","['902,580', '']","['981,164', '']","['22,868', '']","['304,198', '']","['654,098', '']","['0', '']","['0', '']"
5423,r008,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,7,"['826,506', '']","['873,031', '']","['955,653', '']","['967,660', '']","['2,073', '']","['266,507', '']","['622,140', '']","['22,439', '']","['54,501', '']"
5423,r009,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,8,"['891,558', '']","['954,565', '']","['954,062', '']","['963,264', '']","['281', '']","['260,831', '']","['660,692', '']","['25,112', '']","['16,348', '']"
5423,r010,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,9,"['789,050', '']","['863,086', '']","['935,756', '']","['954,315', '']","['373', '']","['294,183', '']","['659,733', '']","['0', '']","['26', '']"
5423,r011,All institutions -> Yale U.,All institutions,Yale U.,2,10,"['796,670', '']","['832,360', '']","['912,802', '']","['944,439', '']","['0', '']","['206,929', '']","['726,089', '']","['11,175', '']","['246', '']"
5423,r012,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,11,"['798,649', '']","['826,287', '']","['846,630', '']","['868,276', '']","['0', '']","['167,907', '']","['700,352', '']","['17', '']","['0', '']"
5423,r013,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,12,"['707,668', '']","['740,883', '']","['814,119', '']","['839,302', '']","['104,300', '']","['277,654', '']","['451,868', '']","['935', '']","['4,545', '']"
5423,r014,All institutions -> Stanford U.,All institutions,Stanford U.,2,13,"['745,123', '']","['780,090', '']","['837,068', '']","['836,401', '']","['0', '']","['228,842', '']","['572,268', '']","['1,983', '']","['33,308', '']"
5423,r015,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,14,"['667,478', '']","['782,882', '']","['819,167', '']","['828,401', '']","['0', '']","['62,532', '']","['765,869', '']","['0', '']","['0', '']"
5423,r016,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,15,"['672,672', '']","['731,083', '']","['796,337', '']","['824,978', '']","['0', '']","['359,856', '']","['465,122', '']","['0', '']","['0', '']"
5423,r017,All institutions -> Cornell U.,All institutions,Cornell U.,2,16,"['678,247', '']","['737,271', '']","['789,230', '']","['822,419', '']","['121,012', '']","['311,954', '']","['370,944', '']","['18,509', '']","['0', '']"
5423,r018,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,17,"['575,448', '']","['640,141', '']","['722,241', '']","['747,014', '']","['0', '']","['359,900', '']","['387,114', '']","['0', '']","['0', '']"
5423,r019,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,18,"['608,053', '']","['673,535', '']","['727,779', '']","['744,239', '']","['0', '']","['206,509', '']","['531,123', '']","['4,151', '']","['2,456', '']"
5423,r020,All institutions -> Emory U.,All institutions,Emory U.,2,19,"['609,481', '']","['650,154', '']","['727,296', '']","['732,893', '']","['0', '']","['182,193', '']","['535,117', '']","['0', '']","['15,583', '']"
5423,r021,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,20,"['607,864', '']","['635,157', '']","['684,938', '']","['722,074', '']","['74,148', '']","['111,883', '']","['474,705', '']","['55,059', '']","['6,279', '']"
5423,r022,All institutions -> U. Florida,All institutions,U. Florida,2,21,"['589,755', '']","['656,347', '']","['689,605', '']","['688,091', '']","['214,551', '']","['125,655', '']","['327,963', '']","['19,139', '']","['783', '']"
5423,r023,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,22,"['604,952', '']","['623,396', '']","['651,920', '']","['685,641', '']","['0', '']","['311,546', '']","['374,095', '']","['0', '']","['0', '']"
5423,r024,All institutions -> Harvard U.,All institutions,Harvard U.,2,23,"['633,462', '']","['656,790', '']","['704,460', '']","['684,127', '']","['47', '']","['534,656', '']","['122,619', '']","['2,981', 'i']","['23,824', 'i']"
5423,r025,All institutions -> New York U.,All institutions,New York U.,2,24,"['633,746', '']","['609,745', '']","['630,246', '']","['643,638', '']","['0', '']","['250,446', '']","['389,211', '']","['0', '']","['3,981', '']"
5423,r026,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,25,"['542,857', '']","['560,124', '']","['581,939', '']","['625,549', '']","['0', '']","['183,620', '']","['441,313', '']","['10', '']","['606', '']"
5423,r027,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,26,"['515,893', '']","['555,160', '']","['604,875', '']","['619,270', '']","['0', '']","['153,629', '']","['451,059', '']","['0', '']","['14,582', '']"
5423,r028,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,27,"['540,861', '']","['588,300', '']","['593,628', '']","['597,962', '']","['150,069', '']","['218,316', '']","['229,577', '']","['0', '']","['0', '']"
5423,r029,All institutions -> U. Texas Southwestern Medical Center,All institutions,U. Texas Southwestern Medical Center,2,28,"['461,797', '']","['474,260', '']","['496,697', '']","['595,939', '']","['0', '']","['214,795', '']","['377,001', '']","['0', '']","['4,143', '']"
5423,r030,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,29,"['na', '']","['na', '']","['601,632', '']","['594,114', '']","['52,591', '']","['166,254', '']","['366,476', '']","['2,339', '']","['6,454', '']"
5423,r031,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,30,"['503,648', '']","['506,398', '']","['550,461', '']","['590,076', '']","['67,155', '']","['83,715', '']","['422,365', '']","['11,085', '']","['5,756', '']"
5423,r032,All institutions -> U. Southern California,All institutions,U. Southern California,2,31,"['471,334', '']","['579,028', '']","['568,194', '']","['580,982', '']","['0', '']","['132,168', '']","['427,949', '']","['0', '']","['20,865', '']"
5423,r033,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,32,"['491,477', '']","['511,345', '']","['533,536', '']","['542,308', '']","['0', '']","['132,963', '']","['409,345', '']","['0', '']","['0', '']"
5423,r034,All institutions -> U. Colorado Denver and Anschutz Medical Campus,All institutions,U. Colorado Denver and Anschutz Medical Campus,2,33,"['463,907', '']","['506,173', '']","['523,713', '']","['536,533', '']","['15', '']","['10,354', '']","['525,897', '']","['31', '']","['236', '']"
5423,r035,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,34,"['446,329', '']","['478,476', '']","['447,552', '']","['518,906', '']","['77,405', '']","['113,712', '']","['319,113', '']","['34', '']","['8,642', '']"
5423,r036,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,35,"['364,265', '']","['401,303', '']","['470,583', '']","['518,775', '']","['0', '']","['123,811', '']","['384,331', '']","['0', '']","['10,633', '']"
5423,r037,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,36,"['349,570', '']","['342,961', '']","['351,403', '']","['502,372', '']","['186,922', '']","['77,408', '']","['220,948', '']","['13,586', '']","['3,508', '']"
5423,r038,All institutions -> Scripps Research Institute,All institutions,Scripps Research Institute,2,37,"['354,582', '']","['396,839', '']","['427,734', '']","['444,964', '']","['0', '']","['444,964', '']","['0', '']","['0', '']","['0', '']"
5423,r039,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,38,"['365,532', '']","['390,071', '']","['437,494', '']","['440,721', '']","['0', '']","['62,270', '']","['363,772', '']","['0', '']","['14,679', '']"
5423,r040,All institutions -> U. Arizona,All institutions,U. Arizona,2,39,"['348,497', '']","['399,790', '']","['426,393', '']","['437,147', '']","['50,725', '']","['212,741', '']","['160,542', '']","['13,136', '']","['3', '']"
5423,r041,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,40,"['317,049', '']","['359,721', '']","['403,495', '']","['433,917', '']","['0', '']","['26,551', '']","['265,157', '']","['799', '']","['141,410', '']"
5423,r042,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,41,"['301,356', '']","['352,154', '']","['385,793', '']","['420,679', '']","['0', '']","['230,231', '']","['189,679', '']","['769', '']","['0', '']"
5423,r043,All institutions -> U. Iowa,All institutions,U. Iowa,2,42,"['368,252', '']","['386,776', '']","['385,909', '']","['414,459', '']","['0', '']","['126,870', '']","['284,636', '']","['0', '']","['2,953', '']"
5423,r044,All institutions -> U. Utah,All institutions,U. Utah,2,43,"['229,488', '']","['391,825', 'i']","['343,744', 'i']","['402,001', 'i']","['0', 'i']","['40,013', 'i']","['361,988', 'i']","['0', 'i']","['0', 'i']"
5423,r045,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,44,"['348,315', '']","['371,604', '']","['377,671', '']","['384,857', '']","['0', '']","['82,470', '']","['283,260', '']","['0', '']","['19,127', '']"
5423,r046,All institutions -> Boston U.,All institutions,Boston U.,2,45,"['265,371', '']","['272,397', '']","['338,089', '']","['373,079', '']","['0', '']","['163,939', '']","['208,709', '']","['0', '']","['431', '']"
5423,r047,All institutions -> Rockefeller U.,All institutions,Rockefeller U.,2,46,"['329,655', '']","['334,048', '']","['332,899', '']","['337,377', '']","['0', '']","['322,734', '']","['14,643', '']","['0', '']","['0', '']"
5423,r048,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,47,"['275,761', '']","['294,776', '']","['314,547', '']","['322,077', '']","['69,756', '']","['175,026', '']","['77,295', '']","['0', '']","['0', '']"
5423,r049,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,48,"['323,754', '']","['340,065', '']","['353,934', '']","['319,883', '']","['112,270', '']","['117,715', '']","['60,154', '']","['14,634', '']","['15,110', '']"
5423,r050,All institutions -> Uniformed Services U. of the Health Sciences,All institutions,Uniformed Services U. of the Health Sciences,2,49,"['286,621', '']","['298,517', '']","['406,726', '']","['316,838', '']","['0', '']","['1,525', '']","['315,313', '']","['0', '']","['0', '']"
5423,r051,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,50,"['277,145', '']","['269,169', '']","['289,366', '']","['314,296', '']","['0', '']","['81,071', '']","['222,385', '']","['10,840', '']","['0', '']"
5423,r052,All institutions -> U. Chicago,All institutions,U. Chicago,2,51,"['279,975', '']","['274,000', '']","['299,549', '']","['302,820', '']","['0', '']","['83,295', '']","['219,525', '']","['0', '']","['0', '']"
5423,r053,All institutions -> U. Georgia,All institutions,U. Georgia,2,52,"['285,274', '']","['262,237', '']","['294,353', '']","['302,667', '']","['122,395', '']","['143,796', '']","['32,872', '']","['317', '']","['3,287', '']"
5423,r054,All institutions -> U. Miami,All institutions,U. Miami,2,53,"['271,203', '']","['274,934', '']","['284,045', '']","['302,160', '']","['0', '']","['78,338', '']","['218,739', '']","['791', '']","['4,292', '']"
5423,r055,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,54,"['260,627', '']","['280,091', '']","['266,143', '']","['291,299', '']","['100,221', '']","['98,382', '']","['90,967', '']","['1,729', '']","['0', '']"
5423,r056,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,55,"['201,661', '']","['239,122', '']","['266,485', '']","['289,422', '']","['0', '']","['114,449', '']","['174,686', '']","['0', '']","['287', '']"
5423,r057,All institutions -> Albert Einstein C. of Medicine,All institutions,Albert Einstein C. of Medicine,2,56,"['289,685', '']","['297,328', '']","['298,824', '']","['288,654', '']","['0', '']","['0', '']","['288,654', '']","['0', '']","['0', '']"
5423,r058,"All institutions -> U. Massachusetts, Medical School",All institutions,"U. Massachusetts, Medical School",2,57,"['279,884', '']","['274,211', '']","['281,507', '']","['279,096', '']","['0', '']","['137,103', '']","['94,555', '']","['0', '']","['47,438', '']"
5423,r059,"All institutions -> U. Texas Health Science Center, Houston",All institutions,"U. Texas Health Science Center, Houston",2,58,"['246,060', '']","['258,411', '']","['271,525', '']","['273,862', '']","['0', '']","['54,213', '']","['118,123', '']","['0', '']","['101,526', '']"
5423,r060,All institutions -> Medical U. South Carolina,All institutions,Medical U. South Carolina,2,59,"['262,267', '']","['282,253', '']","['295,600', '']","['272,590', '']","['0', '']","['62,475', '']","['86,364', '']","['0', '']","['123,751', '']"
5423,r061,All institutions -> U. Rochester,All institutions,U. Rochester,2,60,"['232,649', '']","['244,380', '']","['248,086', '']","['259,224', '']","['0', '']","['54,066', '']","['205,158', '']","['0', '']","['0', '']"
5423,r062,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,61,"['224,599', '']","['234,055', '']","['239,459', '']","['258,228', '']","['5,506', '']","['130,392', '']","['55,230', '']","['67,100', '']","['0', '']"
5423,r063,All institutions -> Medical C. Wisconsin,All institutions,Medical C. Wisconsin,2,62,"['209,618', '']","['222,767', '']","['243,500', '']","['255,783', '']","['0', '']","['83,882', '']","['171,901', '']","['0', '']","['0', '']"
5423,r064,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,63,"['213,713', '']","['211,371', '']","['237,317', '']","['243,953', '']","['123,324', '']","['34,790', '']","['85,839', '']","['0', '']","['0', '']"
5423,r065,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,64,"['199,917', '']","['206,379', '']","['222,994', '']","['241,661', '']","['79,576', '']","['77,458', '']","['2,845', '']","['81,782', '']","['0', '']"
5423,r066,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,65,"['241,186', '']","['244,106', '']","['249,349', '']","['241,467', '']","['0', '']","['88,070', '']","['150,541', '']","['0', '']","['2,856', '']"
5423,r067,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,66,"['234,319', '']","['231,243', '']","['244,235', '']","['240,399', '']","['108,002', '']","['120,671', '']","['0', '']","['0', '']","['11,726', '']"
5423,r068,All institutions -> Wake Forest U.,All institutions,Wake Forest U.,2,67,"['179,098', '']","['188,702', '']","['230,592', '']","['236,154', '']","['0', '']","['3,538', '']","['232,490', '']","['126', '']","['0', '']"
5423,r069,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,68,"['131,900', '']","['161,006', '']","['211,774', '']","['231,734', '']","['61,780', '']","['39,769', '']","['24,849', '']","['101,604', '']","['3,732', '']"
5423,r070,All institutions -> U. Kansas,All institutions,U. Kansas,2,69,"['187,893', '']","['202,119', '']","['212,241', '']","['226,786', '']","['735', '']","['62,277', '']","['154,245', '']","['8,906', '']","['623', '']"
5423,r071,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,70,"['197,347', '']","['198,676', '']","['210,550', '']","['220,890', '']","['71,875', '']","['50,323', '']","['78,021', '']","['12,922', '']","['7,749', '']"
5423,r072,All institutions -> Temple U.,All institutions,Temple U.,2,71,"['202,822', '']","['206,129', '']","['218,527', '']","['216,388', '']","['30', '']","['43,913', '']","['93,790', '']","['0', '']","['78,655', '']"
5423,r073,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,72,"['167,275', '']","['181,220', '']","['185,744', '']","['206,550', '']","['0', '']","['53,656', '']","['137,007', '']","['0', '']","['15,887', '']"
5423,r074,"All institutions -> U. Texas Health Science Center, San Antonio",All institutions,"U. Texas Health Science Center, San Antonio",2,73,"['169,200', '']","['179,219', '']","['188,483', '']","['202,572', '']","['0', '']","['67,851', '']","['112,594', '']","['0', '']","['22,127', '']"
5423,r075,"All institutions -> U. Nebraska, Medical Center",All institutions,"U. Nebraska, Medical Center",2,74,"['171,491', '']","['177,245', '']","['194,455', '']","['202,406', '']","['0', '']","['105,620', '']","['96,786', '']","['0', '']","['0', '']"
5423,r076,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,75,"['198,911', '']","['198,326', '']","['198,424', '']","['199,798', '']","['84,380', '']","['40,276', '']","['47,236', '']","['25,921', '']","['1,985', '']"
5423,r077,All institutions -> Washington State U.,All institutions,Washington State U.,2,76,"['175,640', '']","['175,704', '']","['193,878', '']","['196,649', '']","['107,295', '']","['35,845', '']","['49,070', '']","['1,974', '']","['2,465', '']"
5423,r078,All institutions -> Wayne State U.,All institutions,Wayne State U.,2,77,"['175,917', '']","['179,692', '']","['186,531', '']","['182,757', '']","['0', '']","['24,007', '']","['154,653', '']","['0', '']","['4,097', '']"
5423,r079,All institutions -> George Washington U.,All institutions,George Washington U.,2,78,"['160,836', '']","['173,664', '']","['175,830', '']","['179,803', '']","['0', '']","['52,902', '']","['126,901', '']","['0', '']","['0', '']"
5423,r080,All institutions -> U. Texas Medical Branch,All institutions,U. Texas Medical Branch,2,79,"['183,773', '']","['179,303', '']","['173,776', '']","['179,403', '']","['0', '']","['137,316', '']","['42,087', '']","['0', '']","['0', '']"
5423,r081,All institutions -> U. Arkansas for Medical Sciences,All institutions,U. Arkansas for Medical Sciences,2,80,"['128,508', '']","['139,187', '']","['153,135', '']","['174,549', '']","['0', '']","['67,447', '']","['105,955', '']","['0', '']","['1,147', '']"
5423,r082,All institutions -> Thomas Jefferson U.,All institutions,Thomas Jefferson U.,2,81,"['142,569', '']","['148,573', '']","['170,458', '']","['171,207', '']","['0', '']","['74,942', '']","['96,265', '']","['0', '']","['0', '']"
5423,r083,All institutions -> Dartmouth C. and Dartmouth Hitchcock Medical Center,All institutions,Dartmouth C. and Dartmouth Hitchcock Medical Center,2,82,"['178,006', '']","['179,025', '']","['195,353', '']","['170,704', '']","['0', '']","['84,528', '']","['83,046', '']","['813', '']","['2,317', '']"
5423,r084,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,83,"['145,939', '']","['140,602', '']","['148,621', '']","['164,967', '']","['0', '']","['43,605', '']","['119,319', '']","['0', '']","['2,043', '']"
5423,r085,"All institutions -> U. South Florida, Tampa",All institutions,"U. South Florida, Tampa",2,84,"['349,420', '']","['207,171', '']","['200,585', '']","['164,666', '']","['0', '']","['90,898', '']","['72,093', '']","['0', '']","['1,675', '']"
5423,r086,All institutions -> Tulane U.,All institutions,Tulane U.,2,85,"['137,828', '']","['151,823', '']","['152,554', '']","['161,642', '']","['0', '']","['39,053', '']","['41,445', '']","['133', '']","['81,011', '']"
5423,r087,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,86,"['152,195', '']","['156,100', '']","['161,097', '']","['161,499', '']","['100,056', '']","['30,234', '']","['16,883', '']","['14,326', '']","['0', '']"
5423,r088,All institutions -> U. Louisville,All institutions,U. Louisville,2,87,"['144,917', '']","['144,645', '']","['141,409', '']","['158,677', '']","['0', '']","['60,608', '']","['91,134', '']","['109', '']","['6,826', '']"
5423,r089,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,88,"['160,162', '']","['155,958', '']","['165,087', '']","['157,618', '']","['8,613', '']","['75,806', '']","['64,335', '']","['3,203', '']","['5,661', '']"
5423,r090,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,89,"['141,872', '']","['142,875', '']","['155,013', '']","['155,197', '']","['0', '']","['14,827', '']","['138,679', '']","['0', '']","['1,691', '']"
5423,r091,"All institutions -> Louisiana State U., Baton Rouge",All institutions,"Louisiana State U., Baton Rouge",2,90,"['147,917', '']","['154,348', '']","['160,443', '']","['155,187', '']","['88,320', '']","['56,483', '']","['928', '']","['9,456', '']","['0', '']"
5423,r092,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,91,"['149,828', '']","['161,209', '']","['148,618', '']","['148,158', '']","['0', '']","['28,740', '']","['115,028', '']","['3,768', '']","['622', '']"
5423,r093,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,92,"['131,061', '']","['135,466', '']","['136,589', '']","['143,505', '']","['75,087', '']","['38,938', '']","['7,447', '']","['21,791', '']","['242', '']"
5423,r094,All institutions -> U. Vermont,All institutions,U. Vermont,2,93,"['96,175', '']","['107,706', '']","['111,873', '']","['142,081', '']","['18,247', '']","['54,565', '']","['64,224', '']","['5,045', '']","['0', '']"
5423,r095,All institutions -> Tufts U.,All institutions,Tufts U.,2,94,"['173,969', '']","['71,546', '']","['114,635', '']","['136,826', '']","['5,500', '']","['92,119', '']","['31,949', '']","['39', '']","['7,219', '']"
5423,r096,All institutions -> Brown U.,All institutions,Brown U.,2,95,"['104,671', '']","['122,607', '']","['130,419', '']","['134,751', '']","['0', '']","['57,280', '']","['41,744', '']","['0', '']","['35,727', '']"
5423,r097,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,96,"['94,334', '']","['119,249', '']","['117,716', '']","['130,377', '']","['58', '']","['62,802', '']","['62,010', '']","['2,526', '']","['2,981', '']"
5423,r098,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,97,"['129,924', '']","['134,291', '']","['133,246', '']","['127,024', '']","['95,332', '']","['30,940', '']","['752', '']","['0', '']","['0', '']"
5423,r099,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,98,"['129,735', '']","['138,075', '']","['143,017', '']","['126,648', '']","['861', '']","['67,446', '']","['20,529', '']","['509', '']","['37,303', '']"
5423,r100,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,99,"['143,406', '']","['151,654', '']","['149,764', '']","['123,853', '']","['44,790', '']","['39,072', '']","['15,103', '']","['7,157', '']","['17,731', '']"
5423,r101,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,100,"['121,878', '']","['129,544', '']","['130,373', '']","['123,649', '']","['13,962', '']","['53,100', '']","['47,531', '']","['1,840', '']","['7,216', '']"
5423,r102,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,101,"['99,548', '']","['106,832', '']","['117,953', '']","['121,070', '']","['0', '']","['61,121', '']","['59,949', '']","['0', '']","['0', '']"
5423,r103,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,102,"['118,441', '']","['112,967', '']","['118,479', '']","['119,753', '']","['89,819', '']","['10,917', '']","['1,738', '']","['17,170', '']","['109', '']"
5423,r104,All institutions -> Cold Spring Harbor Laboratory,All institutions,Cold Spring Harbor Laboratory,2,103,"['97,288', '']","['115,870', '']","['126,773', '']","['115,051', '']","['1,657', '']","['113,394', '']","['0', '']","['0', '']","['0', '']"
5423,r105,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,104,"['85,135', '']","['101,567', '']","['104,935', '']","['110,768', '']","['72,560', '']","['15,224', '']","['10,995', '']","['1,143', '']","['10,846', '']"
5423,r106,All institutions -> West Virginia U.,All institutions,West Virginia U.,2,105,"['109,929', '']","['103,696', '']","['104,435', '']","['108,264', '']","['13,752', '']","['25,158', '']","['58,047', '']","['9,686', '']","['1,621', '']"
5423,r107,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,106,"['106,171', '']","['125,014', '']","['101,129', '']","['103,558', '']","['0', '']","['63,293', '']","['39,268', '']","['457', '']","['540', '']"
5423,r108,All institutions -> Augusta U.,All institutions,Augusta U.,2,107,"['99,383', '']","['98,925', '']","['96,123', '']","['103,554', '']","['0', '']","['40,513', '']","['60,177', '']","['0', '']","['2,864', '']"
5423,r109,All institutions -> North Dakota State U.,All institutions,North Dakota State U.,2,108,"['103,145', '']","['100,736', '']","['104,204', '']","['101,693', '']","['77,925', '']","['5,106', '']","['8,713', '']","['9,949', '']","['0', '']"
5423,r110,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,109,"['99,356', '']","['77,248', '']","['70,689', '']","['98,789', '']","['0', '']","['18,374', '']","['80,412', '']","['3', '']","['0', '']"
5423,r111,"All institutions -> U. Tennessee, Health Science Center",All institutions,"U. Tennessee, Health Science Center",2,110,"['72,682', '']","['78,204', '']","['95,852', '']","['98,345', '']","['0', '']","['22,245', '']","['72,349', '']","['0', '']","['3,751', '']"
5423,r112,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,111,"['81,455', '']","['85,128', '']","['91,835', '']","['95,431', '']","['21,969', '']","['60,674', '']","['12,788', '']","['0', '']","['0', '']"
5423,r113,All institutions -> Rush U.,All institutions,Rush U.,2,112,"['70,846', '']","['86,277', '']","['93,701', '']","['92,494', '']","['0', '']","['13,822', '']","['78,672', '']","['0', '']","['0', '']"
5423,r114,All institutions -> Princeton U.,All institutions,Princeton U.,2,113,"['75,292', '']","['86,341', '']","['95,882', '']","['91,903', '']","['0', '']","['81,137', '']","['0', '']","['10,766', '']","['0', '']"
5423,r115,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,114,"['77,964', '']","['80,318', '']","['87,505', '']","['89,626', '']","['0', '']","['89,580', '']","['46', '']","['0', '']","['0', '']"
5423,r116,All institutions -> Drexel U.,All institutions,Drexel U.,2,115,"['81,990', '']","['96,074', '']","['93,762', '']","['89,027', '']","['0', '']","['38,200', '']","['47,466', '']","['3,361', '']","['0', '']"
5423,r117,"All institutions -> U. Louisiana, Lafayette",All institutions,"U. Louisiana, Lafayette",2,116,"['40,408', '']","['62,543', '']","['73,146', '']","['87,621', '']","['262', '']","['68,528', '']","['18,497', '']","['0', '']","['334', '']"
5423,r118,All institutions -> U. Mississippi,All institutions,U. Mississippi,2,117,"['83,983', '']","['91,251', '']","['103,882', '']","['86,130', '']","['96', '']","['15,866', '']","['67,047', '']","['0', '']","['3,121', '']"
