table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_increased_subject_matter_knowledge,field_conducted_own_independent_research,field_published_papers,field_presented_papers_at_a_professional_conference,field_taught_courses,field_provided_clinical_or_professional_services,field_supervised_others,field_wrote_grant_proposals,field_worked_in_interdisciplinary_research_environments,field_collaborated_or_networked_with_colleagues,field_developed_marketable_products
3836,r001,Number of early career doctorates for whom the item was applicable (denominator),Number of early career doctorates for whom the item was applicable (denominator),,,,1,184100,176500,176500,177700,170600,91100,164900,160900,168600,182700,96200
3836,r002,Number of early career doctorates for whom the item was applicable (denominator) -> Percentage of early career doctorates,Number of early career doctorates for whom the item was applicable (denominator),Percentage of early career doctorates,,,2,24.5,17.2,11.6,14.2,21.0,8.1,23.0,13.7,17.8,20.2,7.9
3836,r003,Number of early career doctorates for whom the item was applicable (denominator) -> Sex,Number of early career doctorates for whom the item was applicable (denominator),Sex,,,2,,,,,,,,,,,
3836,r004,Number of early career doctorates for whom the item was applicable (denominator) -> Sex -> Female,Number of early career doctorates for whom the item was applicable (denominator),Sex,Female,,3,24.1,15.0,10.0,13.7,22.1,9.7,24.5,13.6,16.4,20.3,8.1
3836,r005,Number of early career doctorates for whom the item was applicable (denominator) -> Sex -> Male,Number of early career doctorates for whom the item was applicable (denominator),Sex,Male,,3,24.8,19.1,13.0,14.7,20.0,6.5,21.5,13.8,19.0,20.1,7.8
3836,r006,Number of early career doctorates for whom the item was applicable (denominator) -> Citizenship and sex,Number of early career doctorates for whom the item was applicable (denominator),Citizenship and sex,,,2,,,,,,,,,,,
3836,r007,Number of early career doctorates for whom the item was applicable (denominator) -> Citizenship and sex -> U.S. citizen or permanent resident,Number of early career doctorates for whom the item was applicable (denominator),Citizenship and sex,U.S. citizen or permanent resident,,3,23.8,15.9,11.2,13.9,22.0,8.6,23.6,13.9,16.5,19.7,7.9
3836,r008,Number of early career doctorates for whom the item was applicable (denominator) -> Citizenship and sex -> U.S. citizen or permanent resident -> Female,Number of early career doctorates for whom the item was applicable (denominator),Citizenship and sex,U.S. citizen or permanent resident,Female,4,23.8,14.1,9.7,13.4,22.6,9.9,25.1,13.5,15.7,19.9,8.4
3836,r009,Number of early career doctorates for whom the item was applicable (denominator) -> Citizenship and sex -> U.S. citizen or permanent resident -> Male,Number of early career doctorates for whom the item was applicable (denominator),Citizenship and sex,U.S. citizen or permanent resident,Male,4,23.8,17.8,12.6,14.4,21.4,7.1,22.1,14.4,17.4,19.6,7.5
3836,r010,Number of early career doctorates for whom the item was applicable (denominator) -> Citizenship and sex -> Temporary visa holder,Number of early career doctorates for whom the item was applicable (denominator),Citizenship and sex,Temporary visa holder,,3,27.6,23.3,13.8,15.9,14.7,5.2,19.6,12.7,23.7,22.3,8.0
3836,r011,Number of early career doctorates for whom the item was applicable (denominator) -> Citizenship and sex -> Temporary visa holder -> Female,Number of early career doctorates for whom the item was applicable (denominator),Citizenship and sex,Temporary visa holder,Female,4,26.2,22.2,12.6,16.1,16.5,7.6,20.0,14.9,21.9,23.7,5.8
3836,r012,Number of early career doctorates for whom the item was applicable (denominator) -> Citizenship and sex -> Temporary visa holder -> Male,Number of early career doctorates for whom the item was applicable (denominator),Citizenship and sex,Temporary visa holder,Male,4,28.3,23.8,14.3,15.8,13.9,4.1,19.4,11.6,24.6,21.7,8.8
3836,r013,Number of early career doctorates for whom the item was applicable (denominator) -> Ethnicity and race,Number of early career doctorates for whom the item was applicable (denominator),Ethnicity and race,,,2,,,,,,,,,,,
3836,r014,Number of early career doctorates for whom the item was applicable (denominator) -> Ethnicity and race -> Hispanic or Latino,Number of early career doctorates for whom the item was applicable (denominator),Ethnicity and race,Hispanic or Latino,,3,30.6,18.2,12.9,15.8,22.2,8.6,21.1,13.1,20.9,19.6,7.5
3836,r015,Number of early career doctorates for whom the item was applicable (denominator) -> Ethnicity and race -> Not Hispanic or Latino,Number of early career doctorates for whom the item was applicable (denominator),Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,,,,
3836,r016,Number of early career doctorates for whom the item was applicable (denominator) -> Ethnicity and race -> Not Hispanic or Latino -> Asian,Number of early career doctorates for whom the item was applicable (denominator),Ethnicity and race,Not Hispanic or Latino,Asian,4,25.1,20.6,14.6,14.3,18.9,7.9,16.2,12.7,20.2,21.1,9.6
3836,r017,Number of early career doctorates for whom the item was applicable (denominator) -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,Number of early career doctorates for whom the item was applicable (denominator),Ethnicity and race,Not Hispanic or Latino,Black or African American,4,27.5,16.9,10.3,14.8,24.2,7.3,23.8,16.9,17.9,25.2,11.7
3836,r018,Number of early career doctorates for whom the item was applicable (denominator) -> Ethnicity and race -> Not Hispanic or Latino -> White,Number of early career doctorates for whom the item was applicable (denominator),Ethnicity and race,Not Hispanic or Latino,White,4,23.4,15.9,10.5,13.8,21.0,8.1,25.0,14.0,16.7,19.5,6.9
3836,r019,Number of early career doctorates for whom the item was applicable (denominator) -> Ethnicity and race -> Not Hispanic or Latino -> Other race and ethnicity,Number of early career doctorates for whom the item was applicable (denominator),Ethnicity and race,Not Hispanic or Latino,Other race and ethnicity,4,24.0,20.0,13.5,18.5,24.9,10.3,27.5,10.1,16.4,21.7,11.7
3836,r020,Number of early career doctorates for whom the item was applicable (denominator) -> Age quartile,Number of early career doctorates for whom the item was applicable (denominator),Age quartile,,,2,,,,,,,,,,,
3836,r021,Number of early career doctorates for whom the item was applicable (denominator) -> Age quartile -> 32 years and under,Number of early career doctorates for whom the item was applicable (denominator),Age quartile,32 years and under,,3,29.8,22.7,15.2,18.1,17.1,8.4,25.3,17.7,21.1,23.0,10.5
3836,r022,Number of early career doctorates for whom the item was applicable (denominator) -> Age quartile -> 33&#8211;35 year,Number of early career doctorates for whom the item was applicable (denominator),Age quartile,33&#8211;35 year,,3,23.7,17.9,11.7,14.3,20.1,7.0,22.6,13.4,19.9,20.7,8.3
