table_id,row_id,time_period,longer_term_trends_level_1,longer_term_trends_level_2,longer_term_trends_hierarchy_depth,value
1872,r001,"Total R&D, all performers",Longer-term trends,1990–2000,2,5.8
1872,r002,"Total R&D, all performers",Longer-term trends,2000–10,2,4.3
1872,r003,"Total R&D, all performers",Longer-term trends,2010–17,2,4.4
1872,r004,"Total R&D, all performers",Most recent years,2010–11,2,4.8
1872,r005,"Total R&D, all performers",Most recent years,2011–12,2,1.8
1872,r006,"Total R&D, all performers",Most recent years,2012–13,2,4.7
1872,r007,"Total R&D, all performers",Most recent years,2013–14,2,4.7
1872,r008,"Total R&D, all performers",Most recent years,2014–15,2,3.8
1872,r009,"Total R&D, all performers",Most recent years,2015–16,2,4.4
1872,r010,"Total R&D, all performers",Most recent years,2016–17,2,6.3
1872,r011,"Total R&D, all performers -> Business",Longer-term trends,1990–2000,2,6.4
1872,r012,"Total R&D, all performers -> Business",Longer-term trends,2000–10,2,3.4
1872,r013,"Total R&D, all performers -> Business",Longer-term trends,2010–17,2,5.3
1872,r014,"Total R&D, all performers -> Business",Most recent years,2010–11,2,5.4
1872,r015,"Total R&D, all performers -> Business",Most recent years,2011–12,2,2.8
1872,r016,"Total R&D, all performers -> Business",Most recent years,2012–13,2,6.7
1872,r017,"Total R&D, all performers -> Business",Most recent years,2013–14,2,5.6
1872,r018,"Total R&D, all performers -> Business",Most recent years,2014–15,2,4.4
1872,r019,"Total R&D, all performers -> Business",Most recent years,2015–16,2,5.3
1872,r020,"Total R&D, all performers -> Business",Most recent years,2016–17,2,6.8
1872,r021,"Total R&D, all performers -> Federal government",Longer-term trends,1990–2000,2,1.9
1872,r022,"Total R&D, all performers -> Federal government",Longer-term trends,2000–10,2,5.9
1872,r023,"Total R&D, all performers -> Federal government",Longer-term trends,2010–17,2,0.5
1872,r024,"Total R&D, all performers -> Federal government",Most recent years,2010–11,2,5.4
1872,r025,"Total R&D, all performers -> Federal government",Most recent years,2011–12,2,-2.6
1872,r026,"Total R&D, all performers -> Federal government",Most recent years,2012–13,2,-2.0
1872,r027,"Total R&D, all performers -> Federal government",Most recent years,2013–14,2,3.1
1872,r028,"Total R&D, all performers -> Federal government",Most recent years,2014–15,2,0.3
1872,r029,"Total R&D, all performers -> Federal government",Most recent years,2015–16,2,-3.1
1872,r030,"Total R&D, all performers -> Federal government",Most recent years,2016–17,2,2.7
1872,r031,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Longer-term trends,1990–2000,2,2.1
1872,r032,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Longer-term trends,2000–10,2,5.2
1872,r033,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Longer-term trends,2010–17,2,0.1
1872,r034,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Most recent years,2010–11,2,9.3
1872,r035,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Most recent years,2011–12,2,-2.7
1872,r036,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Most recent years,2012–13,2,-1.8
1872,r037,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Most recent years,2013–14,2,4.1
1872,r038,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Most recent years,2014–15,2,-1.7
1872,r039,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Most recent years,2015–16,2,-7.1
1872,r040,"Total R&D, all performers -> Federal government -> Federal intramural<sup>a</sup>",Most recent years,2016–17,2,1.5
1872,r041,"Total R&D, all performers -> Federal government -> FFRDCs",Longer-term trends,1990–2000,2,1.7
1872,r042,"Total R&D, all performers -> Federal government -> FFRDCs",Longer-term trends,2000–10,2,7.3
1872,r043,"Total R&D, all performers -> Federal government -> FFRDCs",Longer-term trends,2010–17,2,1.1
1872,r044,"Total R&D, all performers -> Federal government -> FFRDCs",Most recent years,2010–11,2,-1.4
1872,r045,"Total R&D, all performers -> Federal government -> FFRDCs",Most recent years,2011–12,2,-2.4
1872,r046,"Total R&D, all performers -> Federal government -> FFRDCs",Most recent years,2012–13,2,-2.5
1872,r047,"Total R&D, all performers -> Federal government -> FFRDCs",Most recent years,2013–14,2,1.3
1872,r048,"Total R&D, all performers -> Federal government -> FFRDCs",Most recent years,2014–15,2,4.2
1872,r049,"Total R&D, all performers -> Federal government -> FFRDCs",Most recent years,2015–16,2,4.2
1872,r050,"Total R&D, all performers -> Federal government -> FFRDCs",Most recent years,2016–17,2,4.6
1872,r051,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Longer-term trends,1990–2000,2,NA
1872,r052,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Longer-term trends,2000–10,2,NA
1872,r053,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Longer-term trends,2010–17,2,-1.1
1872,r054,"Total R&D, all performers -> Nonfederal government<sup>b</sup>",Most recent years,2010–11,2,0.4
