table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
7946,r001,All institutions,All institutions,,1,-,"['89,872,007', '']","['49,228,127', '']","['4,745,398', '']","['22,481,841', '']","['5,118,899', '']","['5,604,133', '']","['2,693,609', '']"
7946,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['3,181,385', '']","['2,774,643', '']","['4,677', '']","['147,355', '']","['103,162', '']","['145,027', '']","['6,521', '']"
7946,r003,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,2,"['1,710,036', '']","['683,179', '']","['33,056', '']","['418,589', '']","['128,370', '']","['254,406', '']","['192,436', '']"
7946,r004,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,3,"['1,639,645', '']","['891,125', '']","['2,066', '']","['581,768', '']","['91,117', '']","['63,650', '']","['9,919', '']"
7946,r005,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,4,"['1,631,950', '']","['792,089', '']","['20,733', '']","['511,958', '']","['190,755', '']","['111,885', '']","['4,530', '']"
7946,r006,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,5,"['1,488,645', '']","['1,046,377', '']","['21,877', '']","['105,070', '']","['54,751', '']","['212,584', '']","['47,986', '']"
7946,r007,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,6,"['1,454,880', '']","['721,043', '']","['71,014', '']","['302,528', '']","['87,959', '']","['194,232', '']","['78,104', '']"
7946,r008,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,7,"['1,425,499', '']","['801,117', '']","['51,346', '']","['250,863', '']","['85,003', '']","['87,380', '']","['149,790', '']"
7946,r009,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,8,"['1,380,075', '']","['646,764', '']","['135,923', '']","['412,540', '']","['31,502', '']","['117,817', '']","['35,529', '']"
7946,r010,All institutions -> Stanford U.,All institutions,Stanford U.,2,9,"['1,274,483', '']","['811,183', '']","['17,802', '']","['136,444', '']","['113,691', '']","['186,565', '']","['8,798', '']"
7946,r011,All institutions -> Harvard U.,All institutions,Harvard U.,2,10,"['1,254,008', '']","['616,589', '']","['5,137', '']","['384,197', '']","['55,357', '']","['172,327', '']","['20,401', '']"
7946,r012,All institutions -> Duke U.,All institutions,Duke U.,2,11,"['1,237,686', '']","['776,632', '']","['1,073', '']","['153,692', '']","['187,864', '']","['98,223', '']","['20,202', '']"
7946,r013,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,12,"['1,236,111', '']","['559,797', '']","['45,862', '']","['425,597', '']","['129,914', '']","['50,022', '']","['24,919', '']"
7946,r014,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,13,"['1,205,883', '']","['747,895', '']","['9,550', '']","['304,506', '']","['48,938', '']","['79,885', '']","['15,109', '']"
