table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_clinical_trials,field_federal_all_r_d_expenditures,field_federal_clinical_trials,field_nonfederal_all_r_d_expenditures,field_nonfederal_clinical_trials
5454,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5454,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5454,r003,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['618,226', '']","['54,620', '']","['400,110', '']","['18,793', '']","['218,116', '']","['35,827', '']"
5454,r004,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['51,102', '']","['715', '']","['21,825', '']","['67', '']","['29,277', '']","['648', '']"
5454,r005,Arizona,Arizona,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5454,r006,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5454,r007,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['64,456', '']","['1,275', '']","['39,387', '']","['1,074', '']","['25,069', '']","['201', '']"
5454,r008,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['760,975', '']","['12,224', '']","['328,807', '']","['613', '']","['432,168', '']","['11,611', '']"
5454,r009,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5454,r010,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5454,r011,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['174,549', '']","['3,030', '']","['70,508', '']","['76', '']","['104,041', '']","['2,954', '']"
5454,r012,California,California,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5454,r013,California -> Public,California,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5454,r014,"California -> Public -> California Polytechnic State U., San Luis Obispo",California,Public,"California Polytechnic State U., San Luis Obispo",3,"['26,605', '']","['901', '']","['10,178', '']","['764', '']","['16,427', '']","['137', '']"
5454,r015,"California -> Public -> California State U., San Marcos",California,Public,"California State U., San Marcos",3,"['13,250', '']","['179', '']","['11,547', '']","['179', '']","['1,703', '']","['0', '']"
5454,r016,California -> Public -> San Francisco State U.,California,Public,San Francisco State U.,3,"['33,078', 'i']","['76', 'i']","['16,331', 'i']","['76', 'i']","['16,747', 'i']","['0', 'i']"
5454,r017,"California -> Public -> U. California, Berkeley",California,Public,"U. California, Berkeley",3,"['840,000', '']","['248', '']","['349,989', '']","['0', '']","['490,011', '']","['248', '']"
5454,r018,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['816,693', '']","['17,013', '']","['380,965', '']","['2,888', '']","['435,728', '']","['14,125', '']"
5454,r019,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['490,597', '']","['18,635', '']","['241,734', '']","['4,418', '']","['248,863', '']","['14,217', '']"
5454,r020,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['1,392,941', '']","['110,979', '']","['655,030', '']","['67,812', '']","['737,911', '']","['43,167', '']"
5454,r021,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['184,894', '']","['15', '']","['92,503', '']","['0', '']","['92,391', '']","['15', '']"
5454,r022,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['1,403,735', '']","['5,441', '']","['727,289', '']","['993', '']","['676,446', '']","['4,448', '']"
5454,r023,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['1,651,073', '']","['55,536', '']","['676,331', '']","['23,476', '']","['974,742', '']","['32,060', '']"
5454,r024,California -> Private,California,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5454,r025,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['1,203,950', '']","['125,708', '']","['751,414', '']","['48,423', '']","['452,536', '']","['77,285', '']"
5454,r026,California -> Private -> Touro U.,California,Private,Touro U.,3,"['3,551', '']","['798', '']","['1,558', '']","['745', '']","['1,993', '']","['53', '']"
5454,r027,California -> Private -> U. Southern California,California,Private,U. Southern California,3,"['941,198', '']","['265,431', '']","['562,120', '']","['200,972', '']","['379,078', '']","['64,459', '']"
5454,r028,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,3,"['5,899', '']","['215', '']","['4,486', '']","['0', '']","['1,413', '']","['215', '']"
