table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
12685,r001,All institutions,All institutions,,1,-,"['37,679,964', '']","['22,588,213', '']","['457,879', '']","['8,217,019', '']","['2,485,756', '']","['2,937,701', '']","['993,396', '']"
12685,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['3,801,585', '']","['3,324,551', '']","['10,271', '']","['164,758', '']","['126,685', '']","['168,401', '']","['6,919', '']"
12685,r003,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,2,"['1,953,617', '']","['936,469', '']","['27,849', '']","['642,815', '']","['203,003', '']","['134,455', '']","['9,026', '']"
12685,r004,All institutions -> Stanford U.,All institutions,Stanford U.,2,3,"['1,537,846', '']","['943,669', '']","['31,872', '']","['189,108', '']","['144,300', '']","['219,578', '']","['9,319', '']"
12685,r005,All institutions -> Duke U.,All institutions,Duke U.,2,4,"['1,507,996', '']","['974,202', '']","['773', '']","['191,004', '']","['219,452', '']","['96,327', '']","['26,238', '']"
12685,r006,All institutions -> New York U.,All institutions,New York U.,2,5,"['1,457,424', '']","['787,204', '']","['9,599', '']","['327,502', '']","['73,289', '']","['118,376', '']","['141,454', '']"
12685,r007,All institutions -> Cornell U.,All institutions,Cornell U.,2,6,"['1,451,971', '']","['705,132', '']","['95,202', '']","['276,682', '']","['59,081', '']","['129,082', '']","['186,792', '']"
12685,r008,All institutions -> Harvard U.,All institutions,Harvard U.,2,7,"['1,435,218', '']","['639,953', '']","['4,250', '']","['488,906', '']","['71,497', '']","['202,605', '']","['28,007', '']"
12685,r009,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,8,"['1,341,952', '']","['988,670', '']","['6,298', '']","['119,863', '']","['91,828', '']","['132,930', '']","['2,363', '']"
12685,r010,All institutions -> Yale U.,All institutions,Yale U.,2,9,"['1,326,807', '']","['741,198', '']","['1,710', '']","['404,706', '']","['80,221', '']","['93,363', '']","['5,609', '']"
