table_id,row_id,_b_demographic_characteristic_and_field_b_full_path,_b_demographic_characteristic_and_field_b_level_1,_b_demographic_characteristic_and_field_b_level_2,_b_demographic_characteristic_and_field_b_level_3,_b_demographic_characteristic_and_field_b_level_4,_b_demographic_characteristic_and_field_b_hierarchy_depth,field_total_number_,field_highest_level_of_parental_education_all,field_highest_level_of_parental_education_high_school_or_less,field_highest_level_of_parental_education_some_collegea,field_highest_level_of_parental_education_bachelor_s_degree,field_highest_level_of_parental_education_master_s_degree,field_highest_level_of_parental_education_professional_doctorateb,field_highest_level_of_parental_education_research_doctoral_degree
11662,r001,Doctorate recipients reporting parental education (number),Doctorate recipients reporting parental education (number),,,,1,49708,49708,8621,6553,13498,11102,4298,5636
11662,r002,Doctorate recipients reporting parental education (number) -> Highest level of parental education,Doctorate recipients reporting parental education (number),Highest level of parental education,,,2,49708,100.0,17.3,13.2,27.2,22.3,8.6,11.3
11662,r003,Doctorate recipients reporting parental education (number) -> Sex,Doctorate recipients reporting parental education (number),Sex,,,2,,,,,,,,
11662,r004,Doctorate recipients reporting parental education (number) -> Sex -> Male,Doctorate recipients reporting parental education (number),Sex,Male,,3,26048,100.0,18.3,12.3,27.9,21.9,8.3,11.2
11662,r005,Doctorate recipients reporting parental education (number) -> Sex -> Female,Doctorate recipients reporting parental education (number),Sex,Female,,3,23655,100.0,16.2,14.1,26.3,22.8,9.0,11.5
11662,r006,Doctorate recipients reporting parental education (number) -> Citizenship status,Doctorate recipients reporting parental education (number),Citizenship status,,,2,,,,,,,,
11662,r007,Doctorate recipients reporting parental education (number) -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting parental education (number),Citizenship status,U.S. citizen or permanent resident,,3,32492,100.0,14.2,14.2,24.4,24.3,10.7,12.1
11662,r008,Doctorate recipients reporting parental education (number) -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting parental education (number),Citizenship status,Temporary visa holder,,3,17193,100.0,23.3,11.2,32.3,18.6,4.8,9.9
11662,r009,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,
11662,r010,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,3128,100.0,28.6,16.9,21.7,17.3,7.5,8.0
11662,r011,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,
11662,r012,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,91,100.0,23.1,23.1,24.2,23.1,,
11662,r013,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,3537,100.0,16.9,10.0,21.5,22.0,8.0,21.6
11662,r014,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,2416,100.0,23.6,25.4,18.0,20.8,5.5,6.6
11662,r015,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,21710,100.0,10.7,13.3,26.0,26.2,12.2,11.6
11662,r016,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,1243,100.0,11.8,13.1,23.5,23.4,11.7,16.4
11662,r017,Doctorate recipients reporting parental education (number) -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Doctorate recipients reporting parental education (number),Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,272,100.0,13.6,11.0,26.1,25.0,,
