table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_hhs_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
10154,r001,All institutions,All institutions,,1,-,"['30,288,941', '']","['181,941', '']","['77,148', '']","['26,479,262', '']","['72,368', '']","['678,686', '']","['644,047', '']","['461,238', '']","['127,119', '']","['1,191,971', '']","['375,161', '']"
10154,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['844,336', '']","['14,978', '']","['6,858', '']","['752,121', '']","['596', '']","['5,113', '']","['5,921', '']","['1,654', '']","['177', '']","['56,665', '']","['253', '']"
10154,r003,All institutions -> Duke U.,All institutions,Duke U.,2,2,"['769,574', '']","['1,340', '']","['0', '']","['703,169', '']","['1,863', '']","['4,038', '']","['4,379', '']","['17,948', '']","['0', '']","['36,338', '']","['499', '']"
10154,r004,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,3,"['727,643', '']","['1,135', '']","['0', '']","['679,750', '']","['1,712', '']","['11,215', '']","['4,666', '']","['5,400', '']","['0', '']","['19,202', '']","['4,563', '']"
10154,r005,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,4,"['713,951', '']","['0', '']","['0', '']","['680,838', '']","['0', '']","['33,113', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
10154,r006,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,5,"['696,411', '']","['2,140', '']","['6,621', '']","['648,095', '']","['718', '']","['4,560', '']","['12,639', '']","['1,381', '']","['1,318', '']","['16,830', '']","['2,109', '']"
10154,r007,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,6,"['694,702', '']","['447', '']","['658', '']","['634,292', '']","['43', '']","['8,673', '']","['3,122', '']","['426', '']","['0', '']","['23,901', '']","['23,140', '']"
10154,r008,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,7,"['693,347', '']","['1,563', '']","['2,386', '']","['608,857', '']","['1,168', '']","['13,595', '']","['6,048', '']","['3,253', '']","['0', '']","['30,563', '']","['25,914', '']"
10154,r009,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,8,"['680,713', '']","['4,181', '']","['142', '']","['563,869', '']","['1,118', '']","['9,630', '']","['5,778', '']","['69,886', '']","['0', '']","['23,712', '']","['2,397', '']"
10154,r010,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,9,"['659,640', '']","['16,703', '']","['1,707', '']","['573,035', '']","['493', '']","['10,022', '']","['12,859', '']","['15,989', '']","['0', '']","['14,475', '']","['14,357', '']"
10154,r011,All institutions -> Stanford U.,All institutions,Stanford U.,2,10,"['643,308', '']","['458', '']","['74', '']","['588,162', '']","['1,465', '']","['22,602', '']","['8,876', '']","['1,778', '']","['0', '']","['19,848', '']","['45', '']"
10154,r012,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,11,"['627,145', '']","['1,060', '']","['6,350', '']","['535,275', '']","['0', '']","['22,777', '']","['8,975', '']","['5,246', '']","['0', '']","['45,033', '']","['2,429', '']"
10154,r013,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,12,"['622,820', '']","['1,287', '']","['63', '']","['580,524', '']","['374', '']","['8,868', '']","['9,290', '']","['4,281', '']","['2,893', '']","['11,266', '']","['3,974', '']"
10154,r014,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,13,"['617,453', '']","['436', '']","['0', '']","['571,032', '']","['91', '']","['10,224', '']","['5,714', '']","['85', '']","['0', '']","['11,085', '']","['18,786', '']"
