table_id,row_id,_b_demographic_characteristic_b_full_path,_b_demographic_characteristic_b_level_1,_b_demographic_characteristic_b_level_2,_b_demographic_characteristic_b_level_3,_b_demographic_characteristic_b_level_4,_b_demographic_characteristic_b_hierarchy_depth,field_all_doctorate_recipients,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
4667,r001,All doctorate recipients,All doctorate recipients,,,,1,19.2,22.6,17.1,12.8,21.3,13.4,27.6,19.1,19.0
4667,r002,All doctorate recipients -> Sex,All doctorate recipients,Sex,,,2,,,,,,,,,
4667,r003,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,,3,18.1,22.1,16.7,12.8,21.0,13.6,29.3,21.1,19.2
4667,r004,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,,3,20.5,23.1,18.0,13.0,21.5,12.9,26.9,17.0,18.8
4667,r005,All doctorate recipients -> Citizenship status,All doctorate recipients,Citizenship status,,,2,,,,,,,,,
4667,r006,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,,3,26.4,28.5,24.5,23.4,27.1,21.9,31.6,22.7,28.0
4667,r007,All doctorate recipients -> Citizenship status -> Temporary visa holder,All doctorate recipients,Citizenship status,Temporary visa holder,,3,7.6,10.2,6.6,6.0,5.1,8.1,9.2,5.7,7.1
4667,r008,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,
4667,r009,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,32.2,33.1,30.1,31.0,33.5,26.1,39.1,27.6,31.3
4667,r010,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,
4667,r011,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,30.9,36.4,,0.0,,,,37.5,
4667,r012,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,20.2,24.3,18.8,17.4,20.8,18.2,20.6,15.9,14.8
4667,r013,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,27.1,30.5,17.7,30.4,27.8,24.9,26.0,22.4,28.4
4667,r014,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,26.6,28.4,24.7,23.5,27.0,22.5,33.1,22.9,29.5
4667,r015,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,31.2,32.2,30.7,32.5,30.9,25.0,38.4,24.3,44.7
4667,r016,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,24.9,34.2,,13.0,,,,21.6,
4667,r017,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,9.2,11.8,8.6,21.1,7.6,0.0,11.1,7.7,11.8
