table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_nasa,field_nsf,field_usda,field_othera
3138,r001,All institutions,All institutions,,1,-,"['44,455,265', '']","['6,654,613', '']","['1,939,175', '']","['24,413,353', '']","['1,644,687', '']","['5,330,711', '']","['1,221,317', '']","['3,251,409', '']"
3138,r002,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,1,"['2,482,130', '']","['1,262,988', '']","['8,315', '']","['673,751', '']","['312,073', '']","['37,180', '']","['1,309', '']","['186,514', '']"
3138,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['992,643', '']","['93,841', '']","['31,613', '']","['655,533', '']","['20,804', '']","['114,582', '']","['6,650', '']","['69,620', '']"
3138,r004,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,3,"['886,851', '']","['83,880', '']","['40,718', '']","['615,534', '']","['25,555', '']","['81,455', '']","['1,773', '']","['37,936', '']"
3138,r005,All institutions -> Stanford U.,All institutions,Stanford U.,2,4,"['738,957', '']","['69,469', '']","['18,327', '']","['544,763', '']","['22,652', '']","['75,886', '']","['243', '']","['7,617', '']"
3138,r006,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,5,"['736,536', '']","['48,604', '']","['21,167', '']","['548,047', '']","['20,499', '']","['86,116', '']","['94', '']","['12,009', '']"
3138,r007,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,6,"['720,613', '']","['13,444', '']","['6,662', '']","['554,504', '']","['2,167', '']","['35,909', '']","['2,615', '']","['105,312', '']"
3138,r008,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,7,"['717,359', '']","['49,467', '']","['9,526', '']","['592,670', '']","['4,338', '']","['45,727', '']","['1,319', '']","['14,312', '']"
3138,r009,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,8,"['716,207', '']","['523,399', '']","['16,083', '']","['41,448', '']","['39,937', '']","['75,687', '']","['1,059', '']","['18,594', '']"
3138,r010,All institutions -> Duke U.,All institutions,Duke U.,2,9,"['709,705', '']","['64,374', '']","['15,385', '']","['571,613', '']","['3,269', '']","['35,357', '']","['946', '']","['18,761', '']"
3138,r011,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,10,"['698,925', '']","['98,923', '']","['28,043', '']","['435,980', '']","['13,221', '']","['88,746', '']","['1,176', '']","['32,836', '']"
3138,r012,All institutions -> U. Maryland<sup>c</sup>,All institutions,U. Maryland<sup>c</sup>,2,11,"['696,880', '']","['94,079', '']","['16,669', '']","['349,950', '']","['65,263', '']","['58,692', '']","['26,761', '']","['85,466', '']"
3138,r013,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,12,"['677,559', '']","['47,299', '']","['8,981', '']","['581,530', '']","['1,309', '']","['26,547', '']","['17', '']","['11,876', '']"
3138,r014,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,13,"['671,047', '']","['29,636', '']","['775', '']","['623,113', '']","['450', '']","['8,475', '']","['9', '']","['8,589', '']"
3138,r015,All institutions -> Harvard U.,All institutions,Harvard U.,2,14,"['618,405', '']","['57,390', '']","['14,594', '']","['475,795', '']","['8,446', '']","['46,321', '']","['170', '']","['15,689', '']"
3138,r016,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,15,"['608,925', '']","['36,636', '']","['71,131', '']","['347,705', '']","['11,862', '']","['80,297', '']","['22,377', '']","['38,917', '']"
3138,r017,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,16,"['600,714', '']","['50,405', '']","['25,786', '']","['423,638', '']","['25,278', '']","['63,912', '']","['223', '']","['11,472', '']"
3138,r018,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,17,"['600,489', '']","['300,261', '']","['29,606', '']","['132,733', '']","['18,524', '']","['67,436', '']","['32,342', '']","['19,587', '']"
