table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total_number,field_total_percent,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_number,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_percent,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_number,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
10683,r001,All graduate students,All graduate students,,,,1,798534,100.0,69621,100.0,2082,100.0,61426,100.0,44016,100.0,738,100.0,279657,100.0,19331,100.0,23428,100.0,298235,100.0
10683,r002,All graduate students -> Science,All graduate students,Science,,,2,538166,67.4,48508,69.7,1335,64.1,40603,66.1,29714,67.5,537,72.8,190960,68.3,13393,69.3,15914,67.9,197202,66.1
10683,r003,All graduate students -> Science -> Agricultural and veterinary sciences,All graduate students,Science,Agricultural and veterinary sciences,,3,11596,1.5,886,1.3,29,1.4,396,0.6,457,1.0,14,1.9,5680,2.0,237,1.2,256,1.1,3641,1.2
10683,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,102700,12.9,10691,15.4,239,11.5,10386,16.9,6413,14.6,115,15.6,44818,16.0,3271,16.9,3271,14.0,23496,7.9
10683,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,150555,18.9,5615,8.1,121,5.8,13558,22.1,5590,12.7,93,12.6,25030,9.0,2028,10.5,3359,14.3,95161,31.9
10683,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,11970,1.5,1109,1.6,34,1.6,417,0.7,313,0.7,6,0.8,6686,2.4,426,2.2,303,1.3,2676,0.9
10683,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,34387,4.3,1926,2.8,37,1.8,2686,4.4,737,1.7,12,1.6,9472,3.4,563,2.9,898,3.8,18056,6.1
10683,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary sciences,All graduate students,Science,Multidisciplinary and interdisciplinary sciences,,3,20945,2.6,1698,2.4,32,1.5,1927,3.1,1218,2.8,21,2.8,7096,2.5,501,2.6,739,3.2,7713,2.6
10683,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,13762,1.7,1290,1.9,121,5.8,484,0.8,478,1.1,31,4.2,8430,3.0,454,2.3,387,1.7,2087,0.7
10683,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,44092,5.5,3288,4.7,66,3.2,2789,4.5,1143,2.6,18,2.4,17289,6.2,1062,5.5,1034,4.4,17403,5.8
10683,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,69442,8.7,13177,18.9,264,12.7,3967,6.5,6991,15.9,115,15.6,34375,12.3,2558,13.2,2917,12.5,5078,1.7
10683,r012,All graduate students -> Science -> Social sciences,All graduate students,Science,Social sciences,,3,78717,9.9,8828,12.7,392,18.8,3993,6.5,6374,14.5,112,15.2,32084,11.5,2293,11.9,2750,11.7,21891,7.3
10683,r013,All graduate students -> Engineering,All graduate students,Engineering,,,2,176000,22.0,10629,15.3,339,16.3,13268,21.6,4752,10.8,80,10.8,48988,17.5,3430,17.7,3788,16.2,90726,30.4
10683,r014,"All graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,8095,1.0,703,1.0,12,0.6,868,1.4,176,0.4,10,1.4,3894,1.4,274,1.4,182,0.8,1976,0.7
10683,r015,"All graduate students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Engineering,"Biological, biomedical, and biosystems engineering",,3,14442,1.8,1119,1.6,20,1.0,1863,3.0,562,1.3,11,1.5,5010,1.8,411,2.1,423,1.8,5023,1.7
10683,r016,"All graduate students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,10601,1.3,558,0.8,20,1.0,899,1.5,238,0.5,6,0.8,3049,1.1,173,0.9,186,0.8,5472,1.8
10683,r017,"All graduate students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Engineering,"Civil, environmental, transportation and related engineering fields",,3,20375,2.6,1471,2.1,54,2.6,1088,1.8,562,1.3,10,1.4,5820,2.1,345,1.8,337,1.4,10688,3.6
10683,r018,"All graduate students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Engineering,"Electrical, electronics, communications and computer engineering",,3,49901,6.2,2141,3.1,130,6.2,3595,5.9,1018,2.3,12,1.6,8815,3.2,706,3.7,873,3.7,32611,10.9
10683,r019,"All graduate students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,16435,2.1,1161,1.7,19,0.9,1012,1.6,560,1.3,10,1.4,4420,1.6,275,1.4,474,2.0,8504,2.9
10683,r020,All graduate students -> Engineering -> Mechanical engineering,All graduate students,Engineering,Mechanical engineering,,3,27552,3.5,1891,2.7,32,1.5,2044,3.3,587,1.3,4,0.5,8462,3.0,609,3.2,602,2.6,13321,4.5
10683,r021,"All graduate students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Engineering,"Metallurgical, mining, materials and related engineering fields",,3,7118,0.9,463,0.7,15,0.7,522,0.8,163,0.4,1,0.1,2449,0.9,202,1.0,119,0.5,3184,1.1
10683,r022,All graduate students -> Engineering -> Other engineering,All graduate students,Engineering,Other engineering,,3,21481,2.7,1122,1.6,37,1.8,1377,2.2,886,2.0,16,2.2,7069,2.5,435,2.3,592,2.5,9947,3.3
10683,r023,All graduate students -> Health,All graduate students,Health,,,2,84368,10.6,10484,15.1,408,19.6,7555,12.3,9550,21.7,121,16.4,39709,14.2,2508,13.0,3726,15.9,10307,3.5
10683,r024,All graduate students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Health,Clinical medicine<sup>a</sup>,,3,39217,4.9,4991,7.2,270,13.0,4461,7.3,5843,13.3,75,10.2,15660,5.6,1367,7.1,2051,8.8,4499,1.5
10683,r025,All graduate students -> Health -> Other health,All graduate students,Health,Other health,,3,45151,5.7,5493,7.9,138,6.6,3094,5.0,3707,8.4,46,6.2,24049,8.6,1141,5.9,1675,7.1,5808,1.9
10683,r026,All graduate students -> Master's students,All graduate students,Master's students,,,2,501311,62.8,48303,69.4,1331,63.9,40873,66.5,31398,71.3,541,73.3,172212,61.6,12002,62.1,15345,65.5,179306,60.1
10683,r027,All graduate students -> Master's students -> Science,All graduate students,Master's students,Science,,3,331983,41.6,31959,45.9,752,36.1,26267,42.8,20810,47.3,382,51.8,110258,39.4,7876,40.7,9928,42.4,123751,41.5
10683,r028,All graduate students -> Master's students -> Science -> Agricultural and veterinary sciences,All graduate students,Master's students,Science,Agricultural and veterinary sciences,4,6949,0.9,644,0.9,19,0.9,267,0.4,364,0.8,13,1.8,3876,1.4,173,0.9,179,0.8,1414,0.5
10683,r029,All graduate students -> Master's students -> Science -> Biological and biomedical sciences,All graduate students,Master's students,Science,Biological and biomedical sciences,4,43062,5.4,4953,7.1,93,4.5,4963,8.1,3807,8.6,61,8.3,18595,6.6,1425,7.4,1550,6.6,7615,2.6
10683,r030,All graduate students -> Master's students -> Science -> Computer and information sciences,All graduate students,Master's students,Science,Computer and information sciences,4,129972,16.3,5083,7.3,96,4.6,11960,19.5,4989,11.3,80,10.8,20862,7.5,1695,8.8,2845,12.1,82362,27.6
10683,r031,"All graduate students -> Master's students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Master's students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,5186,0.6,578,0.8,18,0.9,154,0.3,161,0.4,3,0.4,3364,1.2,193,1.0,114,0.5,601,0.2
10683,r032,All graduate students -> Master's students -> Science -> Mathematics and statistics,All graduate students,Master's students,Science,Mathematics and statistics,4,20798,2.6,1272,1.8,23,1.1,1719,2.8,514,1.2,8,1.1,5233,1.9,312,1.6,518,2.2,11199,3.8
10683,r033,All graduate students -> Master's students -> Science -> Multidisciplinary and interdisciplinary sciences,All graduate students,Master's students,Science,Multidisciplinary and interdisciplinary sciences,4,16931,2.1,1398,2.0,25,1.2,1642,2.7,1009,2.3,14,1.9,5431,1.9,384,2.0,611,2.6,6417,2.2
