table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_level_4,agency_hierarchy_depth,field_29,field_30,field_31,field_32,field_33,field_34,field_35,field_36,field_37,field_38,field_39,field_40,field_41,field_42,field_43,field_44,field_45,field_46,field_47,field_48,field_49,field_50,field_51,field_52,field_53,field_54,field_55,field_56,field_57,field_58,field_59,field_60,field_61,field_62,field_63,field_64,field_65,field_66,field_67,field_68,field_69,field_70,field_71
10328,r001,Department,Department,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10328,r002,Department -> Department of Agriculture,Department,Department of Agriculture,,,2,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
10328,r003,Department -> Department of Agriculture -> Agricultural Cooperative Service,Department,Department of Agriculture,Agricultural Cooperative Service,,3,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r004,Department -> Department of Agriculture -> Agricultural Marketing Service,Department,Department of Agriculture,Agricultural Marketing Service,,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r005,Department -> Department of Agriculture -> Agricultural Research Service,Department,Department of Agriculture,Agricultural Research Service,,3,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r006,Department -> Department of Agriculture -> Animal and Plant Health Inspection Service,Department,Department of Agriculture,Animal and Plant Health Inspection Service,,3,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r007,Department -> Department of Agriculture -> Economic Research Service,Department,Department of Agriculture,Economic Research Service,,3,N,N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10328,r008,Department -> Department of Agriculture -> Economics and Statistics Service,Department,Department of Agriculture,Economics and Statistics Service,,3,N,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r009,"Department -> Department of Agriculture -> Economics, Statistics, and Cooperative Service",Department,Department of Agriculture,"Economics, Statistics, and Cooperative Service",,3,X,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r010,"Department -> Department of Agriculture -> Economics, Statistics, and Cooperative Service -> Economic Research Service",Department,Department of Agriculture,"Economics, Statistics, and Cooperative Service",Economic Research Service,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r011,"Department -> Department of Agriculture -> Economics, Statistics, and Cooperative Service -> Farmer Cooperative Service",Department,Department of Agriculture,"Economics, Statistics, and Cooperative Service",Farmer Cooperative Service,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10328,r012,"Department -> Department of Agriculture -> Economics, Statistics, and Cooperative Service -> Statistical Reporting Service",Department,Department of Agriculture,"Economics, Statistics, and Cooperative Service",Statistical Reporting Service,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
