table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_other_agency_r_d_expendituresa,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
12747,r001,All institutions,All institutions,,1,-,"['4,091,656', '']","['167,807', '']","['722,553', '']","['739,970', '']","['31,497', '']","['107,688', '']","['80,768', '']","['299,804', '']","['50,963', '']","['1,156,754', '']","['733,852', '']"
12747,r002,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,1,"['204,773', '']","['37,818', '']","['3,084', '']","['10,438', '']","['11,996', '']","['7,576', '']","['0', '']","['585', '']","['2,745', '']","['127,643', '']","['2,888', '']"
12747,r003,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,2,"['103,296', '']","['161', '']","['65,607', '']","['778', '']","['57', '']","['23,678', '']","['83', '']","['1,853', '']","['122', '']","['6,850', '']","['4,107', '']"
12747,r004,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,3,"['95,590', '']","['10,889', '']","['1,610', '']","['1,953', '']","['0', '']","['3,051', '']","['206', '']","['1,683', '']","['0', '']","['73,469', '']","['2,729', '']"
12747,r005,All institutions -> U. Maryland<sup>c</sup>,All institutions,U. Maryland<sup>c</sup>,2,4,"['90,042', '']","['4,920', '']","['37,726', '']","['6,703', '']","['0', '']","['7,815', '']","['31', '']","['2,730', '']","['200', '']","['21,917', '']","['8,000', '']"
12747,r006,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,5,"['87,558', '']","['2,630', '']","['7,847', '']","['8,489', '']","['0', '']","['70', '']","['13,011', '']","['41,346', '']","['0', '']","['6,068', '']","['8,097', '']"
12747,r007,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,6,"['81,350', '']","['2,605', '']","['11,342', '']","['16,431', '']","['0', '']","['522', '']","['884', '']","['3,295', '']","['4,476', '']","['25,838', '']","['15,957', '']"
12747,r008,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,7,"['78,131', '']","['2,160', '']","['39,161', '']","['18,347', '']","['17', '']","['31', '']","['446', '']","['1,615', '']","['0', '']","['10,726', '']","['5,628', '']"
12747,r009,All institutions -> Utah State U.,All institutions,Utah State U.,2,8,"['71,721', '']","['196', '']","['100', '']","['5,088', '']","['58', '']","['34', '']","['286', '']","['23', '']","['0', '']","['65,883', '']","['53', '']"
12747,r010,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,9,"['67,072', '']","['11,176', '']","['2,148', '']","['3,216', '']","['982', '']","['750', '']","['1,304', '']","['1,345', '']","['0', '']","['43,900', '']","['2,251', '']"
12747,r011,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,10,"['65,822', '']","['972', '']","['492', '']","['14,525', '']","['0', '']","['5', '']","['0', '']","['3,070', '']","['9,972', '']","['26,200', '']","['10,586', '']"
12747,r012,All institutions -> U. South Florida,All institutions,U. South Florida,2,11,"['61,640', '']","['6,929', '']","['6,024', '']","['7,053', '']","['0', '']","['0', '']","['202', '']","['6,247', '']","['5', '']","['11,164', '']","['24,016', '']"
12747,r013,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,12,"['55,589', '']","['964', '']","['25,717', '']","['13,871', '']","['20', '']","['513', '']","['0', '']","['458', '']","['319', '']","['7,647', '']","['6,080', '']"
12747,r014,All institutions -> U. Delaware,All institutions,U. Delaware,2,13,"['52,653', '']","['0', '']","['7,499', '']","['925', '']","['0', '']","['559', '']","['0', '']","['1,742', '']","['0', '']","['39,722', '']","['2,206', '']"
12747,r015,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,14,"['50,160', '']","['553', '']","['19,595', '']","['5,923', '']","['248', '']","['317', '']","['322', '']","['4,596', '']","['71', '']","['5,218', '']","['13,317', '']"
12747,r016,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,15,"['48,470', '']","['2,146', '']","['182', '']","['1,158', '']","['94', '']","['472', '']","['1,430', '']","['8,983', '']","['1,905', '']","['11,770', '']","['20,330', '']"
12747,r017,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,16,"['48,060', '']","['400', '']","['28,007', '']","['857', '']","['0', '']","['0', '']","['1,107', '']","['1,462', '']","['0', '']","['3,262', '']","['12,965', '']"
12747,r018,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,17,"['47,777', '']","['307', '']","['29,282', '']","['8,516', '']","['0', '']","['138', '']","['0', '']","['1,296', '']","['0', '']","['4,503', '']","['3,735', '']"
12747,r019,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,18,"['45,730', '']","['1,611', '']","['191', '']","['13,895', '']","['0', '']","['667', '']","['0', '']","['1,105', '']","['0', '']","['19,373', '']","['8,888', '']"
12747,r020,All institutions -> Clemson U.,All institutions,Clemson U.,2,19,"['43,337', '']","['789', '']","['0', '']","['8,912', '']","['158', '']","['2,279', '']","['1,639', '']","['3,648', '']","['0', '']","['20,226', '']","['5,686', '']"
12747,r021,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,20,"['42,340', '']","['52', '']","['12,147', '']","['8,904', '']","['9', '']","['1,193', '']","['0', '']","['7,323', '']","['0', '']","['9,558', '']","['3,154', '']"
12747,r022,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,21,"['42,219', '']","['416', '']","['6,203', '']","['6,754', '']","['573', '']","['126', '']","['227', '']","['8,831', '']","['2,215', '']","['15,392', '']","['1,482', '']"
12747,r023,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,22,"['41,899', '']","['3,665', '']","['369', '']","['17,264', '']","['10', '']","['0', '']","['309', '']","['11,485', '']","['30', '']","['3,631', '']","['5,136', '']"
12747,r024,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,23,"['39,060', '']","['1,400', '']","['28,950', '']","['4,335', '']","['0', '']","['120', '']","['13', '']","['428', '']","['592', '']","['1,611', '']","['1,611', '']"
12747,r025,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,24,"['36,254', '']","['22', '']","['258', '']","['7,585', '']","['248', '']","['1', '']","['2,178', '']","['223', '']","['0', '']","['25,398', '']","['341', '']"
12747,r026,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,25,"['36,101', '']","['790', '']","['13,782', '']","['3,936', '']","['1,392', '']","['49', '']","['4', '']","['36', '']","['342', '']","['14,640', '']","['1,130', '']"
