table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_nsf_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
3175,r001,All institutions,All institutions,,1,-,"['5,330,711', '']","['629,898', '']","['690,435', '']","['757,452', '']","['223,352', '']","['1,056,202', '']","['75,240', '']","['149,412', '']","['106,943', '']","['1,351,487', '']","['290,290', '']"
3175,r002,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,1,"['141,078', '']","['61,207', '']","['3,062', '']","['7,994', '']","['3,005', '']","['21,490', '']","['2,314', '']","['2,215', '']","['85', '']","['34,801', '']","['4,905', '']"
3175,r003,All institutions -> Cornell U.,All institutions,Cornell U.,2,2,"['115,526', '']","['14,289', '']","['2,885', '']","['21,433', '']","['2,176', '']","['43,795', '']","['497', '']","['3,018', '']","['0', '']","['26,192', '']","['1,241', '']"
3175,r004,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,3,"['114,590', '']","['4,415', '']","['70,810', '']","['6,866', '']","['3,717', '']","['5,673', '']","['8', '']","['865', '']","['0', '']","['21,429', '']","['807', '']"
3175,r005,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,4,"['114,582', '']","['8,532', '']","['32,348', '']","['10,309', '']","['2,609', '']","['16,162', '']","['672', '']","['2,040', '']","['0', '']","['28,673', '']","['13,237', '']"
3175,r006,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,5,"['112,251', '']","['0', '']","['67,506', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['44,745', '']","['0', '']"
3175,r007,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,6,"['95,998', '']","['15,666', '']","['9,458', '']","['9,622', '']","['5,474', '']","['22,365', '']","['0', '']","['2,152', '']","['1,335', '']","['29,004', '']","['922', '']"
3175,r008,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,7,"['88,746', '']","['10,829', '']","['31,635', '']","['5,709', '']","['2,534', '']","['9,366', '']","['2,858', '']","['1,400', '']","['225', '']","['23,787', '']","['403', '']"
3175,r009,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,8,"['86,116', '']","['8,574', '']","['40,596', '']","['5,868', '']","['2,949', '']","['10,140', '']","['208', '']","['1,246', '']","['0', '']","['11,968', '']","['4,567', '']"
3175,r010,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,9,"['83,070', '']","['4,464', '']","['1,115', '']","['19,665', '']","['4,219', '']","['35,833', '']","['724', '']","['1,793', '']","['1,184', '']","['6,135', '']","['7,938', '']"
3175,r011,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,10,"['82,563', '']","['2,754', '']","['8,697', '']","['1,939', '']","['816', '']","['61,737', '']","['0', '']","['0', '']","['0', '']","['5,213', '']","['1,407', '']"
3175,r012,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,11,"['81,711', '']","['8,634', '']","['19,189', '']","['5,118', '']","['1,310', '']","['19,767', '']","['453', '']","['5,409', '']","['504', '']","['11,803', '']","['9,524', '']"
3175,r013,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,12,"['81,455', '']","['2,117', '']","['1,992', '']","['9,861', '']","['4,327', '']","['11,539', '']","['876', '']","['11,063', '']","['97', '']","['36,118', '']","['3,465', '']"
