table_id,row_id,_b_country_or_economy_b_full_path,_b_country_or_economy_b_level_1,_b_country_or_economy_b_level_2,_b_country_or_economy_b_level_3,_b_country_or_economy_b_hierarchy_depth,field_rank,field_doctorate_recipients
11696,r001,All temporary visa holders (154 countries or economies),All temporary visa holders (154 countries or economies),,,1,-,18908
11696,r002,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,,2,-,17656
11696,r003,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> China<sup>a</sup>,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,China<sup>a</sup>,3,1,6652
11696,r004,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> India ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,India ,3,2,2762
11696,r005,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> South Korea,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,South Korea,3,3,1109
11696,r006,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Iran ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Iran ,3,4,648
11696,r007,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Bangladesh ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Bangladesh ,3,5,552
11696,r008,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Saudi Arabia ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Saudi Arabia ,3,6,483
11696,r009,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Taiwan,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Taiwan,3,7,462
11696,r010,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Canada ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Canada ,3,8,405
11696,r011,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Turkey ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Turkey ,3,9,368
11696,r012,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Nepal ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Nepal ,3,10,326
11696,r013,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Brazil,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Brazil,3,11,298
11696,r014,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Nigeria ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Nigeria ,3,12,265
11696,r015,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Mexico ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Mexico ,3,13,235
11696,r016,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Sri Lanka,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Sri Lanka,3,14,229
11696,r017,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Colombia ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Colombia ,3,15,227
11696,r018,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Vietnam ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Vietnam ,3,16,188
11696,r019,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Italy ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Italy ,3,17,185
11696,r020,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Pakistan,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Pakistan,3,18,178
11696,r021,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Germany,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Germany,3,19,162
11696,r022,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Egypt ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Egypt ,3,20,145
11696,r023,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Spain ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Spain ,3,21,138
11696,r024,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Ghana ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Ghana ,3,22,124
11696,r025,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> United Kingdom,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,United Kingdom,3,22,124
11696,r026,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Greece,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Greece,3,24,122
11696,r027,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Japan ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Japan ,3,25,115
11696,r028,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Thailand ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Thailand ,3,26,114
11696,r029,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> France ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,France ,3,27,112
11696,r030,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Russia,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Russia,3,27,112
11696,r031,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Chile ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Chile ,3,29,111
11696,r032,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Jordan ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Jordan ,3,30,75
11696,r033,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Indonesia ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Indonesia ,3,31,73
11696,r034,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Israel ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Israel ,3,32,71
11696,r035,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Lebanon,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Lebanon,3,32,71
11696,r036,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Singapore,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Singapore,3,34,69
11696,r037,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Argentina,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Argentina,3,35,68
11696,r038,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Peru ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Peru ,3,36,66
11696,r039,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Malaysia ,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Malaysia ,3,37,61
11696,r040,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Ecuador,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Ecuador,3,38,55
11696,r041,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Ethiopia,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Ethiopia,3,39,49
11696,r042,All temporary visa holders (154 countries or economies) -> Top 40 countries or economies of origin -> Australia,All temporary visa holders (154 countries or economies),Top 40 countries or economies of origin,Australia,3,40,47
