table_id,row_id,time_period,2017_satisfaction_class_level_1,2017_satisfaction_class_level_2,2017_satisfaction_class_hierarchy_depth,value
9169,r001_1,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.684
9169,r001_2,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.091
9169,r001_3,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.026
9169,r001_4,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.07
9169,r001_5,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.128
9169,r001_6,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2015 importance class,,1,Everything Is Very Important
9169,r002_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.728
9169,r002_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.088
9169,r002_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.029
9169,r002_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.065
9169,r002_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.089
9169,r002_6,,2015 importance class,,1,Challenge and Independence Are More Important
9169,r003_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.692
9169,r003_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.05
9169,r003_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.027
9169,r003_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.095
9169,r003_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.136
9169,r003_6,,2015 importance class,,1,Salary and Benefits Are More Important
9169,r004_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.619
9169,r004_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.054
9169,r004_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.034
9169,r004_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.035
9169,r004_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.257
9169,r004_6,,2015 importance class,,1,Everything Is Somewhat Important 
9169,r005_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.763
9169,r005_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.112
9169,r005_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.006
9169,r005_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.058
9169,r005_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.061
9169,r005_6,,2015 importance class,,1,Advancement Is Unimportant
9169,r006_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.705
9169,r006_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.085
9169,r006_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.031
9169,r006_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.069
9169,r006_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.109
9169,r006_6,,2015 importance class,,1,Entire sample
9169,r007_1,Very Satisfied with Everything (Class 2),2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.071
9169,r007_2,Very Satisfied with Everything (Class 2),2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.758
9169,r007_3,Very Satisfied with Everything (Class 2),2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.115
9169,r007_4,Very Satisfied with Everything (Class 2),2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.014
