table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_total,field_faculty_total,field_faculty_tenured_faculty,field_faculty_tenure_track_faculty,field_faculty_non_tenure_track_faculty_with_rank,field_faculty_other_faculty_no_rank_or_tenurea,field_postdoctoral_scholarb,field_other_position_total,field_other_position_research_scientist_or_nonfaculty_researcher,field_other_position_all_other_positionsc
3799,r001,Number of early career doctorates,Number of early career doctorates,,,,,1,186700,125600,27300,58500,13000,26800,36400,24700,10900,13800
3799,r002,Percentage of early career doctorates,Percentage of early career doctorates,,,,,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3799,r003,Percentage of early career doctorates -> Doctoral degree type,Percentage of early career doctorates,Doctoral degree type,,,,2,,,,,,,,,,
3799,r004,Percentage of early career doctorates -> Doctoral degree type -> Professional degree or doctoral equivalent<sup>d</sup>,Percentage of early career doctorates,Doctoral degree type,Professional degree or doctoral equivalent<sup>d</sup>,,,3,8.4,8.3,3.6,3.4,22.2,16.9,1.9,18.6,1.4,32.2
3799,r005,Percentage of early career doctorates -> Doctoral degree type -> Research degree,Percentage of early career doctorates,Doctoral degree type,Research degree,,,3,91.6,91.7,96.4,96.6,77.8,83.1,98.1,81.4,98.6,67.8
3799,r006,Percentage of early career doctorates -> Years since doctoral degree,Percentage of early career doctorates,Years since doctoral degree,,,,2,,,,,,,,,,
3799,r007,Percentage of early career doctorates -> Years since doctoral degree -> 1 year or less,Percentage of early career doctorates,Years since doctoral degree,1 year or less,,,3,19.8,14.0,1.5,16.5,14.4,20.8,43.4,14.5,11.2,17.1
3799,r008,Percentage of early career doctorates -> Years since doctoral degree -> 2&#8211;5 years,Percentage of early career doctorates,Years since doctoral degree,2&#8211;5 years,,,3,44.3,43.4,17.0,54.5,45.9,44.7,48.6,42.9,44.1,42.0
3799,r009,Percentage of early career doctorates -> Years since doctoral degree -> 6&#8211;10 years,Percentage of early career doctorates,Years since doctoral degree,6&#8211;10 years,,,3,35.9,42.7,81.5,28.9,39.7,34.5,8.0,42.6,44.7,41.0
3799,r010,Percentage of early career doctorates -> Origin of doctoral degree,Percentage of early career doctorates,Origin of doctoral degree,,,,2,,,,,,,,,,
3799,r011,Percentage of early career doctorates -> Origin of doctoral degree -> U.S. degree,Percentage of early career doctorates,Origin of doctoral degree,U.S. degree,,,3,86.6,93.5,95.7,92.7,89.9,94.5,62.1,88.3,77.5,96.9
3799,r012,Percentage of early career doctorates -> Origin of doctoral degree -> Non-U.S. degree,Percentage of early career doctorates,Origin of doctoral degree,Non-U.S. degree,,,3,13.4,6.5,4.3,7.3,10.1,5.5,37.9,11.7,22.5,3.1
3799,r013,Percentage of early career doctorates -> Field of doctoral degree,Percentage of early career doctorates,Field of doctoral degree,,,,2,,,,,,,,,,
3799,r014,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,,,3,60.3,51.5,49.4,56.1,49.5,44.6,92.6,57.6,89.8,32.1
3799,r015,"Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences",Percentage of early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",,4,15.5,9.1,5.4,10.5,13.4,7.9,39.2,12.7,19.8,7.0
3799,r016,"Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences -> Agricultural and environmental life sciences",Percentage of early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",Agricultural and environmental life sciences,5,2.1,1.5,1.5,1.7,1.5,S,4.3,1.9,2.5,1.5
3799,r017,"Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences -> Biological and biomedical sciences",Percentage of early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",Biological and biomedical sciences,5,13.4,7.6,3.9,8.8,11.9,6.8,34.9,10.7,17.3,5.5
3799,r018,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Engineering,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Engineering,,4,9.2,7.3,7.3,8.8,6.0,4.5,13.8,12.5,22.6,4.5
3799,r019,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,,4,6.5,6.7,7.6,7.3,6.0,4.7,6.5,5.5,8.9,S
3799,r020,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Computer and information sciences,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Computer and information sciences,5,3.1,3.2,3.5,3.9,1.7,2.4,2.6,3.4,6.3,S
3799,r021,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Mathematics and statistics,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,5,3.3,3.4,4.1,3.4,4.2,2.3,3.9,2.1,2.7,S
3799,r022,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Multidisciplinary fields and science and engineering related fields,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Multidisciplinary fields and science and engineering related fields,,4,1.4,1.2,1.5,1.1,S,1.3,1.8,1.9,1.1,2.4
